STOP_ON_FIRST_ERROR;false;;
VALUES;MP73;E143 - vert solide fcf;100
VALUES;MP74;E1430 - diamidon glycérine;100
VALUES;MP75;E1440 - amidon hydroxypropyle (gélifiant, épaississant);100
VALUES;MP76;E1441 - glycérine de diamidon hydroxypropyle ou hydroxy-propylique;100
VALUES;MP77;E1442 - phosphate de diamidon hydroxypropyle (gélifiant, épaississant);100
VALUES;MP78;E1443 - glycérol de diamidon hydroxypropyle (gélifiant, épaississant);100
VALUES;MP79;E1450 - octenyle succinate d'amidon sodique (stabilisant, épaississant, liant, émulsifiant);100
VALUES;MP80;E1451 - amidon oxyde acetyle (stabilisant, épaississant, liant, émulsifiant);100
VALUES;MP81;E1452 - succinate octenylique aluminique d'amidon, anticaking agent, carrier, stabilisant;100
VALUES;MP82;E150 - caramel;100
VALUES;MP83;E1503 - huile de ricin, solvant de support, antiagglomérant, agent de glaçage;100
VALUES;MP84;E1504 - acétate d'éthyle;100
VALUES;MP85;E1505 - citrate de triéthyle (stabilisant de mousse);100
VALUES;MP86;E150a - caramels;100
VALUES;MP87;E150b - caramel de sulfite caustique, sulfite de soude;100
VALUES;MP88;E150c - caramel ammoniacal;100
VALUES;MP89;E150d - caramel au sulfite d'ammonium;100
VALUES;MP90;E151 - noir brillant bn, noir pn;100
VALUES;MP91;E1510 - éthanol;100
VALUES;MP92;E1517 - glyceroldiacetate;100
VALUES;MP93;E1518 - triacétine (triacétate de glyceryle) (humectant);100
VALUES;MP94;E1519 - alcool benzylique;100
VALUES;MP95;E152 - noir de carbone (hydrocarbure);100
VALUES;MP96;E1520 - propylène glycol (propane diol - 1,2) (humectant, mouillant, dispersant);100
VALUES;MP97;E1521 - polyéthylène glycol, macrogol (poly éthane diol - 1,2) (antimoussant);100
VALUES;MP98;E153 - charbon végétal médicinal;100
VALUES;MP99;E154 - brun fk;100
VALUES;MP100;E155 - brun chocolat ht;100
VALUES;MP101;E160a à e160f - caroténoïdes;100
VALUES;MP102;E160a(i) - beta-carotène;100
VALUES;MP103;E160a(ii) - caroténoïdes extrait de Ingrédients;100
VALUES;MP104;E160a(iii) - beta-carotène extrait de blakeslea trispora;100
VALUES;MP105;E160a(iv) - beta-carotène extrait d'algue;100
VALUES;MP106;E160b - rocou (ou annatto) mélange de bixine et norbixine;100
VALUES;MP107;E160b(i) - bixine (rocou);100
VALUES;MP108;E160b(ii) - norbixine (rocou);100
VALUES;MP109;E160c - extrait de paprika (capsantheine et capsorubine);100
VALUES;MP110;E160d - lycopene;100
VALUES;MP111;E160d(i) et e160d(ii) - lycopène;100
VALUES;MP112;E160d(iii) - lycopène extrait de blakeslea trispora;100
VALUES;MP113;E160e - apocarotenal 8' (c30);100
VALUES;MP114;E160f - ester ethylique de l'acide -apocarotenique-8' (c30);100
VALUES;MP115;E161a - flavoxanthine;100
VALUES;MP116;E161a à e161j - xanthophylles;100
VALUES;MP117;E161b - lutéine;100
VALUES;MP118;E161b(i) - lutéines de tagetes erecta;100
VALUES;MP119;E161b(ii) - extrais de tagetes;100
VALUES;MP120;E161c - cryptoxanthine;100
VALUES;MP121;E161d - rubixanthine;100
VALUES;MP122;E161e - violaxanthine;100
VALUES;MP123;E161f - rhodoxanthine;100
VALUES;MP124;E161g - canthaxanthine;100
VALUES;MP125;E161h - zeaxanthine;100
VALUES;MP126;E161h(i) - zeaxanthine (de synthese);100
VALUES;MP127;E161h(ii) - zeaxanthine riche en extrait de tagetes erecta;100
VALUES;MP128;E161i - citranaxanthine;100
VALUES;MP129;E161j - astaxanthine;100
VALUES;MP130;E162 - rouge de betterave, betanine;100
VALUES;MP131;E163a - cyanidine;100
VALUES;MP132;E163a à e163f - anthocyanes;100
VALUES;MP133;E163b - delphinidine;100
VALUES;MP134;E163c - malvidine;100
VALUES;MP135;E163d - pelargonidine;100
VALUES;MP136;E163e - peonidine;100
VALUES;MP137;E163f - petunidine;100
VALUES;MP138;E164 - jaune de gardenia;100
VALUES;MP139;E165 - bleu de gardenia;100
VALUES;MP140;E166 - bois de santal;100
VALUES;MP141;E170(i) - carbonate de calcium;100
VALUES;MP142;E170(ii) - carbonate acide de calcium;100
VALUES;MP143;E171 - oxyde de titane, dioxyde de titane, bioxyde de titane;100
VALUES;MP144;E172 - oxyde et hydroxyde de fer;100
VALUES;MP145;E172(i) - oxyde de fer, noir;100
VALUES;MP146;E172(ii) - oxyde de fer, rouge;100
VALUES;MP147;E172(iii) - oxyde de fer, jaune;100
VALUES;MP148;E173 - aluminium;100
VALUES;MP149;E174 - argent;100
VALUES;MP150;E175 - or;100
VALUES;MP151;E180 - lithol-rubine bk;100
VALUES;MP152;E181 - tannin, acide tannique;100
VALUES;MP153;E182 - orseille;100
VALUES;MP154;E200 - acide sorbique (sa);100
VALUES;MP155;E201 - sorbate de sodium (sa);100
VALUES;MP156;E202 - sorbate de potassium (sa);100
VALUES;MP157;E203 - sorbate de calcium (sa);100
VALUES;MP158;E209 - hydroxybenzoate d'hepthyle;100
VALUES;MP159;E210 - acide benzoïque (ba);100
VALUES;MP160;E211 - benzoate de sodium (ba);100
VALUES;MP161;E212 - benzoate de potassium (ba);100
VALUES;MP162;E213 - benzoate de calcium (ba);100
VALUES;MP163;E214 - 4-hydroxybenzoate d'ethyle ou ethylparabene (phb);100
VALUES;MP164;E215 - derive sodique du 4-hydroxybenzoate d'ethyle (phb);100
VALUES;MP165;E216 - 4-hydroxybenzoate de propyle ou propylparabene (phb);100
VALUES;MP166;E217 - derive sodique du 4-hydroxybenzoate de propyle (phb);100
VALUES;MP167;E218 - 4-hydroxybenzoate de méthyle ou methylparabene(phb);100
VALUES;MP168;E219 - derive sodique du 4-hydroxybenzoate de méthyle (phb);100
VALUES;MP169;E220 - anhydride sulfureux;100
VALUES;MP170;E221 - sulfite de sodium;100
VALUES;MP171;E222 - bisulfite de sodium (sulfite acide de sodium);100
VALUES;MP172;E223 - disulfite de sodium, metabisulfite de sodium;100
VALUES;MP173;E224 - disulfite de potassium, pyrosulfite / metabisulfite de potassium;100
VALUES;MP174;E225 - disulfite de calcium pyrosulfite de calcium ou metasulfite;100
VALUES;MP175;E226 - sulfite de calcium;100
VALUES;MP176;E227 - sulfite acide de calcium, bisulfite de calcium;100
VALUES;MP177;E228 - sulfite acide de potassium, bisulfite de potassium;100
VALUES;MP178;E230 - biphenyle (diphenyle);100
VALUES;MP179;E231 - orthophenylphenol, 2-hydroxybiphenyle;100
VALUES;MP180;E232 - orthophenylphenate de sodium, sodium diphenyl 2 yl;100
VALUES;MP181;E233 - thiabendazole ou 2-(4-thiazolyl)benzimidazole;100
VALUES;MP182;E234 - nisine;100
VALUES;MP183;E235 - natamycine (pimaricine);100
VALUES;MP184;E236 - acide formique;100
VALUES;MP185;E237 - formiate de sodium;100
VALUES;MP186;E238 - formiate de calcium;100
VALUES;MP187;E239 - hexamethylenetetramine;100
VALUES;MP188;E240 - formaldehyde;100
VALUES;MP189;E241 - gomme gaiac;100
VALUES;MP190;E242 - dicarbonate de dimethyle;100
VALUES;MP191;E243 - arginate d'ethyle laurique;100
VALUES;MP192;E249 - nitrite de potassium;100
VALUES;MP193;E250 - nitrite de sodium;100
VALUES;MP194;E251 - nitrate de sodium;100
VALUES;MP195;E252 - nitrate de potassium;100
VALUES;MP196;E260 - acide acétique;100
VALUES;MP197;E261 - acétates de potassium;100
VALUES;MP198;E261(i) - acétate de potassium;100
VALUES;MP199;E261(ii) - diacétate de potassium;100
VALUES;MP200;E262(i) - acétate de sodium;100
VALUES;MP201;E262(ii) - diacétate de sodium;100
VALUES;MP202;E263 - acetate de calcium;100
VALUES;MP203;E264 - acétate d'ammonium;100
VALUES;MP204;E265 - acide déhydracétique;100
VALUES;MP205;E266 - déhydroacétate de sodium;100
VALUES;MP206;E270 - acide lactique;100
VALUES;MP207;E280 - acide propionique;100
VALUES;MP208;E281 - propionate de sodium;100
VALUES;MP209;E282 - propionate de calcium;100
VALUES;MP210;E283 - propionate de potassium;100
VALUES;MP211;E284 - acide borique;100
VALUES;MP212;E285 - tetraborate de sodium (borax);100
VALUES;MP213;E290 - dioxyde de carbone, anhydride carbonique;100
VALUES;MP214;E296 - acide malique (dl- ou l-);100
VALUES;MP215;E297 - acide fumarique;100
VALUES;MP216;E300 - acide ascorbique, vitamine c;100
VALUES;MP217;E301 - ascorbate de sodium, vitamine c;100
VALUES;MP218;E302 - ascorbate de calcium, vitamine c;100
VALUES;MP219;E303 - diacetate d'ascorbyle;100
VALUES;MP220;E304 - acide palmityle-6-l-ascorbique, palmitate d'ascorbyle;100
VALUES;MP221;E305 - stéarate d'ascorbyle;100
VALUES;MP222;E306 - extrait riche en tocophérols, vitamine e;100
VALUES;MP223;E307 - alpha-tocophérol de synthèse, vitamine e;100
VALUES;MP224;E307a - tocophérol, d-alpha-;100
VALUES;MP225;E307b - tocophérol concentre;100
VALUES;MP226;E307c - tocophérol, dl-alpha-;100
VALUES;MP227;E308 - gamma-tocophérol de synthèse, vitamine e;100
VALUES;MP228;E309 - delta-tocophérol de synthèse, vitamine e;100
VALUES;MP229;E310 - gallate de propyle;100
VALUES;MP230;E311 - gallate d'octyle;100
VALUES;MP231;E312 - gallate dodecyle, ester n-dodecylique;100
VALUES;MP232;E313 - acide thiodipropionique anti- oxydant synthetique;100
VALUES;MP233;E314 - guaiac gum anti-oxydant naturel;100
VALUES;MP234;E315 - acide erythorbique;100
VALUES;MP235;E316 - erythorbate de sodium;100
VALUES;MP236;E317 - isoascorbate de potassium;100
VALUES;MP237;E318 - isoascorbate de calcium;100
VALUES;MP238;E319 - butylhydroquinone, synthetique;100
VALUES;MP239;E320 - buthylhydroxyanisol (bha);100
VALUES;MP240;E321 - buthylhydroxytoluene (bht);100
VALUES;MP241;E322(i) - lécithine, antioxidant, emulsifiant;100
VALUES;MP242;E322(ii) - lécithine partiellement hydrolysee, antioxidant, emulsifiant;100
VALUES;MP243;E323 - anoxomere, antioxidant;100
VALUES;MP244;E324 - ethoxyquine, antioxidant, pesticide;100
VALUES;MP245;E325 - lactate de sodium;100
VALUES;MP246;E326 - lactate de potassium;100
VALUES;MP247;E327 - lactate de calcium;100
VALUES;MP248;E328 - lactate d'ammonium, régulateur de l'acidité, agent de traitement des farines;100
VALUES;MP249;E329 - lactate de magnésium (dl-), régulateur de l'acidité, agent de traitement des farines;100
VALUES;MP250;E330 - acide citrique;100
VALUES;MP251;E331 - citrates de sodium (monosodique, disodique, trisodique);100
VALUES;MP252;E331(i) - citrate biacide de sodium, régulateur d'acidité, séquestrant, émulsifiant, stabilisant;100
VALUES;MP253;E331(ii) - citrate monoacide disodique, regulateur d'acidité, séquestrant, émulsifiant, stabilisant;100
VALUES;MP254;E331(iii) - citrate trisodique, régulateur d'acidité, séquestrant, émulsifiant, stabilisant;100
VALUES;MP255;E332 - citrates de potassium (monopotassique, tripotassique);100
VALUES;MP256;E332(i) - citrate biacide de potassium, régulateur de l'acidité, séquestrant, stabilisant;100
VALUES;MP257;E332(ii) - citrate tripotassique, régulateur de l'acidité, séquestrant, stabilisant;100
VALUES;MP258;E333 - citrates de calcium (monocalcique, dicalcique, tricalcique);100
VALUES;MP259;E333(i) - citrate de monocalcium, régulateur de l'acidité, affermissant, séquestrant, stabilisant;100
VALUES;MP260;E333(ii) - citrate de dicalcium, régulateur de l'acidité, affermissant, séquestrant, stabilisant;100
VALUES;MP261;E333(iii) - citrate de tricalcium, régulateur de l'acidité, affermissant, séquestrant, stabilisant;100
VALUES;MP262;E334 - acide tartrique [l (+) - ];100
VALUES;MP263;E335(i) - tartrate monosodique;100
VALUES;MP264;E335(ii) - tartrate disodique;100
VALUES;MP265;E336(i) - tartrate monopotassique;100
VALUES;MP266;E336(ii) - tartrate dipotassique;100
VALUES;MP267;E337 - tartrate double de sodium et de potassium;100
VALUES;MP268;E338 - acide orthophosphorique;100
VALUES;MP269;E339 - orthophosphates de sodium (monosodique, disodique, trisodique);100
VALUES;MP270;E339(i) - phosphate monosodique;100
VALUES;MP271;E339(ii) - phosphate disodique;100
VALUES;MP272;E339(iii) - phosphate trisodique;100
VALUES;MP273;E340 - orthophosphates de potassium (monopotassique, dipotassique, tripotassique);100
VALUES;MP274;E340(i) - orthophosphate monopotassique, régulateur de l'acidité, séquestrant, émulsifiant, agent de texture, stabilisant, agent de rétention d'eau/d'humidité;100
VALUES;MP275;E340(ii) - orthophosphate dipotassique, régulateur de l'acidité, séquestrant, émulsifiant, agent de texture, stabilisant, agent de rétention d'eau/d'humidité;100
VALUES;MP276;E340(iii) - orthophosphate tripotassique, régulateur de l'acidité, séquestrant, émulsifiant, agent de texture, stabilisant, agent de rétention d'eau/d'humidité;100
VALUES;MP277;E341 - orthophosphates de calcium (monocalcique, dicalcique, tricalcique);100
VALUES;MP278;E341(i) - orthophosphate monocalcique, régulateur de l'acidité, agent de traitement des farines, affermissant, agent de texture, agent levant, antiagglomérant, agent de rétention d'eau/d'humidité, stabilisant;100
VALUES;MP279;E341(ii) - orthophosphate dicalcique, régulateur de l'acidité, agent de traitement des farines, affermissant, agent de texture, agent levant, antiagglomérant, agent de rétention d'eau/d'humidité, stabilisant;100
VALUES;MP280;E341(iii) - orthophosphate tricalcique, régulateur de l'acidité, agent de traitement des farines, affermissant, agent de texture, agent levant, antiagglomérant, agent de rétention d'eau/d'humidité, stabilisant, tampon;100
VALUES;MP281;E342 - phosphates d'ammonium, régulateur de l'acidité, agent de traitement des farines;100
VALUES;MP282;E342(i) - orthophosphate monoammonie, régulateur de l'acidité, agent de traitement des farines;100
VALUES;MP283;E342(ii) - orthophosphate diammonie, régulateur de l'acidité, agent de traitement des farines;100
VALUES;MP284;E343 - orthophosphates de magnésium, tampons;100
VALUES;MP285;E343(i) - orthophosphate monomagnesien, régulateur de l'acidité, antiagglomérant;100
VALUES;MP286;E343(ii) - orthophosphate dimagnesien, régulateur de l'acidité, antiagglomérant;100
VALUES;MP287;E343(iii) - orthophosphate trimagnesien, régulateur de l'acidité, antiagglomérant;100
VALUES;MP288;E344 - citrate de lécithine, Conservateur;100
VALUES;MP289;E345 - citrate de magnésium, régulateur de l'acidité;100
VALUES;MP290;E349 - malate d'ammonium;100
VALUES;MP291;E350(i) - malate de sodium;100
VALUES;MP292;E350(ii) - malate acide de sodium;100
VALUES;MP293;E351 - malate de potassium;100
VALUES;MP294;E351(i) - malate acide de potassium, régulateur de l'acidité;100
VALUES;MP295;E351(ii) - malate de potassium, régulateur de l'acidité;100
VALUES;MP296;E352(i) - malate de calcium;100
VALUES;MP297;E352(ii) - malate acide de calcium;100
VALUES;MP298;E353 - acide metatartrique;100
VALUES;MP299;E354 - tartrate de calcium;100
VALUES;MP300;E355 - acide adipique;100
VALUES;MP301;E356 - adipate de sodium;100
VALUES;MP302;E357 - adipate de potassium;100
VALUES;MP303;E359 - adipates d'ammonium, régulateur de l'acidité;100
VALUES;MP304;E363 - acide succinique;100
VALUES;MP305;E364 - succinates de sodium, régulateur de l'acidité, exalteur d'arome;100
VALUES;MP306;E364(i) - succinate monosodique, régulateur de l'acidité, exaltateur d'arome;100
VALUES;MP307;E364(ii) - succinate disodique, régulateur de l'acidité, exaltateur d'arome;100
VALUES;MP308;E365 - fumarate de sodium, régulateurs d'acidité;100
VALUES;MP309;E366 - fumarates de potassium, régulateur de l'acidité;100
VALUES;MP310;E367 - fumarates de calcium, régulateur de l'acidité;100
VALUES;MP311;E368 - fumarate d'ammonium, régulateur de l'acidité;100
VALUES;MP312;E370 - 1,4-heptonolactone;100
VALUES;MP313;E375 - acide nicotinique, niacine (vitamine b3);100
VALUES;MP314;E380 - citrate de triammonium;100
VALUES;MP315;E381 - citrate d'ammonium ferrique vert;100
VALUES;MP316;E383 - glycerophosphate de calcium, épaississant, gélifiant, stabilisant;100
VALUES;MP317;E384 - citrates d'isopropyle, antioxidant, Conservateur, séquestrant;100
VALUES;MP318;E385 - éthylène diamine tétra-acétate de calcium disodium (calcium disodium edta);100
VALUES;MP319;E386 - edta: disodium ethylenediamine tétra-acétate, stabilisateurs synthétiques;100
VALUES;MP320;E387 - oxystearin, stabilisateur;100
VALUES;MP321;E388 - acide thiodipropionique, antioxidant synthétique;100
VALUES;MP322;E389 - thiodipropionate de dilauryle, antioxidant;100
VALUES;MP323;E390 - thiodipropionate de distearyle, antioxidant;100
VALUES;MP324;E391 - acide phytique, Conservateur;100
VALUES;MP325;E392 - extrait de romarin, antioxidant;100
VALUES;MP326;E399 - lactobionate de calcium, stabilisant;100
VALUES;MP327;E400 - acide alginique;100
VALUES;MP328;E401 - alginate de sodium;100
VALUES;MP329;E402 - alginate de potassium;100
VALUES;MP330;E403 - alginate d'ammonium;100
VALUES;MP331;E404 - alginate de calcium;100
VALUES;MP332;E405 - alginate de propane-1,2-diol;100
VALUES;MP333;E406 - agar-agar;100
VALUES;MP334;E407 - carraghenanes (algues);100
VALUES;MP335;E407a - algues euchema transformees;100
VALUES;MP336;E408 - glycane de levure de boulanger;100
VALUES;MP337;E409 - arabinogalactane;100
VALUES;MP338;E410 - farine de graines de caroube ou gomme de caroube;100
VALUES;MP339;E411 - gomme d'avoine;100
VALUES;MP340;E412 - gomme de jaguar ou gomme de guar;100
VALUES;MP341;E413 - gomme de dragon, ou gomme adragante, tragacanthe;100
VALUES;MP342;E414 - gomme d'acacia ou gomme arabique;100
VALUES;MP343;E415 - gomme xanthane ou gomme de mais;100
VALUES;MP344;E416 - gomme karaya;100
VALUES;MP345;E417 - gomme tara;100
VALUES;MP346;E418 - gomme gellane;100
VALUES;MP347;E419 - gomme ghatti;100
VALUES;MP348;E420(i) - sorbitol;100
VALUES;MP349;E420(ii) - sirop de sorbitol;100
VALUES;MP350;E421 - mannitol;100
VALUES;MP351;E422 - glycerol;100
VALUES;MP352;E424 - curdlan;100
VALUES;MP353;E425(i) - gomme de konjac;100
VALUES;MP354;E425(ii) - glucomannane de konjac (extrait de racine de konjac);100
VALUES;MP355;E426 - hemicellulose de soja;100
VALUES;MP356;E427 - gomme de casse;100
VALUES;MP357;E428 - gélatine, stabilisant, gélifiant, émulsifiant, épaississant, support;100
VALUES;MP358;E429 - peptones (émulsifiant);100
VALUES;MP359;E430 - stéarate de polyoxyethylene (8) (émulsifiant);100
VALUES;MP360;E431 - stéarate de polyoxyethylene (40) (émulsifiant);100
VALUES;MP361;E432 - monolaurate de polyoxyethylene sorbitane (polysorbate 20) (émulsifiant);100
VALUES;MP362;E433 - monooleate de polyoxyethylene de sorbitane (polysorbate 80) (émulsifiant);100
VALUES;MP363;E434 - monopalmitate de polyoxyethylene sorbitane (polysorbate 40) (émulsifiant);100
VALUES;MP364;E435 - monostearate de polyoxyethylene sorbitane (polysorbate 60) (émulsifiant);100
VALUES;MP365;E436 - tristearate de polyoxyethylene sorbitane (polysorbate 65) (émulsifiant);100
VALUES;MP366;E440 - pectines, agent épaississant naturel;100
VALUES;MP367;E440(i) - pectine;100
VALUES;MP368;E440(ii) - pectine amidée;100
VALUES;MP369;E441 - gélatine;100
VALUES;MP370;E442 - phosphatides d'ammonium (émulsifiant);100
VALUES;MP371;E443 - huile végétale bromée, émulsifiant, stabilisant;100
VALUES;MP372;E444 - acétate isobutyrate de saccharose;100
VALUES;MP373;E445 - esters glycériques de résine de bois;100
VALUES;MP374;E446 - succistearine, émulsifiant;100
VALUES;MP375;E450(i) - diphosphate disodique;100
VALUES;MP376;E450(ii) - diphosphate trisodique;100
VALUES;MP377;E450(iii) - diphosphate tetrasodique;100
VALUES;MP378;E450(iii) - pyrophosphate de sodium, pyrophosphate tetrasodique;100
VALUES;MP379;E450(iv) - diphosphate dipotassique;100
VALUES;MP380;E450(v) - diphosphate tetrapotassique;100
VALUES;MP381;E450(vi) - diphosphate dicalcique;100
VALUES;MP382;E450(vii) - dihydrogeno diphosphate de calcium;100
VALUES;MP383;E450(viii) - diphosphate dimagnesien, émulsifiant, stabilisant, régulateur de l'acidité, agent levant, séquestrant, agent de rétention d'eau/d'humidité;100
VALUES;MP384;E451(i) - triphosphate pentasodique;100
VALUES;MP385;E451(ii) - triphosphate pentapotassique;100
VALUES;MP386;E452(i) - polyphosphates sodiques;100
VALUES;MP387;E452(ii) - polyphosphates potassiques;100
VALUES;MP388;E452(iii) - polyphosphates calco-sodiques;100
VALUES;MP389;E452(iv) - polyphosphates calciques;100
VALUES;MP390;E452(v) - polyphosphate d'ammonium, émulsifiant, stabilisant, séquestrant, agent de texture, agent de rétention d'eau/d'humidité;100
VALUES;MP391;E452(vi) - tripoliphosphate de sodium et de potassium, émulsifiant, stabilisant, régulateur de l'acidité, agent levant, séquestrant, agent de rétention d'eau/d'humidité;100
VALUES;MP392;E457 - cyclodextrine, alpha-, stabilisant, liant;100
VALUES;MP393;E458 - cyclodextrine, gamma-, stabilisant, liant;100
VALUES;MP394;E459 - beta-cyclodextrine;100
VALUES;MP395;E460 - celluloses;100
VALUES;MP396;E460(i) - cellulose microcristalline;100
VALUES;MP397;E460(ii) - cellulose en poudre;100
VALUES;MP398;E461 - methylcellulose;100
VALUES;MP399;E462 - ethylcellulose;100
VALUES;MP400;E463 - hydroxypropylcellulose;100
VALUES;MP401;E464 - hydroxypropylmethylcellulose;100
VALUES;MP402;E465 - ethylmethylcellulose;100
VALUES;MP403;E466 - carboxymethylcellulose;100
VALUES;MP404;E467 - ethyl-hydroxyethyl-cellulose, épaississant, stabilisant, émulsifiant;100
VALUES;MP405;E468 - carboxymethylcellulose de sodium réticulée (non autorisée en agroalimentaire);100
VALUES;MP406;E469 - carboxymethylcellulose hydrolysée de manière enzymatique;100
VALUES;MP407;E470 - sels de sodium/potassium/calcium d'acides gras;100
VALUES;MP408;E470(i) - sels d'acides myristique, palmitique et stéarique avec ammoniaque, calcium, potassium et sodium, émulsifiant, stabilisant, antiagglomérant;100
VALUES;MP409;E470(ii) - sels d'acide oléique avec calcium, potassium et sodium, émulsifiant, stabilisant, antiagglomérant;100
VALUES;MP410;E470a - stéarate de sodium/potassium/calcium;100
VALUES;MP411;E470b - stéarate de magnésium;100
VALUES;MP412;E471 - mono- et diglycerides d'acides gras alimentaires;100
VALUES;MP413;E472 - esters d'acides gras alimentaires;100
VALUES;MP414;E472a - ester diacetyl-acetique d'acides gras;100
VALUES;MP415;E472b - ester diacetyl-lactique de mono- et diglycerides d'acides gras;100
VALUES;MP416;E472c - ester diacetyl-citrique de mono- et diglycerides d'acides gras;100
VALUES;MP417;E472d - ester tartrique de mono- et diglycerides d'acides gras;100
VALUES;MP418;E472e - ester monoacethyltartrique de mono- et diglycerides d'acides gras;100
VALUES;MP419;E472f - esters mixtes acétiques et tartriques des mono- et diglycerides d'acides gras;100
VALUES;MP420;E472g - monoglycerides succinyles, emulsifiant, stabilisant, séquestrant;100
VALUES;MP421;E473 - sucroester;100
