BHT;Synthétique;anti-oxydant;ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur;
bisabolol;Synthétique et naturelle;actif;conditionneur, apaisant;il existe une provenance naturelle, mais plus coûteuse
borago officinalis seed oil;Naturelle;huile végétale;émollient, conditionneur, anti-âge, apport en omega-3 et omega-6;nom vernaculaire : bourrache excellente huile de soin des peaux matures, malheureusement son prix élevé peut être dissuasif
boswellia carterii oil;Naturelle;huile essentielle;reconstituant;nom vernaculaire : encens
butyl methoxydibenzoylmethane;Synthétique;filtre UV;protège la peau des rayonnements nocifs du soleil;
butyl paraben;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;allergène
butylene glycol;Synthétique;humectant, solvant;contribue à l'hydratation de la peau, solvant pour des extraits végétaux ou des poudres, présente une petite activité biocide;moins sensibilisant que le précédent, il tend à le remplacer petit à petit
butylphenyl methylpropional;Synthétique;MP parfumée;note fleurie aqueuse;listée en allergène
butyrospermum parkii (shea butter);Naturelle;corps gras végétal;nourrissant, réparateur, relipidant, conditionneur, épaississant;"nom vernaculaire : beurre de karité idéal pour combattre l'effet asséchant du bain; à l'origine des 'body butter'"
C12-15 alkyl lactate;Synthétique;ester gras;conditionneur, émollient;
C12/15 alkyl benzoate;Synthétique;ester gras;conditionneur, émollient;
C13-14 isoparaffin;Synthétique;huile minérale;solvant, corps gras+D43;
calcium carbonate;Minérale;charge;poudre donnant de l'adhérence au produit;
camelia sinensis;Naturelle;extrait végétal;drainant;nom vernaculaire : thé
cannabis sativa seed oil;Naturelle;huile végétale;émollient, conditionneur, anti-âge, raffermissante, réparatrice;nom vernaculaire : huile de chanvre excellente huile végétale, très complète mais desservie par son origine
capric acid;Naturelle secondaire;acide gras;tensio-actif;
caprylic acid;Naturelle secondaire;acide gras;tensio-actif;
caprylic/capric glycerides;Naturelle secondaire;corps gras;émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;
caprylic/capric succinic triglycerides;Naturelle secondaire;corps gras;émollient;
caprylic/capric triglycerides;Naturelle secondaire;corps gras;émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;
caramel;Naturelle;colorant;donne une couleur jaune pâle à brun selon le dosage;le plus simple et naturel des colorants
carbomer;Synthétique;gélifiant;gélifier les phases aqueuses, épaissir, augmenter la viscosité;
cellulose;Naturelle secondaire;polymer;absorbant, épaississant;
centaurea cyanus flower extract;Naturelle;extrait végétal;apaisant;nom vernaculaire : bleuet
centella asiatica extract;Naturelle;actif;conditionneur, actif apaisant, adoucissant;nom vernaculaire : hydrocotyle
cera alba (beeswax);Naturelle;corps gras animal;stabilisateur d'émulsion, conditionneur, épaississant;nom commun : cire d'abeille, élément clef du 'cold cream'
cera candelilla (euphorbia cerifera wax);Naturelle;cire végétale;stabilisateur d'émulsion, épaississant, liant, filmogène, conditionneur;nom vernaculaire : candellila
cera carnauba (copernicia cerifera wax);Naturelle;cire végétale;stabilisateur d'émulsion, épaississant, durciceur, liant;nom vernaculaire : carnauba
cera microcristallina (and) paraffinum liquidum (a;Minérale;cire minérale;émollient, protecteur;
ceramide 3;Synthétique;complexe;conditionneur;
ceteareth-6;Synthétique;tensio-actif;émulsionnant;dérivé d'oxyde d'éthylène
ceteareth-60 myristyl glycol;Synthétique;tensio-actif;émulsionnant;dérivé d'oxyde d'éthylène
cetearyl alcohol;Naturelle secondaire;alcool gras;stabilisant, opacifiant, épaississant;
cetearyl ethylhexanoate;Synthétique;ester gras;conditionneur, émollient;
cetearyl glucoside;Naturelle secondaire;tensio-actif;émulsionnant;
cetearyl isononanoate;Synthétique;ester gras;conditionneur, émollient;
cetearyl stearate;Synthétique;ester;conditionneur;modificateur de rhéologie
ceteth-10 phosphate;Synthétique;tensio-actif;émulsionnant;
ceteth-20;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
cetrimonium bromide;Synthétique;conservateur, agent anti-statique, tensio-actif;empécher la prolifération de bactéries et de levures;
cetyl alcohol;Naturelle secondaire;alcool gras;stabilisant, co-émulsionnant, épaississant;
cetyl dimethicone;Synthétique;silicone;anti-moussant, occlusif, protecteur;
cetyl hydroxyethylcellulose;Naturelle secondaire;gélifiant;épaississant, viscosant;
cetyl palmitate;Naturelle secondaire;ester gras;conditionneur, occlusif;modificateur de rhéologie
cetyl ricinoleate;Naturelle secondaire;ester gras;occlusif;modificateur de rhéologie
chlorhexidine;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;limitation de dosage = 0,3%
chlorhexidine digluconate;Synthétique;conservateur;biocide;
chlorphenesin;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;
cholesterol;Synthétique;alcool gras;stabilisateur, conditionneur;
chondrus crispus (carrageenan);Naturelle;gélifiant;gélifier les phases aqueuses, épaissir, augmenter la viscosité;apporte également des sels minéraux de part son origine marine
CI 14700;Synthétique;colorant;rouge;
CI 15985;Synthétique;colorant;coloration jaune orangé;
CI 42090;Synthétique;colorant;colorant bleu turquoise;
CI 77266;Naturelle;colorant;couleur noire;autre nom : carbone
CI 77491 (iron oxide);Semi naturelle;colorant;teinte brune;
CI 77492;Semi naturelle;colorant;couleur jaune brun;autre nom : oxyde de fer
CI 77891;Minérale;charge;poudre blanchissante, écran solaire minéral;autre nomenclature : titanium dioxide
cinnamal;Synthétique et naturelle;MP parfumée;note cannelle;listée en allergène, naturellement présente dans la cannelle
cistus labdaniferus oil;Naturelle;huile essentielle;tenseur, reconstituant;nom vernaculaire : ciste
citric acid;Synthétique et naturelle;ajusteur de pH;permet de rendre le pH d'un produit moins basique ou plus acide;c'est l'acide naturellement présent dans le citron
citronellol;Synthétique et naturelle;MP parfumée;note rosée;listé en allergène, naturellement présent dans l'huile essentielle de rose
citronellyl methylcrotonate;Synthétique;actif;anti-odeur;
citrus grandis;Naturelle;huile essentielle;purifiant, équilibrant;nom vernaculaire : pamplemousse
citrus limonum;Naturelle;huile essentielle;conditionneur, exfoliant;nom vernaculaire : citron
climbazole;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;
cocamide DEA;Synthétique;tensio-actif;nettoyant, épaississant;
cocamide MEA;Synthétique;tensio-actif;agent nettoyant, moussant, viscosant;
cocamide MIPA;Synthétique;tensio-actif;moussant, épaississant;
cocamidopropyl betaine;Synthétique et naturelle;tensio-actif;nettoyant, moussant;plus doux que le SLS, attenue ses effets asséchants. Il existe une qualité d'origine végétale validée par Ecocert
coco betaine;Synthétique et naturelle;tensio-actif;nettoyant, moussant, conditionneur, anti-statique;Il existe une qualité d'origine végétale validée par Ecocert
coco nucifera (coconut) oil;Naturelle;huile végétale;conditionneur, pour le coprah = base d'élaboration d'autres produits;nom INCI commun à l'huile de coco et à l'huile de coprah
cocoglucoside;Naturelle secondaire;tensio-actif;nettoyant;dérivé d'alcool de noix de coco
coconut acid;Semi naturelle;tensio-actif;nettoyant;dérivé d'huile de coco
coriandrum sativum (coriander) seed oil;Naturelle;huile essentielle;propriétés : réchauffante et stimulante;utilisée en parfumerie, note épicée fraîche
coumarin;Synthétique et naturelle;MP parfumée;note amandée;listée en allergène, naturellement présente dans la fève tonka
cucumis sativus (cucumber);Naturelle;extrait végétal;émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce;
cyclohexasiloxane;Synthétique;silicone;conditionneur, émollient;
cyclomethicone;Synthétique;silicone;conditionneur, émollient, solvant;volatile
cyclomethicone (and) dimethicone/vinyl dimethicone;Synthétique;silicone;polymer épaississant;
cyclopentasiloxane;Synthétique;silicone;conditionneur, émollient, solvant;volatile
decyl glucoside;Naturelle secondaire;tensio-actif;nettoyant;
decyl oleate;Naturelle secondaire;ester gras;conditionneur, émollient;
dehydroacetic acid;Synthétique;conservateur;biocide;
diazolidinyl urea;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;
dicaprylyl carbonate;Synthétique;ester gras;émollient;
dicaprylyl ether;Naturelle secondaire;ether;émollient;
diethylhexyl sebacate;Synthétique;ester gras;filmogène, solvent, MP parfum;
dimethicone;Synthétique;silicone;anti-moussant, occlusif, protecteur;certains grades sont volatiles
dimethicone copolyol;Synthétique;silicone;conditionneur;
dimethicone PEG-7 phosphate;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
dimethiconol;Synthétique;silicone;anti-moussant, émollient;volatile
dipentaerythrityl hexacaprylate/hexacaprate;Synthétique;ester gras;occlusif, viscosant;
diphenyl dimethicone;Synthétique;silicone;anti-moussant, occlusif, protecteur;
dipropylene glycol;Synthétique;solvant;composant de l'excipient, solvant pour parfum;
disodium cocoamphodiacetate;Synthétique;tensio-actif;nettoyant, moussant, conditionneur;
disodium cocoyl glutamate;Synthétique;tensio-actif;nettoyant;
disodium EDTA;Synthétique;chelatant;neutraliser les ions complexes de l'eau, en particulier le calcaire;
disodium laureth sulfosuccinate;Synthétique;tensio-actif;nettoyant, moussant, en association augmente le pouvoir moussant et viscosant;haute tolérance cutanée
disodium lauryl sulfosuccinate;Naturelle secondaire;tensio-actif;agent nettoyant, moussant, très doux;conseillé dans les produits pour bébés et les syndets
disodium oleamido PEG-2 sulfosuccinate;Synthétique;tensio-actif;nettoyant, mousant, hydrotrope;obtenu par réaction avec de l'oxyde d'éthylène
disodium phosphate;Synthétique;ajusteur de pH;tampon, anti-oxydant;maintient le pH d'un produit stable
DMDM hydantoin;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;peut libérer du formaldéhyde dans certaines conditions
docosahexaenoic acid;Synthétique;acide;conditionneur;
EDTA;Synthétique;chélatant;neutralise en partie le calcaire de l'eau;
eicosapentaenoic acid;Synthétique;acide;conditionneur;
elaeis guineensis (palm) oil;Naturelle;huile végétale;émollient, occlusif;nom vernaculaire : palme
ethoxydiglycol;Synthétique;ether;solvant, fluidifiant;
ethyl avocadate;Naturelle secondaire;ester;conditionneur, émolient;modificateur de rhéologie, dérivé d'huile d'avocat
ethyl glutamate;Naturelle secondaire;ester;conditionneur;modificateur de rhéologie
ethyl methoxycinnamate;Synthétique;filtre UV;protège la peau des rayonnements nocifs du soleil;
ethyl paraben;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;allergène
ethylhexyl methoxycinnamate;Synthétique;filtre UV;protège la peau des rayonnements nocifs du soleil;
ethylhexyl methoxycinnamate (and) butyl methoxydib;Synthétique;mélange;protection du produit contre les UV;mélange de filtres UV rendus hydrosolubles
ethylhexyl palmitate;Synthétique;ester gras;émollient;
ethylhexyl salicylate;Synthétique;filtre UV;protection du produit contre les UV;
eucalyptus globulus oil;Naturelle;huile essentielle;purifiante;nom vernaculaire : eucalyptus
Ext. D&C violet n°2;Synthétique;colorant;colorant violet;
fenchyl acetate;Synthétique;MP parfumée;;listé en allergène
formaldehyde;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;limitation de dosage = 0,2% (sauf hygiène buccale), 0,1% hygiène buccale, interdit dans les sprays
geraniol;Synthétique et naturelle;MP parfumée;note rosée;listé en allergène, naturellement présent dans l'huile essentielle de rose
geranium maculatum oil;Naturelle;huile essentielle;stimulante;nom vernaculaire : géranium
ginkgo biloba;Naturelle;extrait végétal;conditionneur, anti-âge;
glycereth-26;Synthétique;ether;humectant, fluidifiant;dérivé d'oxyde d'éthylène
glycerin;Synthétique et naturelle;humectant;contribue à l'hydratation de la peau;peut être d'origine animale ou végétale
glyceryl cocoate;Naturelle secondaire;ester;émollient, émulsionnant;
glyceryl isostearate;Naturelle secondaire;ester;émollient, émulsionnant;
glyceryl oleate;Naturelle secondaire;ester;émollient, émulsionnant;
glyceryl polymethacrylate;Synthétique;polymer;filmogène;
glyceryl stearate;Synthétique;ester;émollient, émulsionnant;c'est un dérivé de glycérine
glycine;Synthétique et naturelle;actif;conditionneur, substance tampon;acide aminé
glycine soja;Naturelle;extrait végétal;restructurant, tonifiant;nom vernaculaire :soja
glycol distearate;Synthétique;ester;opacifiant, nacrant, viscosant;
glycol distearate (and) laureth-4 (and) cocamidopr;Synthétique;tensio-actif;agent nettoyant, moussant, viscosant, donne un aspect nacré;glycol distearate = nacrant
glycol stearate;Synthétique;ester;émulsionnant, opacifiant, viscosant, émollient;
gossypium;Naturelle;extrait végétal;apaisant;nom vernaculaire : coton
guanidine carbonate;Synthétique;actif;disciplinant capillaire, tenseur;
hedera helix (ivy) extract;Naturelle;actif;drainant;nom vernaculaire : lierre
helianthus annuus (sunflower) seed extract;Naturelle;extrait végétal;protecteur, anti-âge;nom vernaculaire : tournesol
helianthus annuus (sunflower) seed oil;Naturelle;huile végétale;protectrice, conditionneur;outil technique à la base de nombreux macérats végétaux
hesperidin methyl chalcone;Synthétique;anti-oxydant;anti-oxydant;
hexyldecyl stearate;Synthétique;ester gras;émollient, occlusif;
hexylene glycol;Synthétique;alcool;solvant, fluidifiant;
hibiscus sabdariffa (hibiscus sabdariffa) extract;Naturelle;extrait végétal;exfoliant, lipolitique;
hieracium pilosella;Naturelle;extrait végétal;drainant;nom vernaculaire : épervière piloselle
hydnocarpus kurzii seed oil;Naturelle;huile végétale;;nom commun : chaulmoogra
hydrogenated castor oil;Naturelle secondaire;corps gras;conditionneur, épaississant;forme plus couramment usitée de l'huile de ricin
hydrogenated lanoline;Naturelle secondaire;corps gras animal;conditionneur;dérivé de lanoline
hydrogenated polydecene;Synthétique;polymer;conditionneur, émollient;
hydrogenated polyisobutene;Synthétique;huile minérale;émollient;
hydrogenated talloweth-60 myristyl glycol;Synthétique;tensio-actif;émulsionnant;
hydrolyzed soy protein;Naturelle secondaire;actif;conditionneur, humectant;dérivé de soja
hydrolyzed wheat protein;Naturelle secondaire;actif;filmogène, conditionneur;dérivé de blé
hydroxyethylcellulose;Naturelle secondaire;gélifiant;épaississant des phases aqueuses;
hydroxyisohexyl 3-cyclohexene carboxaldehyde;Synthétique;MP parfumée;note amandée;listée en allergène
hydroxypropyl guar hydroxypropyltrimonium chloride;Synthétique;complexe quaternaire;anti-statique, conditionneur;
hypericum perforatum;Naturelle;extrait végétal;conditionneur, décontractant;nom commun : millepertuis
imidazolidinyl urea;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;
imidazolidinyl urea;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;limitation de dosage = 0,6%
iodopropynyl butylcarbamate;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;
isobutane;Synthétique;gaz propulseur;propulseur;
isobutyl paraben;Synthétique;conservateur;biocide;
isoceteth-20;Synthétique;tensio-actif;émulsionnant, solubilisant;
isocetyl isostearate;Synthétique;ester;conditionneur, émollient;modificateur de rhéologie
isocetyl stearate;Synthétique;ester gras;émollient;
isododecane;Minérale;corps gras;solvant, composant de la phase grasse;c'est un hydrocarbure
isohexadecane;Synthétique;corps gras;émollient;
isopropyl myristate;Synthétique;ester;liant, conditionneur, émollient, solvant;modificateur de rhéologie, très utilisé en parfumerie comme solvant
isostearyl isostearate;Synthétique;ester;liant, conditionneur, émollient;modificateur de rhéologie, substitut de l'huile de jojoba
isostearyl neopentanoate;Synthétique;ester gras;émollient;
juglans regia (walnut);Naturelle;extrait végétal;stimulant, astringeant, tonifiant, exfoliant si en grain/poudre;nom vernaculaire : noyer commun
juniperus oxycedrus;Naturelle;huile essentielle;anti-pelliculaire, assainissante;nom vernaculaire : cade
kaolin;Minérale;charge;poudre absorbante, exfoliante et protectrice;composant de base des masques à l'argile, peut être aussi utilisé comme filtre solaire minéral
lactamide MEA;Synthétique;tensio-actif;conditionneur, moussant;
lactic acid;Synthétique;ajusteur de pH;acidifiant, exfoliant, humectant;naturellement présent dans le corps humain
lactose;Synthétique;sucre;conditionneur, humectant;naturellement présent dans le lait
laminaria digitata;Naturelle;tensio-actif;agent nettoyant, moussant, doux;provient d'une algue
lanolin;Naturelle;corps gras animal;stabilisateur d'émulsion, conditionneur, épaississant, émollient, protectrice, relipidant;attention aux allergies
lanolin acid;Naturelle secondaire;acide gras;tensio-actif agent nettoyant;dérivé de lanoline
lanolin alcohol;Naturelle secondaire;alcool gras, stérol;liant, stabilisateur d'émulsion, conditionneur, épaississant;dérivé de lanoline
lauramidopropyl betaine;Synthétique;complexe;anti-statique, conditionneur, nettoyant;
laureth-10;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
laureth-16;Synthétique;tensio-actif;nettoyant, émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
laureth-2;Synthétique;tensio-actif;émulsionnant;dérivé d'oxyde d'éthylène
laureth-25;Synthétique;tensio-actif;nettoyant, solubilisant;obtenu par réaction avec de l'oxyde d'éthylène
laureth-4;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
laureth-7;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
lauric acid;Synthétique;acide gras;tensio-actif;
lauryl alcohol;Synthétique;alcool gras;stabilisant, émollient, co-émulsionnant;
lauryl betaine;Synthétique;tensio-actif;anti-statique, conditionneur, nettoayant, moussant;
lauryl glucoside;Naturelle;tensio-actif;nettoyant;
lavandin oil;Naturelle;huile essentielle;apaisant;
lecithin;Synthétique et naturelle;tensio-actif;émulsionnant;gare aux OGM !
leucine;Synthétique et naturelle;actif;conditionneur;acide aminé
limonene;Synthétique et naturelle;MP parfumée;note orange;listée en allergène, naturellement présente dans les agrumes
linalool;Synthétique et naturelle;MP parfumée;note fleurie légère;listé en allergène, naturellement présent dans l'huile essentielle de coriandre et de bois de rose (entre autres)
linalyl acetate;Synthétique et naturelle;MP parfumée;note lavandée;listé en allergène, naturellement présent dans l'huile essentielle de lavande et de lavandin
linoleic acid;Synthétique;acide gras;conditionneur, tensio-actif nettoyant;composant de la vitamine F, autre nom : omega-6
luffa cylindrica;Naturelle;extrait végétal;exfoliant en fibre ou en poudre;nom vernaculaire : loofah
lysine;Synthétique et naturelle;actif;conditionneur;acide aminé
magnesium aluminium silicate;Minérale;gélifiant;gélifier les phases aqueuses, épaissir, augmenter la viscosité;propriété tixotrope
magnesium carbonate;Minérale;charge;poudre donnant de l'adhérence au produit, propriété absorbante;
magnesium stearate;Minérale;charge;poudre aidant à la dispersion des pigments, apporte de l'adhérence à la peau;
magnesium sulfate;Minérale;vecteur d'actif;support d'actifs;
malic acid;Synthétique;acide;ajusteur de pH;naturellement présent dans la pomme
malpighia glabra (acerola) fruit extract;Naturelle;extrait végétal;conditionneur, anti-âge, anti-oxydant;nom vernaculaire : acérola, riche en vitamine C
maltodextrin;Naturelle secondaire;gélifiant;épaississant, absorbant, filmogène;
malva sylvestris extract;Naturelle;extrait végétal;apaisant;nom vernaculaire : mauve
marine collagen;Naturelle;actif;conditionneur, lissant;protéine issue des cartilages et autres tissus conjonctifs d'animaux (coquillage, …) marins
menthoxypropanediol;Naturelle;alcool;agent rafraîchissant;
methyl cellulose;Naturelle secondaire;gélifiant;gélifier les phases aqueuses, épaissir, augmenter la viscosité;
methyl paraben;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;allergène
methylchloroisothiazolinone;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;limitation de dosage
methyldibromo glutaronitrile;Synthétique;conservateur;biocide;
methylisothiazolinone;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;limitation de dosage
mica;Naturelle;colorant;donne un aspect soyeux, brillant;
mineral oil;Minérale;huile minérale;conditionneur, émollient;
mourera fluviatilis;Naturelle;extrait végétal;hydratant, réparateur;
mustela (mink oil);Naturelle;corps gras animal;conditionneur, nourrissant, réparateur;origine animale, huile de vison
myristyl alcohol;Synthétique;alcool gras;stabilisateur, émollient;
neopentylglycol dicaprylate/dicaprate;Synthétique;ester gras;émollient, épaississant;
nitrocellulose;Semi naturelle;gélifiant;agent de supsension des pigments pour les vernis à ongles;danger, très explosif
octoxynol-13;Synthétique;tensio-actif;émulsionnant;
octyl methoxycinnamate;Synthétique;filtre UV;protège le produit fini, ou l peau suivant le dosage;
octyl palmitate;Synthétique;ester gras;émollient, conditionneur;
octyldodecanol;Synthétique;alcool gras;émollient;
octyldodecyl myristate;Synthétique;ester gras;conditionneur, occlusif;
oenothera biennis (evening primrose) oil;Naturelle;huile végétale;conditionneur, anti-âge;nom vernaculaire : onagre, proche en composition de l'huile de bourrache
olea europaea (olive) fruit oil;Naturelle;huile végétale;conditionneur, adoucissante, nourrissante, régénérante, anti-âge;nom vernaculaire : olive
olea europaea leaf extract;Naturelle;extrait végétal;régénérant, apaisant;nom vernaculaire : olivier
oleth-10;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
oleth-20;Synthétique;tensio-actif;nettoyant, émulsionnant, solubilisant;obtenu par réaction avec de l'oxyde d'éthylène
oleth-5;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
olivoyl hydrolyzed wheat protein;Naturelle secondaire;tensio-actif;agent nettoyant, moussant, doux;dérivé de protéine de blé
oryza sativa (rice) extract;Naturelle;extrait végétal;conditionneur;nom vernaculaire : riz
oyster shell extract;Naturelle;actif;;extrait de coquille d'huître
ozokerite;Minérale;cire minérale;liant, épaississant, stabilisant;
palm acid;Naturelle secondaire;tensio-actif;émulsionnant, opacifiant, nettoyant;dérivé d'huile de palme
palmitic acid;Synthétique;acide gras;émulsionnant, opacifiant;
panax ginseng root extract;Naturelle;extrait végétal;conditionneur, tonifiant;
panthenol;Synthétique;actif;conditionneur, apaisant;
paraffinum liquidum;Minérale;huile minérale;émolliente, protectrice;à la base des huiles sèches
parfum (fragrance);Synthétique et naturelle;parfum;argument supplémentaire de vente et d'offre de plaisir pour la cliente;attention aux allergènes
passiflora incarnata;Naturelle;extrait végétal;astringent;nom vernaculaire : passiflore
PCA;Synthétique;actif;humectant;
pearl powder;Naturelle;additif;apporter de l'éclat, renvoyer la lumière;c'est de la poudre de perle d'eau douce
PEG-100 stearate;Synthétique;tensio-actif;nettoyant;dérivé d'oxyde d'éthylène
PEG-12;Synthétique;complexe;humectant, solvant;dérivé d'oxyde d'éthylène
PEG-120 methyl glucose;Synthétique;complexe;épaississant pour les tensio-actif (bases lavantes);origine végétale suivie d'une éthoxylation
PEG-150 distearate;Synthétique;tensio-actif;nettoyant, solubilisant;dérivé d'oxyde d'éthylène
PEG-150 pentaerythrityl tetrastearate;Synthétique;ester;viscosant;
PEG-16 macadamia glycerides;Synthétique;tensio-actif;émollient, émulsionnant;dérivé d'huile de noix de macadamia obtenu par réaction avec de l'oxyde d'éthylène
PEG-18 glyceryl oleate/cocoate;Synthétique;tensio-actif;émulsionnant, émollient;
