semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_fr;Definition;resourceSubTypeCode;Domain;ExternalLink;changeLog;Status;Version
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNOR_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CONSIGNOR_ASSIGNED;Cosignor assigned;Cosignataire assigné;An internal identifier assigned by the consignor.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:FREIGHT_FORWARDER_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;FREIGHT_FORWARDER_ASSIGNED;Freight forwarder assigned;Transitaire affecté;An internal identifier assigned by the freight forwarder.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode;AdditionalIndividualAssetIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalIndividualAssetIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned;Industrie assignée;An identifier assigned by a sector specific agency for the individual asset.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:OWNER_ASSIGNED;AdditionalIndividualAssetIdentificationTypeCode;OWNER_ASSIGNED;Owner assigned;Propriétaire attribué;An internal identifier assigned by the party that owns the asset.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode;AdditionalLogisticUnitIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;GOODS_RECEIVER_ASSIGNED;Goods receiver assigned;Réceptionnaire de marchandises affecté;An internal identifier assigned by the receiver of the goods.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;LOGISTICS_SERVICE_PROVIDER_ASSIGNED;Logistics service provider assigned;Prestataire logistique affecté;An internal identifier assigned by the logistics service provider.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:SHIPPER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;SHIPPER_ASSIGNED;Shipper assigned;Expéditeur assigné;An internal identifier assigned by the shipper.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode;AdditionalPartyIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;CHANGED;CURRENT;3
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;AdditionalPartyIdentificationTypeCode;BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;Buyer assigned identifier for a party;Identifiant attribué par l'acheteur pour une partie;An internal identifier assigned by a buyer, used to identify each trading partner with whom they engage in a commercial relationship.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:CASHSSP;AdditionalPartyIdentificationTypeCode;CASHSSP;CASHSSP;CASHSSP;Identifier assigned by the Cash Single Shared Platform, a cash distribution platform currently applied by several national central banks in Europe. Release notes: New in version 2.;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:CHRN;AdditionalPartyIdentificationTypeCode;CHRN;Swiss Single Registration Number (CHRN);Numéro d'enregistrement unique suisse (CHRN);Swiss Single Registration Number (CHRN): Unique registration number assigned by Swissmedic in accordance with MedDO Art. 55.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:CNPJ;AdditionalPartyIdentificationTypeCode;CNPJ;CNPJ;CNPJ;National Register of Legal Entities in Brazil, a unique number that identifies a legal entity and other types of legal arrangement without legal personality with the Brazilian Federal Revenue Service.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:COMPANY_CAD;AdditionalPartyIdentificationTypeCode;COMPANY_CAD;Company.Cad;Société.Cad;Internal code of registration in GS1 Brazil, used for identification and distribution control of GTINs of Brazilian companies.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DEA_DRUG_ENFORCEMENT_AGENCY;AdditionalPartyIdentificationTypeCode;DEA_DRUG_ENFORCEMENT_AGENCY;DEA;brigade des stupéfiants;United States official Drug Enforcement Agency database of persons and organizations certified to handle controlled substances under the Controlled Substances Act.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS;AdditionalPartyIdentificationTypeCode;DUNS;DUNS;DUNS;Data Universal Numbering System. It is a nine-digit numbering system which uniquely identifies an individual business. The DUNS number is a nine-digit number issued by Dun & Bradstreet assigned to each business location in the D&B database having a unique, separate, and distinct operation for the purpose of identifying them. A DUNS number is also a way in which separate corporate entities, having no official relationship, can be branded as one by sharing one DUNS number among the affiliated comp;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS_PLUS_FOUR;AdditionalPartyIdentificationTypeCode;DUNS_PLUS_FOUR;DUNS+4;DUNS+4;The DUNS+4 refers to the DUNS number assigned by Dun and Bradstreet, plus a 4-character suffix that is assigned by the vendor to establish additional Central Contractor Registration  (CCR) database records for identifying alternative electronic funds transfer (EFT) accounts for the same vendor located at the same physical address.  Dun and Bradstreet has no affiliation with the 4-character suffix.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:EU_VAT_IDENTIFICATION_NUMBER;AdditionalPartyIdentificationTypeCode;EU_VAT_IDENTIFICATION_NUMBER;EU VAT Identification Number;Numéro d'identification TVA de l'UE;An identifier used to identify companies for value added tax purposes in the European Union.;CODEVALUE;Shared;;NEW;CURRENT;3
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_1;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_1;For internal use 1;Pour usage interne 1;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_10;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_10;For internal use 10;Pour usage interne 10;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_11;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_11;For internal use 11;Pour usage interne 11;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_12;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_12;For internal use 12;Pour usage interne 12;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_13;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_13;For internal use 13;Pour usage interne 13;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_14;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_14;For internal use 14;Pour usage interne 14;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_15;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_15;For internal use 15;Pour usage interne 15;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_16;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_16;For internal use 16;Pour usage interne 16;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_17;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_17;For internal use 17;Pour usage interne 17;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_18;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_18;For internal use 18;Pour usage interne 18;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_19;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_19;For internal use 19;Pour usage interne 19;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_2;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_2;For internal use 2;Pour usage interne 2;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_20;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_20;For internal use 20;Pour usage interne 20;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_3;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_3;For internal use 3;Pour usage interne 3;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_4;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_4;For internal use 4;Pour usage interne 4;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_5;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_5;For internal use 5;Pour usage interne 5;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_6;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_6;For internal use 6;Pour usage interne 6;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_7;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_7;For internal use 7;Pour usage interne 7;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_8;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_8;For internal use 8;Pour usage interne 8;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_9;AdditionalPartyIdentificationTypeCode;FOR_INTERNAL_USE_9;For internal use 9;Pour usage interne 9;Identification used for internal mapping purposes.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER;AdditionalPartyIdentificationTypeCode;HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER;HIN canadian healthcare identification number;Numéro d’identification de santé canadien HIN;Not Available;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:PARTITA_IVA;AdditionalPartyIdentificationTypeCode;PARTITA_IVA;Agenzia delle Entrate;Agence des Entrées;An identification number assigned to a party by the Italian “Agenzia delle Entrate” for fiscal purposes;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SCAC;AdditionalPartyIdentificationTypeCode;SCAC;SCAC;SCAC;Standard Carrier Alpha Code, used for identifying truckers, railroads and other conveyors;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;AdditionalPartyIdentificationTypeCode;SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY;Seller assigned identifier for a party;Identifiant attribué par le vendeur pour une partie;An internal identifier assigned by a seller, used to identify each trading partner with whom they engage in a commercial relationship.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SIRET;AdditionalPartyIdentificationTypeCode;SIRET;SIRET;SIRET;The SIRET is a 14 digit number composed by the SIREN (9 digits) and an internal classification number of 5n (NIC) identifying the company location.  This code value is applicable in the French context and SIRET stands for Système d'Identification du Répertoire des Etablissements;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SRN;AdditionalPartyIdentificationTypeCode;SRN;EUDAMED Single Registration Number (SRN);Numéro d'enregistrement unique EUDAMED (SRN);EUDAMED Single Registration Number (SRN);CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:TD_LINK_TRADE_DIMENSIONS;AdditionalPartyIdentificationTypeCode;TD_LINK_TRADE_DIMENSIONS;TD link trade dimensions;Dimensions du commerce du lien TD;Nielsen assigned party identifier that allows companies to link their party master files to a corresponding Nielsen TDLinx Code. Nielsen TDLinx creates a link file between each customer number and Nielsen TDLinx Code, store to store and account to account.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UCC_COMMUNICATION_IDENTIFICATION;AdditionalPartyIdentificationTypeCode;UCC_COMMUNICATION_IDENTIFICATION;UCC Communication Identification;Identification des communications UCC;UCC Communication Identification;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UN_LOCATION_CODE;AdditionalPartyIdentificationTypeCode;UN_LOCATION_CODE;UN Location Code;Code de localisation de l'ONU;UN Location Code;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UNKNOWN;AdditionalPartyIdentificationTypeCode;UNKNOWN;Unknown;Inconnu;Additional Party Identification is unknown.;CODEVALUE;Shared;;NEW;CURRENT;2
urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:USDA_ESTABLISHMENT_NUMBER;AdditionalPartyIdentificationTypeCode;USDA_ESTABLISHMENT_NUMBER;USDA establishment number;Numéro d'établissement USDA;United States Department of Agriculture assigned identifier. All containers of meat, poultry, and egg products must be labeled with a USDA mark of inspection and establishment (EST number), which is assigned to the plant where the product was produced.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode;AdditionalReturnableAssetIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalReturnableAssetIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned;Industrie assignée;An identifier assigned by a sector specific agency for the returnable asset.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:OWNER_ASSIGNED;AdditionalReturnableAssetIdentificationTypeCode;OWNER_ASSIGNED;Owner assigned;Propriétaire attribué;An internal identifier assigned by the party that owns the returnable asset.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode;AdditionalServiceRelationIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalServiceRelationIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned;Industrie assignée;An identifier assigned by a sector specific agency for service.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:SERVICE_PROVIDER_ASSIGNED;AdditionalServiceRelationIdentificationTypeCode;SERVICE_PROVIDER_ASSIGNED;Service provider assigned;Prestataire de services attribué;An internal identifier assigned by the party providing the service.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode;AdditionalShipmentIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;GOODS_RECEIVER_ASSIGNED;Goods receiver assigned;Réceptionnaire de marchandises affecté;An internal identifier assigned by the receiver of the goods.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;LOGISTICS_SERVICE_PROVIDER_ASSIGNED;Logistics service provider assigned;Prestataire logistique affecté;An internal identifier assigned by the logistics service provider.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:SHIPPER_ASSIGNED;AdditionalShipmentIdentificationTypeCode;SHIPPER_ASSIGNED;Shipper assigned;Expéditeur assigné;An internal identifier assigned by the party sending the shipment.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode;AdditionalTradeItemClassificationCodeListCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;CHANGED;CURRENT;9
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:1;AdditionalTradeItemClassificationCodeListCode;1;GXS;GXS;GXS Product Data Quality (Formerly UDEX LTD);CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:10;AdditionalTradeItemClassificationCodeListCode;10;CCG;GCC;CCG - Code system used in the GS1 Germany market;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:11;AdditionalTradeItemClassificationCodeListCode;11;EANFIN;EANFIN;EANFIN - Code system used in the GS1 Finland market;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:13;AdditionalTradeItemClassificationCodeListCode;13;IFLS5;IFLS5;IFLS5 - Code system used in the GS1 France market;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:14;AdditionalTradeItemClassificationCodeListCode;14;CBL;CBL;CBL - Code system used in the GS1 Netherlands market;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:12;AdditionalTradeItemClassificationCodeListCode;12;CFIA (Canadian Food Inspection Agency) fish list;Liste des poissons de l'ACIA (Agence canadienne d'inspection des aliments);Canadian Food Inspection Agency (CFIA) fish list - The Canadian Food Inspection Agency is a regulatory agency that is dedicated to the safeguarding of food, plants, and animals in Canada.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:15;AdditionalTradeItemClassificationCodeListCode;15;JICFS;JICFS;Catalogue Item Information Service of Japan JICFS. Classification system maintained by GS1 Japan and used mainly on the Japanese market.;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:16;AdditionalTradeItemClassificationCodeListCode;16;European Union;Union européenne;European Union. The economic association of over a dozen European countries which seek to create a unified, barrier-free market for products and services throughout the continent.  Category of product eligible for EU subsidy (applies for certain dairy products with specific level of fat content.  1 Category I - full milk (>3,5 % fat) 2 Category II - standard milk (3,0 - 3,5 % fat) 5 Category V - medium fat milk (1,5 - 1,8 % fat)7 Category VII - low fat milk (<0,5 % fat)9 Category IX - other;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:17;AdditionalTradeItemClassificationCodeListCode;17;GS1 Spain;GS1 Espagne;GS1 Spain. A product classification system maintained by GS1 Spain and used in the Spanish Market.;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:18;AdditionalTradeItemClassificationCodeListCode;18;GS1 Poland;GS1 Pologne;GS1 Poland. A product classification system maintained by GS1 Poland.;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:19;AdditionalTradeItemClassificationCodeListCode;19;Federal Agency on Technical Regulating and Metrology of the Russia Federation;Agence fédérale de réglementation technique et de métrologie de la Fédération de Russie; A Russian government agency that serves as a national standardization body of the Russian Federation.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:2;AdditionalTradeItemClassificationCodeListCode;2;IRI;IRI;IRI;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:20;AdditionalTradeItemClassificationCodeListCode;20;ECR;REC;Efficient Consumer Response (ECR) Austria;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:21;AdditionalTradeItemClassificationCodeListCode;21;GS1 Italy;GS1 Italie;GS1 Italy;CODEVALUE;Shared;;CHANGED;CURRENT;2
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:22;AdditionalTradeItemClassificationCodeListCode;22;CPV;CPV;Common Procurement Vocabulary (CPV) was introduced in 1996 as a means of raising the level of transparency and efficiency in the field of public acquisition. The use of the standard names of the CPV facilitates the marking of the procurement contracts they are interested in. In addition, CPV facilitates the swift and exact translation of contract information for publication in the official EU Bulletin as well as the preparation of procurement statistics. The CPV code consists of eight characters as well as a control character. It is managed by the Office for Official Publications of the European Communities (OPOCE).;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:23;AdditionalTradeItemClassificationCodeListCode;23;IFDA;IFDA;International Foodservice Distributors Association (IFDA);CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:24;AdditionalTradeItemClassificationCodeListCode;24;AHFS;AHFS;American Hospital Formulary Service AHFS Pharmacologic - Therapeutic Classification© (AHFS);CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:25;AdditionalTradeItemClassificationCodeListCode;25;ATC;ATC;Anatomical Therapeutic Chemical classification (ATC);CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:26;AdditionalTradeItemClassificationCodeListCode;26;ClaDiMed;ClaDiMed;Classification des Dispositifs Médicaux (ClaDiMed);CODEVALUE;Shared;;NEW;CURRENT;1
