semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_en;bcpg:lvValue_fr;bcpg:lvValue_de;bcpg:lvValue_nl;bcpg:lvValue_es;bcpg:lvValue_en_US;bcpg:lvValue_it;bcpg:lvValue_pt;bcpg:lvValue_sv;bcpg:lvValue_fi;changeLog;Status;Version;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:26;AdditionalTradeItemClassificationCodeListCode;26;ClaDiMed;ClaDiMed;ClaDiMed;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:27;AdditionalTradeItemClassificationCodeListCode;27;CMDR;CMDR;CMDR;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:28;AdditionalTradeItemClassificationCodeListCode;28;CND;CND;CND;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:3;AdditionalTradeItemClassificationCodeListCode;3;AC Nielsen;AC Nielsen;AC Nielsen;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:30;AdditionalTradeItemClassificationCodeListCode;30;UKDM&D;UKDM&D;Royaume-UniDM&D;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:31;AdditionalTradeItemClassificationCodeListCode;31;eCl@ss;eCl@ss;eCl@ss;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:32;AdditionalTradeItemClassificationCodeListCode;32;EDMA;EDMA;EDMA;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:33;AdditionalTradeItemClassificationCodeListCode;33;EGAR;EGAR;EGAR;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:34;AdditionalTradeItemClassificationCodeListCode;34;IMS;IMS;IMS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:35;AdditionalTradeItemClassificationCodeListCode;35;GMDN;GMDN;GMDN;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:36;AdditionalTradeItemClassificationCodeListCode;36;GPI;GPI;IPP;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:37;AdditionalTradeItemClassificationCodeListCode;37;HCPCS;HCPCS;HCPCS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:38;AdditionalTradeItemClassificationCodeListCode;38;ICPS;ICPS;ICPS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:39;AdditionalTradeItemClassificationCodeListCode;39;MedDRA;MedDRA;MedDRA;;;;;;;;;Shared;;NEW;CURRENT;1;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:4;AdditionalTradeItemClassificationCodeListCode;4;GS1 Canada ECCnet;GS1 Canada ECCnet;GS1 Canada ECCnet;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:40;AdditionalTradeItemClassificationCodeListCode;40;Medical Columbus;Medical Columbus;Colombus médical;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:41;AdditionalTradeItemClassificationCodeListCode;41;NAPCS;NAPCS;NAPCS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:42;AdditionalTradeItemClassificationCodeListCode;42;NHS-eClass;NHS-eClass;Classe électronique du NHS;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:43;AdditionalTradeItemClassificationCodeListCode;43;US FDA PCCD;US FDA PCCD;PCCD de la FDA américaine;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:44;AdditionalTradeItemClassificationCodeListCode;44;SHPA;SHPA;SHPA;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:45;AdditionalTradeItemClassificationCodeListCode;45;SNOMED CT;SNOMED CT;SNOMED CT;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:46;AdditionalTradeItemClassificationCodeListCode;46;UMDNS;UMDNS;UMDNS;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:47;AdditionalTradeItemClassificationCodeListCode;47;DTB;DTB;DTB;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:48;AdditionalTradeItemClassificationCodeListCode;48;FEDAS PCK;FEDAS PCK;FEDAS PCK;;;;;;;;;CODEVALUE;Shared;;CHANGED;CURRENT;1;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:49;AdditionalTradeItemClassificationCodeListCode;49;EAS;EAS;EAS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:5;AdditionalTradeItemClassificationCodeListCode;5;UNSPSC;UNSPSC;UNSPSC;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:50;AdditionalTradeItemClassificationCodeListCode;50;Australian TGA Type;Australian TGA Type;Type TGA australien;;;;;;;;;Shared;;NEW;CURRENT;2;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:51;AdditionalTradeItemClassificationCodeListCode;51;Australian Medicines and Poisons Schedule Code;Australian Medicines and Poisons Schedule Code;Code australien des médicaments et des poisons;;;;;;;;;CODEVALUE;Shared;;NEW;CURRENT;2;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:52;AdditionalTradeItemClassificationCodeListCode;52;Australian Pharmaceutical Benefits Scheme;Australian Pharmaceutical Benefits Scheme;Régime australien d'assurance-médicaments;;;;;;;;; so the consumer will pay the difference of $3.50 for the medication. The Repatriation Pharmaceutical Benefits Scheme is effectively the same scheme; however; offered to eligible war veterans; war widows and their dependents.;CODEVALUE;Shared;;NEW;CURRENT;2;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:53;AdditionalTradeItemClassificationCodeListCode;53;Australian TGA Risk Classification;Australian TGA Risk Classification;Classification des risques TGA australienne;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:54;AdditionalTradeItemClassificationCodeListCode;54;MIV-C;MIV-C;MIV-C;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:55;AdditionalTradeItemClassificationCodeListCode;55;MIV-D;MIV-D;MIV-D;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:56;AdditionalTradeItemClassificationCodeListCode;56;BTE;BTE;BTE;;;;;;;;;NEW;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:57;AdditionalTradeItemClassificationCodeListCode;57;REV;REV;TOUR;;;;;;;;;Shared;;NEW;CURRENT;2;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:58;AdditionalTradeItemClassificationCodeListCode;58;FDA Premarket Submission Number;FDA Premarket Submission Number;Numéro de soumission préalable à la mise sur le marché de la FDA;;;;;;;;;CHANGED;CURRENT;4;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:59;AdditionalTradeItemClassificationCodeListCode;59;ETIM;ETIM;ETIM;;;;;;;;;;NEW;CURRENT;3;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:6;AdditionalTradeItemClassificationCodeListCode;6;ECCMA;ECCMA;ECCMA;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:60;AdditionalTradeItemClassificationCodeListCode;60;G-DRG;G-DRG;G-DRG;;;;;;;;; the Association of Statutory Health Insurance Funds and the Association of private health insurance. http://www.g-drg.de/cms/;CODEVALUE;Shared;;NEW;CURRENT;3;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:61;AdditionalTradeItemClassificationCodeListCode;61;ICD-GM;ICD-GM;CIM-GM;;;;;;;;;Shared;;NEW;CURRENT;3;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:62;AdditionalTradeItemClassificationCodeListCode;62;OPS-G;OPS-G;OPS-G;;;;;;;;;CODEVALUE;Shared;;NEW;CURRENT;3;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:63;AdditionalTradeItemClassificationCodeListCode;63;NCM;NCM;MR;;;;;;;;; uses the Harmonized System that forms the six first numbers; while the seventh and eighth numbers are used for specific within Mercosul. Harmonized System: The Harmonised Commodity Description and Coding System (HS) of tariff nomenclature is an internationally standardized system of names and numbers for classifying traded products developed and maintained by the World Customs Organization (WCO) (formerly the Customs Co-operation Council); an independent intergovernmental organization with over 170 member countries based in Brussels; Belgium. Example: 0104.10.11;CODEVALUE;Shared;;NEW;CURRENT;3;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:64;AdditionalTradeItemClassificationCodeListCode;64;CORE DIY;CORE DIY;DIY DE BASE;;;;;;;;;NEW;CURRENT;3;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:65;AdditionalTradeItemClassificationCodeListCode;65;FDA Preferred Term Code;;FDA Preferred Term Code;;;;;;;;; Unique four-character value assigned by the FDA to indicate a GMDN Preferred Term without exposing the GMDN PT Code.;CODEVALUE;Shared;;NEW;CURRENT;1;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:66;AdditionalTradeItemClassificationCodeListCode;66;Medsafe Risk Classification;Medsafe Risk Classification;Classification des risques Medsafe;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:67;AdditionalTradeItemClassificationCodeListCode;67;Medsafe Regulatory Classification;Medsafe Regulatory Classification;Classification réglementaire Medsafe;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:68;AdditionalTradeItemClassificationCodeListCode;68;LPRR;LPRR;LPRR;;;;;;;;; implantable devices or vehicles for the physically disabled. For each product the LPPR is applied with the refundable amount; the repayment rate and possibly its end date of repayment.;CODEVALUE;Shared;;NEW;CURRENT;1;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:69;AdditionalTradeItemClassificationCodeListCode;69;INN;INN;AUBERGE;;;;;;;;;NEW;CURRENT;4;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:7;AdditionalTradeItemClassificationCodeListCode;7;EAN Norges Multibransje Varegruppestandard;EAN Norges Multibransje Varegruppestandard;EAN Norges Multibransje Varegruppestandard;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:70;AdditionalTradeItemClassificationCodeListCode;70;VBN;VBN;VBN;;;;;;;;;;NEW;CURRENT;5;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:71;AdditionalTradeItemClassificationCodeListCode;71;Groupement d’Etude des Marchés en Restauration Collective et de Nutrition;Groupement d’Etude des Marchés en Restauration Collective et de Nutrition;Groupement d’Etude des Marchés en Restauration Collective et de Nutrition;;;;;;;;;NEW;CURRENT;6;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:72;AdditionalTradeItemClassificationCodeListCode;72;European Community School Milk;European Community School Milk;Lait scolaire de la Communauté européenne;;;;;;;;;NEW;CURRENT;6;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:73;AdditionalTradeItemClassificationCodeListCode;73;OKPD2 Russian Classification of Product by Economic Activities.;OKPD2 Russian Classification of Product by Economic Activities.;OKPD2 Classification russe des produits par activités économiques.;;;;;;;;;NEW;CURRENT;7;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:74;AdditionalTradeItemClassificationCodeListCode;74;French Ministry of Health;French Ministry of Health;Ministère français de la Santé;;;;;;;;;NEW;CURRENT;7;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:75;AdditionalTradeItemClassificationCodeListCode;75;GS1 Sweden Alcoholic Beverages;GS1 Sweden Alcoholic Beverages;Boissons alcoolisées GS1 Suède;;;;;;;;;NEW;CURRENT;8;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:76;AdditionalTradeItemClassificationCodeListCode;76;EU Regulation (MDR/IVDR) Risk class;EU Regulation (MDR/IVDR) Risk class;Classe de risque du règlement de l'UE (MDR/IVDR);;;;;;;;;;CHANGED;CURRENT;9;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:77;AdditionalTradeItemClassificationCodeListCode;77;MiGeL Position number;MiGeL Position number;Numéro de position MiGeL;;;;;;;;;NEW;CURRENT;9;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:78;AdditionalTradeItemClassificationCodeListCode;78;Swissmedic dispensing category;Swissmedic dispensing category;Catégorie de distribution Swissmedic;;;;;;;;; E: Supply in the absence of advice of a specialist.;CODEVALUE;Shared;;CHANGED;UPDATED;2;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:79;AdditionalTradeItemClassificationCodeListCode;79;DE_Hilfsmittelnummer;DE_Hilfsmittelnummer;DE_Hilfsmittelnummer;;;;;;;;; indication-related requirements and medical benefit have been proven by the manufacturer. In the aid directory of the statutory health insurance funds all aids with aid number are divided into categories and product groups and collected.;CODEVALUE;Shared;;NEW;CURRENT;1;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:8;AdditionalTradeItemClassificationCodeListCode;8;Supplier Assigned;Supplier Assigned;Fournisseur assigné;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:80;AdditionalTradeItemClassificationCodeListCode;80;Valvira Packaging Code;Valvira Packaging Code;Code d'emballage Valvira;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:81;AdditionalTradeItemClassificationCodeListCode;81;Valvira Product Category Code;Valvira Product Category Code;Code de catégorie de produit Valvira;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:82;AdditionalTradeItemClassificationCodeListCode;82;Valvira Quality Class Code for wines;Valvira Quality Class Code for wines;Code de classe de qualité Valvira pour les vins;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:83;AdditionalTradeItemClassificationCodeListCode;83;BNN;BNN;BNN;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:84;AdditionalTradeItemClassificationCodeListCode;84;CEST;CEST;CEST;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:85;AdditionalTradeItemClassificationCodeListCode;85;EU Directive (MDD/AIMDD/IVDD) Risk class;EU Directive (MDD/AIMDD/IVDD) Risk class;Classe de risque de la directive européenne (MDD/AIMDD/IVDD);;;;;;;;;Shared;;NEW;CURRENT;1;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:86;AdditionalTradeItemClassificationCodeListCode;86;National Healthcare Security Administration (NHSA);National Healthcare Security Administration (NHSA);Administration nationale de la sécurité des soins de santé (NHSA);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:87;AdditionalTradeItemClassificationCodeListCode;87;National Medical Products Administration (NMPA);National Medical Products Administration (NMPA);Administration nationale des produits médicaux (NMPA);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:88;AdditionalTradeItemClassificationCodeListCode;88;European Medical Device Nomenclature (EMDN);European Medical Device Nomenclature (EMDN);Nomenclature européenne des dispositifs médicaux (EMDN);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:89;AdditionalTradeItemClassificationCodeListCode;89;COFEPRIS;COFEPRIS;COFEPRIS;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:9;AdditionalTradeItemClassificationCodeListCode;9;AMECE;AMECE;AMECE;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:90;AdditionalTradeItemClassificationCodeListCode;90;Czech State Veterinary Administration;Czech State Veterinary Administration;Administration vétérinaire d'État tchèque;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:91;AdditionalTradeItemClassificationCodeListCode;91;Czech General Health Insurance Code (VZP);Czech General Health Insurance Code (VZP);Code général d'assurance maladie tchèque (VZP);;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:93;AdditionalTradeItemClassificationCodeListCode;93;Sailab Fennica;Sailab Fennica;Sailab Fennica;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:99;AdditionalTradeItemClassificationCodeListCode;99;United Kingdom (UK) High in Fat Salt and Sugar (HFSS);United Kingdom (UK) High in Fat Salt and Sugar (HFSS);Royaume-Uni (RU) Riche en matières grasses;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode;AlcoholBeverageDistilledFromCode;;;;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:APPLE;AlcoholBeverageDistilledFromCode;APPLE;Apple;Apple;Pomme;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:BARLEY;AlcoholBeverageDistilledFromCode;BARLEY;Barley;Barley;Orge;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:CORN;AlcoholBeverageDistilledFromCode;CORN;Corn;Corn;Maïs;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:GRAIN;AlcoholBeverageDistilledFromCode;GRAIN;Grain;Grain;Grain;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:GRAPE;AlcoholBeverageDistilledFromCode;GRAPE;Grape;Grape;Raisin;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:HONEY;AlcoholBeverageDistilledFromCode;HONEY;Honey;Honey;Chéri;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:HOPS;AlcoholBeverageDistilledFromCode;HOPS;Hops;Hops;Houblon;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MALT;AlcoholBeverageDistilledFromCode;MALT;Malt;Malt;Malt;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MILK;AlcoholBeverageDistilledFromCode;MILK;Milk;Milk;Lait;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:MOLASSES;AlcoholBeverageDistilledFromCode;MOLASSES;Molasses;Molasses;mélasse;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:OATS;AlcoholBeverageDistilledFromCode;OATS;Oats;Oats;Avoine;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:PEAR;AlcoholBeverageDistilledFromCode;PEAR;Pear;Pear;Poire;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:POTATO;AlcoholBeverageDistilledFromCode;POTATO;Potato;Potato;Pomme de terre;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AlcoholBeverageDistilledFromCode:QUINOA;AlcoholBeverageDistilledFromCode;QUINOA;Quinoa;Quinoa;Quinoa;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
