"PATH";"/Temp/PF";;;;
"TYPE";"bcpg:finishedProduct";;;;
"MAPPING";"Ciqual";;;;
"COLUMNS";"bcpg:code";"cm:name";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en";"bcpg:productHierarchy1";"bcpg:productHierarchy2"
"VALUES";"PF23881";"Beignet à la confiture";"Beignet à la confiture";"Beignet à la confiture";"Doughnut, jam filled, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF23883";"Beignet aux fruits";"Beignet aux fruits";"Beignet aux fruits";"Fritter, fruit";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF23900";"Pâtisserie (aliment moyen)";"Pâtisserie (aliment moyen)";"Pâtisserie (aliment moyen)";"Pastry (average)";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23909";"Cake aux fruits";"Cake aux fruits";"Cake aux fruits";"Fruit cake";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23939";"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait";"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait";"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait";"Mini pound cake with chocolate filling";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23940";"Gâteau moelleux fourré au chocolat multicouche";"Gâteau moelleux fourré au chocolat multicouche";"Gâteau moelleux fourré au chocolat multicouche";"Multi-layer mini pound cake";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23941";"Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré";"Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré";"Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré";"Mini pound cake with fruit filling";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23950";"Muffin, aux myrtilles ou au chocolat";"Muffin, aux myrtilles ou au chocolat";"Muffin, aux myrtilles ou au chocolat";"Muffin, blueberry or chocolate";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF24000";"Biscuit sec, tout type";"Biscuit sec, tout type";"Biscuit sec, tout type";"Biscuit (cookie)";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24002";"Biscuit sec à teneur garantie en vitamines";"Biscuit sec à teneur garantie en vitamines";"Biscuit sec à teneur garantie en vitamines";"Biscuit (cookie), vitamin enriched";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24003";"Biscuit sec à teneur garantie en vitamines et minéraux";"Biscuit sec à teneur garantie en vitamines et minéraux";"Biscuit sec à teneur garantie en vitamines et minéraux";"Biscuit (cookie), vitamin and mineral enriched";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24004";"Biscuit sec aux fruits, hyposodé";"Biscuit sec aux fruits, hyposodé";"Biscuit sec aux fruits, hyposodé";"Biscuit (cookie) with fruit, low sodium";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24007";"Biscuit sec croquant au chocolat, allégé en matière grasse";"Biscuit sec croquant au chocolat, allégé en matière grasse";"Biscuit sec croquant au chocolat, allégé en matière grasse";"Biscuit (cookie), light, chocolate";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24010";"Biscuit sec, avec matière grasse végétale";"Biscuit sec, avec matière grasse végétale";"Biscuit sec, avec matière grasse végétale";"Biscuit (cookie), plain";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24015";"Biscuit sec petit beurre";"Biscuit sec petit beurre";"Biscuit sec petit beurre";"Biscuit (cookie), butter, sweet";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24016";"Biscuit sec avec tablette de chocolat";"Biscuit sec avec tablette de chocolat";"Biscuit sec avec tablette de chocolat";"Biscuit (cookie) with chocolate square";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24031";"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse";"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse";"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse";"Biscuit (cookie), light, without chocolate";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24034";"Biscuit sec pour petit déjeuner";"Biscuit sec pour petit déjeuner";"Biscuit sec pour petit déjeuner";"Breakfast biscuit (cookie), dry";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24036";"Biscuit sec chocolaté, préemballé";"Biscuit sec chocolaté, préemballé";"Biscuit sec chocolaté, préemballé";"Biscuit (cookie), chocolat";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24037";"Biscuit sec fourré à la pâte ou purée de fruits";"Biscuit sec fourré à la pâte ou purée de fruits";"Biscuit sec fourré à la pâte ou purée de fruits";"Biscuit (cookie) with fruit filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24038";"Biscuit sec avec nappage chocolat";"Biscuit sec avec nappage chocolat";"Biscuit sec avec nappage chocolat";"Biscuit (cookie), chocolate-covered";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24040";"Biscuit sec pour petit déjeuner, au chocolat";"Biscuit sec pour petit déjeuner, au chocolat";"Biscuit sec pour petit déjeuner, au chocolat";"Breakfast biscuit (cookie), with chocolate, dry";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24049";"Biscuit sec au beurre, sablé, galette ou palet";"Biscuit sec au beurre, sablé, galette ou palet";"Biscuit sec au beurre, sablé, galette ou palet";"Biscuit (cookie), shortbread, commercial";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24225";"Goûter sec fourré ("sandwiché") parfum lait ou vanille";"Goûter sec fourré ("sandwiché") parfum lait ou vanille";"Goûter sec fourré (''sandwiché'') parfum lait ou vanille";"Biscuit (cookie), sandwich type, with vanilla or milk filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24231";"Goûter sec fourré ("sandwiché") parfum chocolat";"Goûter sec fourré ("sandwiché") parfum chocolat";"Goûter sec fourré (''sandwiché'') parfum chocolat";"Biscuit (cookie), snack with chocolate filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24310";"Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisette…)";"Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisette…)";"Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisette…)";"Biscuit (cookie), wafer with filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24320";"Gaufrette fourrée, aux fruits";"Gaufrette fourrée, aux fruits";"Gaufrette fourrée, aux fruits";"Biscuit (cookie), wafer with fruit filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24430";"Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir";"Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir";"Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir";"Biscuit (cookie), sponge fingers or Lady fingers";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24441";"Langue de chat";"Langue de chat";"Langue de chat";"Biscuit (cookie), vanilla";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24520";"Meringue";"Meringue";"Meringue";"Biscuit (cookie), meringue, from bakery";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24615";"Biscuit sec ou tuile, aux amandes";"Biscuit sec ou tuile, aux amandes";"Biscuit sec ou tuile, aux amandes";"Biscuit (cookie), thin, with almonds";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24630";"Madeleine";"Madeleine";"Madeleine";"Madeleine biscuit (cookie)";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF24659";"Biscuit sec feuilleté, type palmier ou autres";"Biscuit sec feuilleté, type palmier ou autres";"Biscuit sec feuilleté, type palmier ou autres";"Biscuit (cookie), flaky pastry";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24660";"Palmier, artisanal";"Palmier, artisanal";"Palmier, artisanal";"Biscuit (cookie), flaky pastry, from bakery";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24666";"Mille-feuilles";"Mille-feuilles";"Mille-feuilles";"Mille-feuille pastry, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF24678";"Biscuit sec (génoise) nappé aux fruits, type barquette";"Biscuit sec (génoise) nappé aux fruits, type barquette";"Biscuit sec (génoise) nappé aux fruits, type barquette";"Biscuit (cookie), boat-shaped, jam filled, commercial";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24680";"Biscuit moelleux fourré à l'orange et enrobé de sucre glace";"Biscuit moelleux fourré à l'orange et enrobé de sucre glace";"Biscuit moelleux fourré à l'orange et enrobé de sucre glace";"Little sponge cake with orange filling, sugar iced";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24684";"Cookie";"Cookie";"Cookie";"Biscuit (cookie), chocolate-chip";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF24686";"Génoise sèche fourrée aux fruits et nappée de chocolat";"Génoise sèche fourrée aux fruits et nappée de chocolat";"Génoise sèche fourrée aux fruits et nappée de chocolat";"Biscuit (cookie), with fruit filling, chocolate-topped";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF25001";"Blanquette de veau";"Blanquette de veau";"Blanquette de veau";"Veal stew in white sauce";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25002";"Cassoulet, appertisé";"Cassoulet, appertisé";"Cassoulet, appertisé";"Cassoulet, canned";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25003";"Choucroute garnie, appertisée";"Choucroute garnie, appertisée";"Choucroute garnie, appertisée";"Sauerkraut with meat, canned";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25004";"Choucroute, sans jus";"Choucroute, sans jus";"Choucroute, sans jus";"Sauerkraut, drained";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25009";"Hachis Parmentier";"Hachis Parmentier";"Hachis Parmentier";"Shepherd's pie";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25010";"Petit salé ou saucisse aux lentilles";"Petit salé ou saucisse aux lentilles";"Petit salé ou saucisse aux lentilles";"Lentils with salt-cured pork or sausage";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25013";"Pot-au-feu";"Pot-au-feu";"Pot-au-feu";"Pot-au-feu";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25018";"Ratatouille niçoise";"Ratatouille niçoise";"Ratatouille niçoise";"Ratatouille";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25019";"Ravioli viande, sauce tomate";"Ravioli viande, sauce tomate";"Ravioli viande, sauce tomate";"Ravioli with meat and tomato sauce, canned";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25020";"Soufflé au fromage";"Soufflé au fromage";"Soufflé au fromage";"Cheese soufflé";"Plats composés";"Plats à base de fromage"
"VALUES";"PF25029";"Couscous mouton";"Couscous mouton";"Couscous mouton";"Couscous with mutton";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25031";"Paella";"Paella";"Paella";"Paëlla";"Plats composés";"Plats à base de céréales ou pâtes"
"VALUES";"PF25033";"Bœuf bourguignon";"Bœuf bourguignon";"Bœuf bourguignon";"Beef stew, Burgundy-style";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF25049";"Poisson avec tagliatelles";"Poisson avec tagliatelles";"Poisson avec tagliatelles";"Fish with tagliatelles and cream";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25051";"Paella, surgelée";"Paella, surgelée";"Paella, surgelée";"Paëlla, frozen";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF25056";"Gratin dauphinois";"Gratin dauphinois";"Gratin dauphinois";"Creamed potatoes, Dauphiné-style";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25057";"Poêlée savoyarde";"Poêlée savoyarde";"Poêlée savoyarde";"Potato, cheese and wine dish";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF25065";"Bœuf carottes";"Bœuf carottes";"Bœuf carottes";"Beef with carrots, canned";"Plats composés";"Plats à base de viande ou volaille"
