STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMPORT_TYPE;EntityListItem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:nutList;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Unité des nutriments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Energie kJ;Energie kcal;Eau;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Amidon;Polyols totaux;Fibres alimentaires;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine A;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;ERP code 1;Protéines;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Protéines brutes (N x 6.25);13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Glucides;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Sucres;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Amidon;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Polyols totaux;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Fibres alimentaires;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Lipides;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;AG saturés;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;AG monoinsaturés;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;AG polyinsaturés;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Rétinol;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Bêta-carotène;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine A;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine D;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Activité vitaminique E (en équivalents alpha-tocophérol);27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine C totale;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B1 ou Thiamine;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B2 ou Riboflavine;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B3 ou PP ou Niacine;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B5 ou Acide pantothénique;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B6 ou Pyridoxine;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B12 ou Cobalamines;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Vitamine B9 ou Folates totaux;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Alcool (éthanol);36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Acides organiques;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Cholestérol;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
