PATH;/System/Characts/bcpg:entityLists/Ings;;;;;;
TYPE;bcpg:ing;;;;;;
COLUMNS;cm:name;cm:description;bcpg:ingType;bcpg:ingCEECode;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en
VALUES;borago officinalis seed oil;emollient, conditioner, anti-aging, omega-3 intake and omega-6;Vegetable oil;;borago officinalis seed oil;borago officinalis seed oil;borago officinalis seed oil
VALUES;boswellia carterii oil;restorative;Essential oil;;boswellia carterii oil;boswellia carterii oil;boswellia carterii oil
VALUES;butyl methoxydibenzoylmethane;protects the skin from harmful sun rays;Uv filter;;butyl methoxydibenzoylmethane;butyl methoxydibenzoylmethane;butyl methoxydibenzoylmethane
VALUES;butyl paraben;prevent the proliferation of bacteria and yeast;Conservative;;butyl paraben;butyl paraben;butyl paraben
VALUES;butylene glycol;contributes to the hydration of the skin, for solvent extracts or powder has a small Biocidal;Humectant, solvent;;butylene glycol;butylene glycol;butylene glycol
VALUES;butylphenyl methylpropional;floral note aqueous;Mp scented;;butylphenyl methylpropional;butylphenyl methylpropional;butylphenyl methylpropional
VALUES;butyrospermum parkii (shea butter);nourishing, repairing, replenishing, conditioner, thickening;Vegetable fat;;butyrospermum parkii (shea butter);butyrospermum parkii (shea butter);butyrospermum parkii (shea butter)
VALUES;C12-15 alkyl lactate;conditioner, emollient;Fatty ester;;C12-15 alkyl lactate;C12-15 alkyl lactate;C12-15 alkyl lactate
VALUES;C12/15 alkyl benzoate;conditioner, emollient;Fatty ester;;C12/15 alkyl benzoate;C12/15 alkyl benzoate;C12/15 alkyl benzoate
VALUES;C13-14 isoparaffin;solvent, fats + D43;Mineral oil;;C13-14 isoparaffin;C13-14 isoparaffin;C13-14 isoparaffin
VALUES;calcium carbonate;powder giving adhesion to the product;Load;;calcium carbonate;calcium carbonate;calcium carbonate
VALUES;camelia sinensis;draining;Plant extract;;camelia sinensis;camelia sinensis;camelia sinensis
VALUES;cannabis sativa seed oil;emollient, conditioner, anti-aging, firming, restorative;Vegetable oil;;cannabis sativa seed oil;cannabis sativa seed oil;cannabis sativa seed oil
VALUES;capric acid;surfactant;Fatty acid;;capric acid;capric acid;capric acid
VALUES;caprylic acid;surfactant;Fatty acid;;caprylic acid;caprylic acid;caprylic acid
VALUES;caprylic/capric glycerides;emollient, conditioner, helps reshape the fat from the skin, leaving the skin soft and supple;Fat;;caprylic/capric glycerides;caprylic/capric glycerides;caprylic/capric glycerides
VALUES;caprylic/capric succinic triglycerides;emollient;Fat;;caprylic/capric succinic triglycerides;caprylic/capric succinic triglycerides;caprylic/capric succinic triglycerides
VALUES;caprylic/capric triglycerides;emollient, conditioner, helps reshape the fat from the skin, leaving the skin soft and supple;Fat;;caprylic/capric triglycerides;caprylic/capric triglycerides;caprylic/capric triglycerides
VALUES;caramel;gives a pale yellow to brown depending on the dosage;Dye;;caramel;caramel;caramel
VALUES;carbomer;aqueous phases gel, thicken, increase the viscosity;Gelling;;carbomer;carbomer;carbomer
VALUES;cellulose;absorbent, thickening;Polymer;;cellulose;cellulose;cellulose
VALUES;centaurea cyanus flower extract;soothing;Plant extract;;centaurea cyanus flower extract;centaurea cyanus flower extract;centaurea cyanus flower extract
VALUES;centella asiatica extract;conditioner, soothing active, softening;Active;;centella asiatica extract;centella asiatica extract;centella asiatica extract
VALUES;cera alba (beeswax);emulsion stabilizer, conditioner, thickener;Animal fats;;cera alba (beeswax);cera alba (beeswax);cera alba (beeswax)
VALUES;cera candelilla (euphorbia cerifera wax);emulsion stabilizer, thickener, binder, film forming conditioner;Vegetable wax;;cera candelilla (euphorbia cerifera wax);cera candelilla (euphorbia cerifera wax);cera candelilla (euphorbia cerifera wax)
VALUES;cera carnauba (copernicia cerifera wax);emulsion stabilizer, thickener durciceur, binder;Vegetable wax;;cera carnauba (copernicia cerifera wax);cera carnauba (copernicia cerifera wax);cera carnauba (copernicia cerifera wax)
VALUES;cera microcristallina (and) paraffinum liquidum (a;emollient, protective;Mineral wax;;cera microcristallina (and) paraffinum liquidum (a;cera microcristallina (and) paraffinum liquidum (a;cera microcristallina (and) paraffinum liquidum (a
VALUES;ceramide 3;conditioner;Complex;;ceramide 3;ceramide 3;ceramide 3
VALUES;ceteareth-6;emulsifying;Surfactant;;ceteareth-6;ceteareth-6;ceteareth-6
VALUES;ceteareth-60 myristyl glycol;emulsifying;Surfactant;;ceteareth-60 myristyl glycol;ceteareth-60 myristyl glycol;ceteareth-60 myristyl glycol
VALUES;cetearyl alcohol;stabilizer, opacifier, thickening;Fatty alcohol;;cetearyl alcohol;cetearyl alcohol;cetearyl alcohol
VALUES;cetearyl ethylhexanoate;conditioner, emollient;Fatty ester;;cetearyl ethylhexanoate;cetearyl ethylhexanoate;cetearyl ethylhexanoate
VALUES;cetearyl glucoside;emulsifying;Surfactant;;cetearyl glucoside;cetearyl glucoside;cetearyl glucoside
VALUES;cetearyl isononanoate;conditioner, emollient;Fatty ester;;cetearyl isononanoate;cetearyl isononanoate;cetearyl isononanoate
VALUES;cetearyl stearate;conditioner;Ester;;cetearyl stearate;cetearyl stearate;cetearyl stearate
VALUES;ceteth-10 phosphate;emulsifying;Surfactant;;ceteth-10 phosphate;ceteth-10 phosphate;ceteth-10 phosphate
VALUES;ceteth-20;emulsifying;Surfactant;;ceteth-20;ceteth-20;ceteth-20
VALUES;cetrimonium bromide;prevent the proliferation of bacteria and yeast;Conservative, anti-static agent, surfactant;;cetrimonium bromide;cetrimonium bromide;cetrimonium bromide
VALUES;cetyl alcohol;stabilizer, co-emulsifier, thickener;Fatty alcohol;;cetyl alcohol;cetyl alcohol;cetyl alcohol
VALUES;cetyl dimethicone;Anti-foaming occlusive protective;Silicone;;cetyl dimethicone;cetyl dimethicone;cetyl dimethicone
VALUES;cetyl hydroxyethylcellulose;thickener, thickening;Gelling;;cetyl hydroxyethylcellulose;cetyl hydroxyethylcellulose;cetyl hydroxyethylcellulose
VALUES;cetyl palmitate;conditioner occlusive;Fatty ester;;cetyl palmitate;cetyl palmitate;cetyl palmitate
VALUES;cetyl ricinoleate;plosive;Fatty ester;;cetyl ricinoleate;cetyl ricinoleate;cetyl ricinoleate
VALUES;chlorhexidine;prevent the proliferation of bacteria and yeast;Conservative;;chlorhexidine;chlorhexidine;chlorhexidine
VALUES;chlorhexidine digluconate;biocide;Conservative;;chlorhexidine digluconate;chlorhexidine digluconate;chlorhexidine digluconate
VALUES;chlorphenesin;prevent the proliferation of bacteria and yeast;Conservative;;chlorphenesin;chlorphenesin;chlorphenesin
VALUES;cholesterol;stabilizer, conditioner;Fatty alcohol;;cholesterol;cholesterol;cholesterol
VALUES;chondrus crispus (carrageenan);aqueous phases gel, thicken, increase the viscosity;Gelling;;chondrus crispus (carrageenan);chondrus crispus (carrageenan);chondrus crispus (carrageenan)
VALUES;CI 14700;red;Dye;;CI 14700;CI 14700;CI 14700
VALUES;CI 15985;yellow orange;Dye;;CI 15985;CI 15985;CI 15985
VALUES;CI 42090;turquoise blue dye;Dye;;CI 42090;CI 42090;CI 42090
VALUES;CI 77266;black;Dye;;CI 77266;CI 77266;CI 77266
VALUES;CI 77491 (iron oxide);brown color;Dye;;CI 77491 (iron oxide);CI 77491 (iron oxide);CI 77491 (iron oxide)
VALUES;CI 77492;yellow brown;Dye;;CI 77492;CI 77492;CI 77492
VALUES;CI 77891;bleaching powder, mineral sunscreen;Load;;CI 77891;CI 77891;CI 77891
VALUES;cinnamal;Note cinnamon;Mp scented;;cinnamal;cinnamal;cinnamal
VALUES;cistus labdaniferus oil;tensor, restoring;Essential oil;;cistus labdaniferus oil;cistus labdaniferus oil;cistus labdaniferus oil
VALUES;citric acid;allows to make the pH of a less basic or more acid;Ph adjuster;;citric acid;citric acid;citric acid
VALUES;citronellol;rosy note;Mp scented;;citronellol;citronellol;citronellol
VALUES;citronellyl methylcrotonate;odor;Active;;citronellyl methylcrotonate;citronellyl methylcrotonate;citronellyl methylcrotonate
VALUES;citrus grandis;purifying, balancing;Essential oil;;citrus grandis;citrus grandis;citrus grandis
VALUES;citrus limonum;conditioner, exfoliating;Essential oil;;citrus limonum;citrus limonum;citrus limonum
VALUES;climbazole;prevent the proliferation of bacteria and yeast;Conservative;;climbazole;climbazole;climbazole
VALUES;cocamide DEA;cleaner, thickener;Surfactant;;cocamide DEA;cocamide DEA;cocamide DEA
VALUES;cocamide MEA;cleaner, foaming, viscosity;Surfactant;;cocamide MEA;cocamide MEA;cocamide MEA
VALUES;cocamide MIPA;foaming, thickening;Surfactant;;cocamide MIPA;cocamide MIPA;cocamide MIPA
VALUES;cocamidopropyl betaine;cleaning, foaming;Surfactant;;cocamidopropyl betaine;cocamidopropyl betaine;cocamidopropyl betaine
VALUES;coco betaine;cleaner, foaming, conditioning, anti-static;Surfactant;;coco betaine;coco betaine;coco betaine
VALUES;coco nucifera (coconut) oil;conditioner for copra = basis for developing other products;Vegetable oil;;coco nucifera (coconut) oil;coco nucifera (coconut) oil;coco nucifera (coconut) oil
VALUES;cocoglucoside;cleanser;Surfactant;;cocoglucoside;cocoglucoside;cocoglucoside
VALUES;coconut acid;cleanser;Surfactant;;coconut acid;coconut acid;coconut acid
VALUES;coriandrum sativum (coriander) seed oil;properties: warming and stimulating;Essential oil;;coriandrum sativum (coriander) seed oil;coriandrum sativum (coriander) seed oil;coriandrum sativum (coriander) seed oil
VALUES;coumarin;almondy notes;Mp scented;;coumarin;coumarin;coumarin
VALUES;cucumis sativus (cucumber);emollient, conditioner, helps reshape the fat from the skin, leaving the skin soft and supple;Plant extract;;cucumis sativus (cucumber);cucumis sativus (cucumber);cucumis sativus (cucumber)
VALUES;cyclohexasiloxane;conditioner, emollient;Silicone;;cyclohexasiloxane;cyclohexasiloxane;cyclohexasiloxane
VALUES;cyclomethicone;conditioner, emollient, solvent;Silicone;;cyclomethicone;cyclomethicone;cyclomethicone
VALUES;cyclomethicone (and) dimethicone/vinyl dimethicone;polymer thickener;Silicone;;cyclomethicone (and) dimethicone/vinyl dimethicone;cyclomethicone (and) dimethicone/vinyl dimethicone;cyclomethicone (and) dimethicone/vinyl dimethicone
VALUES;cyclopentasiloxane;conditioner, emollient, solvent;Silicone;;cyclopentasiloxane;cyclopentasiloxane;cyclopentasiloxane
VALUES;decyl glucoside;cleanser;Surfactant;;decyl glucoside;decyl glucoside;decyl glucoside
VALUES;decyl oleate;conditioner, emollient;Fatty ester;;decyl oleate;decyl oleate;decyl oleate
VALUES;dehydroacetic acid;biocide;Conservative;;dehydroacetic acid;dehydroacetic acid;dehydroacetic acid
VALUES;diazolidinyl urea;prevent the proliferation of bacteria and yeast;Conservative;;diazolidinyl urea;diazolidinyl urea;diazolidinyl urea
VALUES;dicaprylyl carbonate;emollient;Fatty ester;;dicaprylyl carbonate;dicaprylyl carbonate;dicaprylyl carbonate
VALUES;dicaprylyl ether;emollient;Ether;;dicaprylyl ether;dicaprylyl ether;dicaprylyl ether
VALUES;diethylhexyl sebacate;film, solvent, MP perfume;Fatty ester;;diethylhexyl sebacate;diethylhexyl sebacate;diethylhexyl sebacate
VALUES;dimethicone;Anti-foaming occlusive protective;Silicone;;dimethicone;dimethicone;dimethicone
VALUES;dimethicone copolyol;conditioner;Silicone;;dimethicone copolyol;dimethicone copolyol;dimethicone copolyol
VALUES;dimethicone PEG-7 phosphate;emulsifying;Surfactant;;dimethicone PEG-7 phosphate;dimethicone PEG-7 phosphate;dimethicone PEG-7 phosphate
VALUES;dimethiconol;antifoam, emollient;Silicone;;dimethiconol;dimethiconol;dimethiconol
VALUES;dipentaerythrityl hexacaprylate/hexacaprate;occlusive viscosity;Fatty ester;;dipentaerythrityl hexacaprylate/hexacaprate;dipentaerythrityl hexacaprylate/hexacaprate;dipentaerythrityl hexacaprylate/hexacaprate
VALUES;diphenyl dimethicone;Anti-foaming occlusive protective;Silicone;;diphenyl dimethicone;diphenyl dimethicone;diphenyl dimethicone
VALUES;dipropylene glycol;component of the excipient, solvent for perfume;Solvent;;dipropylene glycol;dipropylene glycol;dipropylene glycol
VALUES;disodium cocoamphodiacetate;cleaner, foaming conditioner;Surfactant;;disodium cocoamphodiacetate;disodium cocoamphodiacetate;disodium cocoamphodiacetate
VALUES;disodium cocoyl glutamate;cleanser;Surfactant;;disodium cocoyl glutamate;disodium cocoyl glutamate;disodium cocoyl glutamate
VALUES;disodium EDTA;neutralizing the ion complex of the water, in particular limestone;Chelating;;disodium EDTA;disodium EDTA;disodium EDTA
VALUES;disodium laureth sulfosuccinate;cleaner, foaming, in association increases the viscosity and foaming;Surfactant;;disodium laureth sulfosuccinate;disodium laureth sulfosuccinate;disodium laureth sulfosuccinate
VALUES;disodium lauryl sulfosuccinate;cleaner, foaming, mild;Surfactant;;disodium lauryl sulfosuccinate;disodium lauryl sulfosuccinate;disodium lauryl sulfosuccinate
VALUES;disodium oleamido PEG-2 sulfosuccinate;cleaning, mousant, hydrotrope;Surfactant;;disodium oleamido PEG-2 sulfosuccinate;disodium oleamido PEG-2 sulfosuccinate;disodium oleamido PEG-2 sulfosuccinate
VALUES;disodium phosphate;buffer, antioxidant;Ph adjuster;;disodium phosphate;disodium phosphate;disodium phosphate
VALUES;DMDM hydantoin;prevent the proliferation of bacteria and yeast;Conservative;;DMDM hydantoin;DMDM hydantoin;DMDM hydantoin
VALUES;docosahexaenoic acid;conditioner;Acid;;docosahexaenoic acid;docosahexaenoic acid;docosahexaenoic acid
VALUES;EDTA;partially neutralized water limestone;Chelating;;EDTA;EDTA;EDTA
VALUES;eicosapentaenoic acid;conditioner;Acid;;eicosapentaenoic acid;eicosapentaenoic acid;eicosapentaenoic acid
VALUES;elaeis guineensis (palm) oil;emollient, occlusive;Vegetable oil;;elaeis guineensis (palm) oil;elaeis guineensis (palm) oil;elaeis guineensis (palm) oil
VALUES;ethoxydiglycol;solvent, plasticizer;Ether;;ethoxydiglycol;ethoxydiglycol;ethoxydiglycol
VALUES;ethyl avocadate;conditioner, emollient;Ester;;ethyl avocadate;ethyl avocadate;ethyl avocadate
VALUES;ethyl glutamate;conditioner;Ester;;ethyl glutamate;ethyl glutamate;ethyl glutamate
VALUES;ethyl methoxycinnamate;protects the skin from harmful sun rays;Uv filter;;ethyl methoxycinnamate;ethyl methoxycinnamate;ethyl methoxycinnamate
VALUES;ethyl paraben;prevent the proliferation of bacteria and yeast;Conservative;;ethyl paraben;ethyl paraben;ethyl paraben
VALUES;ethylhexyl methoxycinnamate;protects the skin from harmful sun rays;Uv filter;;ethylhexyl methoxycinnamate;ethylhexyl methoxycinnamate;ethylhexyl methoxycinnamate
VALUES;ethylhexyl methoxycinnamate (and) butyl methoxydib;protection of the product against UV;Mixture;;ethylhexyl methoxycinnamate (and) butyl methoxydib;ethylhexyl methoxycinnamate (and) butyl methoxydib;ethylhexyl methoxycinnamate (and) butyl methoxydib
VALUES;ethylhexyl palmitate;emollient;Fatty ester;;ethylhexyl palmitate;ethylhexyl palmitate;ethylhexyl palmitate
VALUES;ethylhexyl salicylate;protection of the product against UV;Uv filter;;ethylhexyl salicylate;ethylhexyl salicylate;ethylhexyl salicylate
VALUES;eucalyptus globulus oil;purifying;Essential oil;;eucalyptus globulus oil;eucalyptus globulus oil;eucalyptus globulus oil
VALUES;Ext. D&C violet n°2;violet dye;Dye;;Ext. D&C violet n°2;Ext. D&C violet n°2;Ext. D&C violet n°2
VALUES;fenchyl acetate;;Mp scented;;fenchyl acetate;fenchyl acetate;fenchyl acetate
VALUES;formaldehyde;prevent the proliferation of bacteria and yeast;Conservative;;formaldehyde;formaldehyde;formaldehyde
VALUES;geraniol;rosy note;Mp scented;;geraniol;geraniol;geraniol
VALUES;geranium maculatum oil;stimulating;Essential oil;;geranium maculatum oil;geranium maculatum oil;geranium maculatum oil
VALUES;ginkgo biloba;conditioner, anti-aging;Plant extract;;ginkgo biloba;ginkgo biloba;ginkgo biloba
VALUES;glycereth-26;humectant, plasticizer;Ether;;glycereth-26;glycereth-26;glycereth-26
VALUES;glycerin;contributes to the hydration of the skin;Humectant;;glycerin;glycerin;glycerin
VALUES;glyceryl cocoate;emollient, emulsifier;Ester;;glyceryl cocoate;glyceryl cocoate;glyceryl cocoate
VALUES;glyceryl isostearate;emollient, emulsifier;Ester;;glyceryl isostearate;glyceryl isostearate;glyceryl isostearate
VALUES;glyceryl oleate;emollient, emulsifier;Ester;;glyceryl oleate;glyceryl oleate;glyceryl oleate
VALUES;glyceryl polymethacrylate;film;Polymer;;glyceryl polymethacrylate;glyceryl polymethacrylate;glyceryl polymethacrylate
VALUES;glyceryl stearate;emollient, emulsifier;Ester;;glyceryl stearate;glyceryl stearate;glyceryl stearate
VALUES;glycine;conditioner, buffer substance;Active;;glycine;glycine;glycine
VALUES;glycine soja;restructuring, toning;Plant extract;;glycine soja;glycine soja;glycine soja
VALUES;glycol distearate;opacifier, pearlescent, viscosing;Ester;;glycol distearate;glycol distearate;glycol distearate
VALUES;glycol distearate (and) laureth-4 (and) cocamidopr;cleaner, foaming, viscosity, gives a pearlescent;Surfactant;;glycol distearate (and) laureth-4 (and) cocamidopr;glycol distearate (and) laureth-4 (and) cocamidopr;glycol distearate (and) laureth-4 (and) cocamidopr
VALUES;glycol stearate;emulsifier, opacifier, thickening, emollient;Ester;;glycol stearate;glycol stearate;glycol stearate
VALUES;gossypium;soothing;Plant extract;;gossypium;gossypium;gossypium
VALUES;guanidine carbonate;disciplining capillary tensor;Active;;guanidine carbonate;guanidine carbonate;guanidine carbonate
VALUES;hedera helix (ivy) extract;draining;Active;;hedera helix (ivy) extract;hedera helix (ivy) extract;hedera helix (ivy) extract
VALUES;helianthus annuus (sunflower) seed extract;protective, anti-aging;Plant extract;;helianthus annuus (sunflower) seed extract;helianthus annuus (sunflower) seed extract;helianthus annuus (sunflower) seed extract
VALUES;helianthus annuus (sunflower) seed oil;protective conditioner;Vegetable oil;;helianthus annuus (sunflower) seed oil;helianthus annuus (sunflower) seed oil;helianthus annuus (sunflower) seed oil
VALUES;hesperidin methyl chalcone;antioxidant;Antioxidant;;hesperidin methyl chalcone;hesperidin methyl chalcone;hesperidin methyl chalcone
VALUES;hexyldecyl stearate;emollient, occlusive;Fatty ester;;hexyldecyl stearate;hexyldecyl stearate;hexyldecyl stearate
VALUES;hexylene glycol;solvent, plasticizer;Alcohol;;hexylene glycol;hexylene glycol;hexylene glycol
VALUES;hibiscus sabdariffa (hibiscus sabdariffa) extract;exfoliating lipolytic;Plant extract;;hibiscus sabdariffa (hibiscus sabdariffa) extract;hibiscus sabdariffa (hibiscus sabdariffa) extract;hibiscus sabdariffa (hibiscus sabdariffa) extract
VALUES;hieracium pilosella;draining;Plant extract;;hieracium pilosella;hieracium pilosella;hieracium pilosella
VALUES;hydnocarpus kurzii seed oil;;Vegetable oil;;hydnocarpus kurzii seed oil;hydnocarpus kurzii seed oil;hydnocarpus kurzii seed oil
VALUES;hydrogenated castor oil;conditioner, thickener;Fat;;hydrogenated castor oil;hydrogenated castor oil;hydrogenated castor oil
VALUES;hydrogenated lanoline;conditioner;Animal fats;;hydrogenated lanoline;hydrogenated lanoline;hydrogenated lanoline
VALUES;hydrogenated polydecene;conditioner, emollient;Polymer;;hydrogenated polydecene;hydrogenated polydecene;hydrogenated polydecene
VALUES;hydrogenated polyisobutene;emollient;Mineral oil;;hydrogenated polyisobutene;hydrogenated polyisobutene;hydrogenated polyisobutene
VALUES;hydrogenated talloweth-60 myristyl glycol;emulsifying;Surfactant;;hydrogenated talloweth-60 myristyl glycol;hydrogenated talloweth-60 myristyl glycol;hydrogenated talloweth-60 myristyl glycol
VALUES;hydrolyzed soy protein;conditioner, humectant;Active;;hydrolyzed soy protein;hydrolyzed soy protein;hydrolyzed soy protein
