Feedstuff;"DM
%";"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
PPM";"TDN
%";"DE
Mcal/
lb.";"NEm
Mcal/
lb.";"NEg
Mcal/
lb."
Potato vine silage ;15;15;--;3.7;26;--;--;19;2.1;0.29;4.0;0.37;--;59;1.18;0.58;0.28
Potatoes cull ;21;10;0;0.4;2;--;--;5;0.0;0.24;2.2;0.09;--;80;1.60;0.85;0.56
Potato waste wet ;14;7;0;1.5;9;--;--;3;0.2;0.26;1.3;0.11;12;82;1.64;0.88;0.59
Potato waste dried;89;8;0;0.5;7;--;--;5;0.1;0.13;1.2;--;--;85;1.70;0.92;0.62
Potato waste wet with lime;17;5;0;0.3;10;--;--;9;4.2;0.18;--;--;--;80;1.60;0.85;0.56
Potato waste filter cake ;14;5;0;7.7;2;--;--;3;0.1;0.19;0.2;--;--;77;1.54;0.81;0.53
Poultry litter dried ;87;26;0;3.0;18;--;--;19;2.7;1.80;1.7;1.26;340;64;1.28;0.64;0.36
Poultry manure dried ;89;28;0;2.1;13;15;35;29;9.0;2.44;2.0;0.18;445;54;1.08;0.53;0.20
Prairie hay ;91;7;--;2.0;35;--;--;8;0.4;0.13;1.1;0.06;34;50;1.00;0.49;0.12
Rapemeal solvent ;91;41;20;2.2;14;--;--;8;0.7;1.14;1.4;0.28;66;70;1.40;0.72;0.44
Rye straw ;89;4;--;1.5;44;55;71;6;0.3;0.10;1.0;0.11;--;44;0.88;0.43;0.01
Rye grain;89;13;--;1.7;2;--;--;2;0.1;0.38;0.5;0.17;34;81;1.62;0.87;0.58
Safflower meal solubles ;91;22;--;1.0;33;41;59;6;0.3;0.73;1.0;0.28;44;55;1.10;0.54;0.21
Safflower meal dehulled solubles ;91;48;--;0.6;9;--;--;7;0.3;1.83;1.3;0.22;36;76;1.52;0.80;0.52
Sagebrush fresh ;50;13;--;9.2;25;28;36;10;1.0;0.25;--;0.22;--;50;1.00;0.49;0.12
NA tripolyphos ;96;0;--;0.0;0;0;0;96;0.0;25.98;0.0;0.00;--;0;0.00;0.00;0.00
Sorghum stover ;85;5;--;2.1;33;--;--;10;0.4;0.11;1.2;--;--;54;1.08;0.53;0.20
Sorghum silage ;28;8;50;2.8;26;28;39;7;0.3;0.15;1.6;0.09;24;58;1.16;0.57;0.26
Soybean hay ;89;15;--;2.2;37;--;--;8;1.3;0.32;1.0;0.24;24;52;1.04;0.51;0.16
Soybean straw ;88;5;--;1.4;44;54;70;6;1.6;0.06;0.6;0.26;--;42;0.84;0.42;0.00
Soybeans whole ;91;42;40;19.2;6;10;--;5;0.3;0.63;1.8;0.24;60;92;1.84;1.02;0.70
Soybean meal solvent 44% protein ;89;50;35;1.3;6;10;14;7;0.3;0.75;2.2;0.40;52;84;1.68;0.91;0.61
Soybean meal solvent 49% protein ;90;55;25;1.2;3;6;10;6;0.3;0.71;2.2;0.42;61;87;1.74;0.95;0.64
Soybean flake (hull) ;91;12;10;2.8;39;47;65;4;0.6;0.17;1.0;0.09;24;71;1.42;0.73;0.46
Sudangrass fresh immature ;18;17;--;3.9;23;29;55;9;0.5;0.31;2.0;0.04;--;70;1.40;0.72;0.44
Sudangrass hay ;89;9;--;1.8;36;43;68;10;0.4;0.30;2.1;0.06;30;57;1.14;0.56;0.25
Sudangrass silage ;23;10;--;3.1;34;42;65;10;0.4;0.25;3.5;0.05;--;55;1.10;0.54;0.21
Sunflower meal solvent ;93;50;--;3.1;12;--;40;8;0.5;0.80;1.1;0.33;21;65;1.30;0.65;0.37
Sunflower meal with hulls ;91;32;--;1.4;27;--;--;7;0.4;0.96;1.1;0.30;100;57;1.14;0.56;0.25
Sunflower hulls ;90;5;--;2.2;25;63;--;3;0.0;0.11;--;--;--;40;0.80;0.41;0.00
Timothy fresh pre-bloom ;26;11;20;3.8;32;37;64;7;0.4;0.28;2.1;0.21;24;64;1.28;0.64;0.36
Timothy hay early bloom ;88;12;25;2.6;33;43;68;6;0.5;0.25;0.9;0.21;--;59;1.18;0.58;0.28
Timothy hay full bloom ;88;8;35;2.5;34;45;70;5;0.4;0.20;1.6;0.13;17;57;1.14;0.56;0.25
Timothy silage ;34;10;25;3.4;35;--;--;7;0.6;0.29;1.7;0.15;--;59;1.18;0.58;0.28
Tomato pomace dried ;92;23;--;10.6;26;50;55;6;0.4;0.59;3.6;--;--;64;1.28;0.64;0.36
Triticale silage ;38;12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Triticale ;90;16;25;4.6;4;--;--;2;0.1;0.34;0.4;0.17;--;86;1.72;0.94;0.63
Urea 46% N;99;288;0;0.0;0;0;0;0;0.0;0.00;0.0;0.00;0;0;0.00;0.00;0.00
Wheat fresh pasture ;21;28;--;4.0;18;30;52;14;0.4;0.40;3.3;0.22;--;69;1.38;0.70;0.43
Wheat silage ;28;10;--;3.2;28;--;--;8;0.3;0.27;1.2;0.23;25;60;1.20;0.59;0.30
Wheat straw ;88;4;--;1.5;42;56;85;7;0.2;0.08;1.2;0.14;7;44;0.88;0.43;0.01
Wheat grain ;89;13;25;2.1;3;4;13;2;0.0;0.35;0.4;0.17;17;89;1.78;0.98;0.67
Wheat grain hard ;89;14;--;2.0;3;6;--;2;0.1;0.45;0.5;0.17;16;89;1.78;0.98;0.67
Wheat grain soft ;89;12;--;2.0;3;4;14;2;0.1;0.35;0.4;0.17;16;89;1.78;0.98;0.67
Wheat bran ;89;18;--;4.8;11;14;47;7;0.1;1.30;1.4;0.25;105;70;1.40;0.72;0.44
Wheat midds ;88;18;50;3.9;3;--;37;3;0.1;0.90;1.1;0.20;72;90;1.80;0.99;0.68
Wheat mill run ;90;17;20;4.7;9;--;--;6;0.1;1.10;1.4;0.28;--;75;1.50;0.78;0.50
Wheat shorts;89;20;20;5.4;7;--;--;5;0.1;0.99;1.1;0.19;118;80;1.60;0.85;0.56
Wheatgrass crested fresh early bloom ;37;11;--;1.6;26;--;--;7;0.3;0.30;--;--;--;60;1.20;0.59;0.30
Wheatgrass crested fresh full bloom ;50;10;--;1.6;33;--;--;7;0.4;0.28;--;--;--;55;1.10;0.54;0.21
Wheatgrass crested hay;92;11;--;2.4;33;36;--;7;O.3;0.15;2.0;--;32;54;1.08;0.53;0.20
Wheat dried;96;16;0;0.9;0;0;0;10;1.0;0.81;1.5;1.10;3;82;1.64;0.88;0.59
