PATH;/Temp/MP;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;
MAPPING;Ciqual;;;;;;;
COLUMNS;bcpg:code;cm:name;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en;bcpg:productHierarchy1;bcpg:productHierarchy2;supplier
VALUES;MP1021;Crème de cassis;Crème de cassis;Crème de cassis;Black current liqueur;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP2000;Ananas, jus à base de concentré, pasteurisé;Ananas, jus à base de concentré, pasteurisé;Ananas, jus à base de concentré, pasteurisé;Pineapple juice, reconstituted, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2002;Jus multifruit, pur jus, multivitaminé, pasteurisé;Jus multifruit, pur jus, multivitaminé, pasteurisé;Jus multifruit, pur jus, multivitaminé, pasteurisé;Fruit juice, mixed, enriched, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2004;Jus de fruits (aliment moyen);Jus de fruits (aliment moyen);Jus de fruits (aliment moyen);Fruit juice (average);Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2006;Carotte, pur jus, pasteurisé;Carotte, pur jus, pasteurisé;Carotte, pur jus, pasteurisé;Carrot juice, canned;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2007;Citron, jus pressé maison;Citron, jus pressé maison;Citron, jus pressé maison;Lemon juice, raw, unsweetened;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2008;Cocktail sans alcool (à base de jus de fruits et de sirop);Cocktail sans alcool (à base de jus de fruits et de sirop);Cocktail sans alcool (à base de jus de fruits et de sirop);Cocktail, alcohol-free;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP2012;Orange, jus à base de concentré, pasteurisé;Orange, jus à base de concentré, pasteurisé;Orange, jus à base de concentré, pasteurisé;Orange juice, reconstituted, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2013;Orange, jus pressé maison;Orange, jus pressé maison;Orange, jus pressé maison;Orange juice, raw, unsweetened;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2014;Pomme, jus à base de concentré, pasteurisé;Pomme, jus à base de concentré, pasteurisé;Pomme, jus à base de concentré, pasteurisé;Apple juice, reconstituted, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2015;Pamplemousse (pomélo), jus à base de concentré, pasteurisé;Pamplemousse (pomélo), jus à base de concentré, pasteurisé;Pamplemousse (pomélo), jus à base de concentré, pasteurisé;Grapefruit juice, reconstituted, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2016;Raisin, pur jus, pasteurisé;Raisin, pur jus, pasteurisé;Raisin, pur jus, pasteurisé;Grape juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2021;Tomate, pur jus, pasteurisé;Tomate, pur jus, pasteurisé;Tomate, pur jus, pasteurisé;Tomato juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2023;Mangue, pur jus, frais;Mangue, pur jus, frais;Mangue, pur jus, frais;Mango juice, raw;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2025;Pamplemousse (pomélo), pur jus, frais;Pamplemousse (pomélo), pur jus, frais;Pamplemousse (pomélo), pur jus, frais;Grapefruit juice, raw, unsweetened;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2027;Pamplemousse (pomélo), pur jus, pasteurisé;Pamplemousse (pomélo), pur jus, pasteurisé;Pamplemousse (pomélo), pur jus, pasteurisé;Grapefruit juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2031;Citron vert, pur jus, pasteurisé;Citron vert, pur jus, pasteurisé;Citron vert, pur jus, pasteurisé;Lime juice, pasteurized, unsweetened;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2034;Clémentine/mandarine, pur jus, pasteurisé;Clémentine/mandarine, pur jus, pasteurisé;Clémentine/mandarine, pur jus, pasteurisé;Mandarin orange juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2035;Jus multifruit, pur jus, pasteurisé;Jus multifruit, pur jus, pasteurisé;Jus multifruit, pur jus, pasteurisé;Fruit juice, mixed, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2043;Abricot, nectar, pasteurisé;Abricot, nectar, pasteurisé;Abricot, nectar, pasteurisé;Apricot nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2054;Poire, nectar, pasteurisé;Poire, nectar, pasteurisé;Poire, nectar, pasteurisé;Pear nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2060;Nectar multifruit multivitaminé, pasteurisé;Nectar multifruit multivitaminé, pasteurisé;Nectar multifruit multivitaminé, pasteurisé;Fruit nectar, enriched, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2061;Nectar multifruit, pasteurisé;Nectar multifruit, pasteurisé;Nectar multifruit, pasteurisé;Fruit nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2069;Jus Multifruits, à base de concentré, pasteurisé;Jus Multifruits, à base de concentré, pasteurisé;Jus Multifruits, à base de concentré, pasteurisé;Fruit nectar, reconstituted, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2070;Orange, pur jus pressé, pasteurisé;Orange, pur jus pressé, pasteurisé;Orange, pur jus pressé, pasteurisé;Orange juice, pure, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2073;Ananas, pur jus, pasteurisé;Ananas, pur jus, pasteurisé;Ananas, pur jus, pasteurisé;Pineapple juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2074;Pomme, pur jus, pasteurisé;Pomme, pur jus, pasteurisé;Pomme, pur jus, pasteurisé;Apple juice, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2075;Légumes, jus (aliment moyen);Légumes, jus (aliment moyen);Légumes, jus (aliment moyen);Vegetable juice (average);Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2365;Fruit de la passion ou maracudja, nectar, pasteurisé;Fruit de la passion ou maracudja, nectar, pasteurisé;Fruit de la passion ou maracudja, nectar, pasteurisé;Passion fruit nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2370;Mangue, nectar, pasteurisé;Mangue, nectar, pasteurisé;Mangue, nectar, pasteurisé;Mango nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2371;Pêche, nectar, pasteurisé;Pêche, nectar, pasteurisé;Pêche, nectar, pasteurisé;Peach nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP2375;Orange, nectar, pasteurisé;Orange, nectar, pasteurisé;Orange, nectar, pasteurisé;Orange nectar, pasteurized;Jus et nectars;Jus et nectars;Table Ciqual 2008
VALUES;MP4002;Pomme de terre, pulpe, cuite au four;Pomme de terre, pulpe, cuite au four;Pomme de terre, pulpe, cuite au four;Potato, baked;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4003;Pomme de terre, cuite à l'eau;Pomme de terre, cuite à l'eau;Pomme de terre, cuite à l'eau;Potato, boiled;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4004;Pomme de terre, chips salées;Pomme de terre, chips salées;Pomme de terre, chips salées;Potato crisp (US=chip), salted;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4005;Pomme de terre frite ou Frite, cuite, non salée;Pomme de terre frite ou Frite, cuite, non salée;Pomme de terre frite ou Frite, cuite, non salée;Potato chip (french fry), no salt;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4006;Pomme de terre avec peau, cuite à la vapeur;Pomme de terre avec peau, cuite à la vapeur;Pomme de terre avec peau, cuite à la vapeur;Potato, with skin, steamed;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4009;Pomme de terre frite ou Frites, surgelées, crues;Pomme de terre frite ou Frites, surgelées, crues;Pomme de terre frite ou Frites, surgelées, crues;Potato chip (french fry), frozen, raw;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4010;Pomme de terre frite ou Frite, surgelée, cuite, non salée;Pomme de terre frite ou Frite, surgelée, cuite, non salée;Pomme de terre frite ou Frite, surgelée, cuite, non salée;Potato chip (french fry), frozen, cooked, not salted;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4013;Pomme de terre, noisette, précuite, surgelée;Pomme de terre, noisette, précuite, surgelée;Pomme de terre, noisette, précuite, surgelée;Potato ball, precooked, frozen;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4016;Pomme de terre, flocons déshydratés au lait;Pomme de terre, flocons déshydratés au lait;Pomme de terre, flocons déshydratés au lait;Potato flakes with milk, dry;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4018;Pomme de terre, purée, avec lait et beurre, non salée;Pomme de terre, purée, avec lait et beurre, non salée;Pomme de terre, purée, avec lait et beurre, non salée;Mashed potatoes, prepared with milk and butter, not salted;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4019;Pomme de terre, purée, à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;Pomme de terre, purée, à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;Pomme de terre, purée, à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;Mashed potatoes, prepared from flakes, with milk and water, not salted;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4021;Pomme de terre dauphine, cuite;Pomme de terre dauphine, cuite;Pomme de terre dauphine, cuite;Dauphine potatoes, cooked, with salt;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4027;Pomme de terre, rissolée, surgelée;Pomme de terre, rissolée, surgelée;Pomme de terre, rissolée, surgelée;Potatoes, pan-fried, frozen, not salted;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP4102;Patate douce, cuite;Patate douce, cuite;Patate douce, cuite;Sweet potato, cooked;Fruits, Légumes;Pommes de terre et apparentés;Table Ciqual 2008
VALUES;MP5000;Bière brune;Bière brune;Bière brune;Beer, dark;Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5001;Bière ''coeur de marché'' (4-5° alcool);Bière ''coeur de marché'' (4-5° alcool);Bière ''coeur de marché'' (4-5° alcool);Beer, regular (4-5° alcohol);Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5002;Bière forte (>8° acool);Bière forte (>8° acool);Bière forte (>8° acool);Beer, strong  (>8° alcohol);Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5003;Cidre (aliment moyen);Cidre (aliment moyen);Cidre (aliment moyen);Cider (average);Boissons alcoolisées;Cidres et similaires;Table Ciqual 2008
VALUES;MP5004;Panaché (bière + limonade);Panaché (bière + limonade);Panaché (bière + limonade);Shandy (beer + lemonaide);Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP5005;Panaché préemballé (<1° alc);Panaché préemballé (<1° alc);Panaché préemballé (<1° alc);Shandy, commercial, low alcohol;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP5006;Cidre brut;Cidre brut;Cidre brut;Cider, dry;Boissons alcoolisées;Cidres et similaires;Table Ciqual 2008
VALUES;MP5007;Cidre doux;Cidre doux;Cidre doux;Cider, sweet;Boissons alcoolisées;Cidres et similaires;Table Ciqual 2008
VALUES;MP5008;Bière faiblement alcoolisée (3° alcool);Bière faiblement alcoolisée (3° alcool);Bière faiblement alcoolisée (3° alcool);Beer, light (3° alcohol);Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5010;Bière ''spéciale'' (5-6° alcool);Bière ''spéciale'' (5-6° alcool);Bière ''spéciale'' (5-6° alcool);Beer, special (5-6° alcohol);Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5011;Bière ''de spécialités'' ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable);Bière ''de spécialités'' ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable);Bière ''de spécialités'' ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable);Beer, regional breweries;Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5020;Cidre traditionnel;Cidre traditionnel;Cidre traditionnel;Cider, traditionnal;Boissons alcoolisées;Cidres et similaires;Table Ciqual 2008
VALUES;MP5030;Bière sans alcool (<1,2° alcool);Bière sans alcool (<1,2° alcool);Bière sans alcool (<1,2° alcool);Beer, alcohol-free;Boissons alcoolisées;Bières et similaires;Table Ciqual 2008
VALUES;MP5100;Pétillant de fruits;Pétillant de fruits;Pétillant de fruits;Sparkling fruit wine;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5200;Vin blanc 11°;Vin blanc 11°;Vin blanc 11°;Wine, white 11°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5201;Vin blanc mousseux;Vin blanc mousseux;Vin blanc mousseux;Wine, white sparkling;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5202;Vin rouge  9°;Vin rouge  9°;Vin rouge  9°;Wine, red  9°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5203;Vin rouge 10°;Vin rouge 10°;Vin rouge 10°;Wine, red 10°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5204;Vin rouge 11°;Vin rouge 11°;Vin rouge 11°;Wine, red 11°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5205;Vin rouge 12°;Vin rouge 12°;Vin rouge 12°;Wine, red 12°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5206;Vin rosé 11°;Vin rosé 11°;Vin rosé 11°;Wine, rosé 11°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5207;Champagne;Champagne;Champagne;Champagne;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5208;Vin rouge 13°;Vin rouge 13°;Vin rouge 13°;Wine, red 13°;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP5210;Vin (aliment moyen);Vin (aliment moyen);Vin (aliment moyen);Wine (average);Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP6100;Bœuf, entrecôte, grillée;Bœuf, entrecôte, grillée;Bœuf, entrecôte, grillée;Beef, rib steak, broiled;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6101;Bœuf, braisé;Bœuf, braisé;Bœuf, braisé;Beef, braised;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6110;Bœuf, faux-filet, grillé;Bœuf, faux-filet, grillé;Bœuf, faux-filet, grillé;Beef, lean steak, grilled;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6121;Bœuf, flanchet, cuit;Bœuf, flanchet, cuit;Bœuf, flanchet, cuit;Beef flank, broiled;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6200;Bœuf, bifteck, grillé;Bœuf, bifteck, grillé;Bœuf, bifteck, grillé;Beef, rump steak, broiled;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6210;Bœuf, rosbif, rôti;Bœuf, rosbif, rôti;Bœuf, rosbif, rôti;Roast beef, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6220;Bœuf, à bourguignon, cuit;Bœuf, à bourguignon, cuit;Bœuf, à bourguignon, cuit;Beef, for bourguignon, braised;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6230;Bœuf, à pot-au-feu, cuit;Bœuf, à pot-au-feu, cuit;Bœuf, à pot-au-feu, cuit;Beef, stewing steak, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6250;Steak haché  5% MG, cru;Steak haché  5% MG, cru;Steak haché  5% MG, cru;Beef, ground,  5% fat, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6251;Steak haché  5% MG, cuit;Steak haché  5% MG, cuit;Steak haché  5% MG, cuit;Beef, ground,  5% fat, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6252;Steak haché 10% MG, cru;Steak haché 10% MG, cru;Steak haché 10% MG, cru;Beef, ground, 10% fat, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6253;Steak haché 10% MG, cuit;Steak haché 10% MG, cuit;Steak haché 10% MG, cuit;Beef, ground, 10% fat, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6254;Steak haché 15% MG, cru;Steak haché 15% MG, cru;Steak haché 15% MG, cru;Beef, ground, 15% fat, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6255;Steak haché 15% MG, cuit;Steak haché 15% MG, cuit;Steak haché 15% MG, cuit;Beef, ground, 15% fat, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6256;Steak haché 20% MG, cru;Steak haché 20% MG, cru;Steak haché 20% MG, cru;Beef, ground, 20% fat, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6257;Steak haché 20% MG, cuit;Steak haché 20% MG, cuit;Steak haché 20% MG, cuit;Beef, ground, 20% fat, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6511;Veau, côte, cuite;Veau, côte, cuite;Veau, côte, cuite;Veal chop, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6520;Veau, escalope, cuite;Veau, escalope, cuite;Veau, escalope, cuite;Veal cutlet, cooked;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6531;Veau, filet, rôti;Veau, filet, rôti;Veau, filet, rôti;Veal fillet, roasted;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6540;Veau, poitrine, crue;Veau, poitrine, crue;Veau, poitrine, crue;Veal breast, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6550;Veau, rôti;Veau, rôti;Veau, rôti;Veal round, roasted;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6560;Veau, épaule, crue;Veau, épaule, crue;Veau, épaule, crue;Veal chuck, raw;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6570;Veau, mijoté;Veau, mijoté;Veau, mijoté;Veal, braised or stewed;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6902;Cheval, viande, rôtie;Cheval, viande, rôtie;Cheval, viande, rôtie;Horse meat, roasted;Viandes;Viandes;Table Ciqual 2008
VALUES;MP6999;Viande cuite (aliment moyen);Viande cuite (aliment moyen);Viande cuite (aliment moyen);Meat, cooked (average);Viandes;Viandes;Table Ciqual 2008
VALUES;MP8001;Rillettes pur porc;Rillettes pur porc;Rillettes pur porc;Rillettes, pork, traditional;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8055;Rillettes;Rillettes;Rillettes;Rillettes;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8081;Rillettes de saumon;Rillettes de saumon;Rillettes de saumon;Rillettes, salmon;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8082;Rillettes de thon;Rillettes de thon;Rillettes de thon;Rillettes, tuna;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8110;Confit de canard;Confit de canard;Confit de canard;Duck confit (conserved in rendered fat);Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8211;Pâté de campagne;Pâté de campagne;Pâté de campagne;Pâté, country style;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8232;Terrine de canard;Terrine de canard;Terrine de canard;Pâté, duck;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8240;Pâté de lapin;Pâté de lapin;Pâté de lapin;Pâté, rabbit;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8291;Terrine de poisson;Terrine de poisson;Terrine de poisson;Pâté, fish;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8292;Pâté à base de poisson ou de crustacés;Pâté à base de poisson ou de crustacés;Pâté à base de poisson ou de crustacés;Pâté, fish or shellfish;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8293;Tarama préemballé;Tarama préemballé;Tarama préemballé;Tarama, semi-preserve;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8295;Mousse de poisson;Mousse de poisson;Mousse de poisson;Fish mousse;Produits de la mer;Produits à base de poissons;Table Ciqual 2008
VALUES;MP8305;Pâté de foie de porc;Pâté de foie de porc;Pâté de foie de porc;Pâté, pork liver;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8313;Mousse de foie;Mousse de foie;Mousse de foie;Liver mousse;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8316;Pâté de foie de volaille;Pâté de foie de volaille;Pâté de foie de volaille;Pâté, poultry liver;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8320;Foie gras, appertisé;Foie gras, appertisé;Foie gras, appertisé;Foie gras, canned;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8322;Foie gras de canard, entier, appertisé;Foie gras de canard, entier, appertisé;Foie gras de canard, entier, appertisé;Foie gras, duck, whole, canned;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8350;Galantine;Galantine;Galantine;Galantine;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8391;Pâté en croûte;Pâté en croûte;Pâté en croûte;Pâté in crust;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8395;Jambon en croûte;Jambon en croûte;Jambon en croûte;Ham in crust, cooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8400;Fromage de tête;Fromage de tête;Fromage de tête;Head-cheese (Brawn);Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8504;Andouille;Andouille;Andouille;Andouille chitterling sausage, cooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8550;Andouillette;Andouillette;Andouillette;Andouillette chitterling sausage, uncooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8551;Andouillette, poêlée;Andouillette, poêlée;Andouillette, poêlée;Andouillette chitterling sausage, cooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8704;Boudin noir, poêlé;Boudin noir, poêlé;Boudin noir, poêlé;Black pudding (blood sausage), cooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8800;Boudin blanc, poêlé;Boudin blanc, poêlé;Boudin blanc, poêlé;White saussage (white pudding), cooked;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8913;Quenelle de volaille, appertisée;Quenelle de volaille, appertisée;Quenelle de volaille, appertisée;Quenelle, poultry, canned;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8935;Quenelle au naturel, appertisée;Quenelle au naturel, appertisée;Quenelle au naturel, appertisée;Quenelle, in bouillon, canned;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP8936;Quenelle en sauce, appertisée;Quenelle en sauce, appertisée;Quenelle en sauce, appertisée;Quenelle, in sauce, canned;Charcuteries et salaisons;Charcuteries et salaisons;Table Ciqual 2008
VALUES;MP9080;Blé dur précuit, grains entiers, sec;Blé dur précuit, grains entiers, sec;Blé dur précuit, grains entiers, sec;Wheat, whole grain, precooked, dry;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9081;Blé dur précuit, grains entiers, cuit;Blé dur précuit, grains entiers, cuit;Blé dur précuit, grains entiers, cuit;Wheat, whole grain, precooked, boiled;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9082;Blé dur précuit cuisiné, en sachet micro-ondable;Blé dur précuit cuisiné, en sachet micro-ondable;Blé dur précuit cuisiné, en sachet micro-ondable;Wheat, whole grain, ready to microwave;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9100;Riz blanc, sec;Riz blanc, sec;Riz blanc, sec;Rice, polished, dry;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9101;Riz blanc étuvé, sec;Riz blanc étuvé, sec;Riz blanc étuvé, sec;Rice, parboiled, dry;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9103;Riz complet, cuit;Riz complet, cuit;Riz complet, cuit;Rice, brown, boiled;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
VALUES;MP9104;Riz blanc, cuit;Riz blanc, cuit;Riz blanc, cuit;Rice, white, boiled;Céréales et pâtes;Riz et autres graines;Table Ciqual 2008
