COLUMNS;cm:name;id;bcpg:supplier;bcpg:productState;Water;Total nitrogen;Protein;Total lipid (fat);Carbohydrate, by difference;Energy kcal;Energy kJ;Starch;Oligosaccharide;Sugars, total;Glucose;Galactose;Fructose;Sucrose;Maltose;Lactose;Alcohol (ethanol);NSP Fiber;Fiber, total dietary;Fatty acids, total saturated;Total omega 6 fatty acids;Total omega 3 fatty acids;Fatty acids, total monounsaturated;Fatty acids, total polyunsaturated;Total trans fatty acids;Cholesterol;Sodium, Na;Potassium, K;Calcium, Ca;Magnesium, Mg;Phosphorus, P;Iron, Fe;Copper;Zinc, Zn;Chloride;Manganese;Selenium;Iodine;Retinol;Beta-carotene;Vitamin A retinol equivalents;Vitamin D;Vitamin E;Vitamin K (phylloquinone);Thiamin;Riboflavin;Niacin;Tryptophan/60;Niacine (derived equivalents);Vitamin B-6;Vitamin B-12;Food Folate;Panto acid;Vitamin B7 (Biotin);Vitamin C, total ascorbic acid
VALUES; Abricots, crus, chair et peau;14-025;CoFID Table;ToValidate;87.2;0.14;0.9;0.1;7.2;31;134;0;;7.2;1.6;;0.9;4.6;0;0;0;1.7;;;0;0;;;0;0;2;270;15;11;20;0.5;0.06;0.1;3;0.1;1;;0;405;67;0;;;0.04;0.05;0.5;0.1;0.6;0.08;0;5;0.24;;6
VALUES; Abricots, crus, chair et peau, pesés avec des noyaux;14-026;CoFID Table;ToValidate;80.2;0.13;0.8;0.1;6.6;29;123;0;;6.6;1.5;;0.8;4.2;0;0;0;1.6;;;0;0;;;0;0;2;250;14;10;18;0.5;0.05;0.1;3;0.1;1;;0;375;63;0;;;0.04;0.05;0.5;0.1;0.6;0.07;0;5;0.22;;5
VALUES;Abricots, prêts à manger, mi-secs;14-392;CoFID Table;ToValidate;39.6;0.35;2.2;0.5;39.4;161;686;0;;39.4;25.1;0;10.4;3.9;0;0;0;6.3;5.3;0.13;130;120;0.02;0.25;;0;9;1039;71;34;67;1.35;0.3;0.3;10;0.24;;18;0;550;92;0;3.68;;0.02;0.01;2.5;0.1;2.6;0.09;0;13;0.26;0.5;1
VALUES; Abricots mijotés avec du sucre;14-027;CoFID Table;ToValidate;76.9;0.11;0.7;0.1;18.3;72;308;0;;18.3;2.2;;2.1;14;0;0;;1.6;;;0;0;;;;0;1;190;12;7;7;0.8;0.05;0.1;2;;1;;0;105;17;0;;;0.02;0.03;0.5;0.1;0.6;0.05;0;;0.15;;4
VALUES; Abricots mijotés avec du sucre, pesés avec des noyaux;14-028;CoFID Table;ToValidate;71.7;0.1;0.6;0.1;17.1;67;288;0;;17.1;2.1;;2;13.1;0;0;;1.5;;;0;0;;;;0;1;180;11;7;7;0.7;0.05;0.1;2;;1;;0;98;16;0;;;0.02;0.03;0.5;0.1;0.6;0.05;0;;0.14;;4
VALUES; Abricots mijotés sans sucre;14-029;CoFID Table;ToValidate;88.3;0.12;0.7;0.1;6.2;27;115;0;;6.2;1.6;;1;3.5;0;0;;1.5;;;0;0;;;;0;1;200;13;7;7;0.8;0.05;0.1;2;0.1;1;;0;110;18;0;;;0.03;0.03;0.3;0.1;0.4;0.05;0;1;0.15;;4
VALUES; Abricots mijotés sans sucre, pesés avec des noyaux;14-030;CoFID Table;ToValidate;82.1;0.11;0.7;0.1;5.8;25;108;0;;5.8;1.5;;0.9;3.3;0;0;;1.4;;;0;0;;;;0;1;190;12;7;7;0.7;0.05;0.1;2;0.1;1;;0;100;17;0;;;0.03;0.03;0.3;0.1;0.4;0.05;0;1;0.14;;4
VALUES; Pointe de flèche, bouillie dans de l'eau non salée;13-152;CoFID Table;ToValidate;75.5;0.67;4.2;0.3;17.8;91;385;;;;;0;;;0;0;;;;;0;0;;;;0;18;610;11;43;140;2.2;;;;;;;0;0;0;0;;;0.13;0.03;1.2;;;;0;;;;1
VALUES; Pointe de flèche, brute;13-151;CoFID Table;ToValidate;70.6;0.8;5;0.3;21.5;107;448;;;;;0;;;0;0;;;;;0;0;;;;0;22;730;13;51;170;2.6;;;;;;;0;0;0;0;;;0.16;0.04;1.4;;;;0;;;;5
VALUES; Marante;11-001;CoFID Table;ToValidate;12.2;0.07;0.4;0.1;94;355;1515;94;;;;;0;;0;0;;0.1;;;0;0;;;;;5;18;7;8;27;2;0.22;;7;;;;;;0;0;;;;;;0.1;0.1;;0;;;;0
VALUES; Artichaut, globe, base de feuilles et cœur, bouillis dans de l'eau non salée;13-155;CoFID Table;ToValidate;84.4;0.47;2.9;0.2;2.7;18;78;;;1.3;0.8;0;0.4;0.1;0;0;;;;0.1;0;0;;0.1;;0;15;330;44;27;40;0.5;0.09;0.5;84;0.3;;;0;90;15;0;0.19;;;0.02;1;0.5;1.5;0.02;0;50;0.34;4.1;1
VALUES; Artichaut, globe, bouilli, pesé tel que servi;13-154;CoFID Table;ToValidate;36.3;0.2;1.2;0.1;1.2;8;34;;;0.6;0.3;0;0.2;;0;0;;;;;0;0;;;;0;6;140;19;12;17;0.2;0.04;0.2;36;0.1;;;0;39;6;0;0.08;;;0.01;0.4;0.2;0.6;0.01;0;21;0.15;1.8;
VALUES; Artichaut, globe, cru;13-153;CoFID Table;ToValidate;85.2;0.45;2.8;0.2;2.7;18;77;;;1.3;0.8;0;0.4;0.1;0;0;;;;0.1;0;0;;0.1;;0;27;360;41;22;38;0.7;0.09;0.5;;0.3;;;0;90;15;0;0.19;;0.06;0.05;1.3;0.5;1.8;0.03;0;68;0.34;4.1;2
VALUES; Artichaut de Jérusalem, bouilli dans de l'eau non salée, chair uniquement;13-156;CoFID Table;ToValidate;80.2;0.25;1.6;0.1;10.6;41;207;;;1.6;0.1;0;0.2;1.3;0;0;;3.5;;;0;0;;;;0;3;420;30;11;33;0.4;0.12;0.1;58;;;;0;20;3;0;0.2;;0.1;;0.9;0.4;1.3;;0;;;;2
VALUES; Asafoetida;13-803;CoFID Table;ToValidate;16;0.64;4;1.1;;;;;;;;0;;;0;0;;;;;0;0;;;;0;;;690;;50;22.2;;;;;;;0;4;1;0;;;;0.04;0.3;;;;0;;;;0
VALUES; Asperges, grillées;13-639;CoFID Table;ToValidate;90.9;0.56;3.5;0.4;2;25;106;;;2;0.5;0;1.1;0.4;0;0;0;1.7;1.6;0.06;0;0;0.12;0.18;0;0;3;339;27;15;78;0.6;0.14;0.6;85;0.16;11;;0;232;39;0;1.74;;0.11;0.17;1.8;0.6;2.4;0.18;0;122;0.38;0.3;10
VALUES; Asperges, crues;13-157;CoFID Table;ToValidate;91.4;0.47;2.9;0.6;2;25;103;0.1;;1.9;0.7;0;1.1;0.1;0;0;0;1.7;;0.1;0;0;0.1;0.2;0;0;1;260;27;13;72;0.7;0.08;0.7;60;0.2;1;;0;315;53;0;1.16;;0.16;0.06;1;0.5;1.5;0.09;0;175;0.17;0.4;12
VALUES; Asperges rôties à l'huile de colza;13-640;CoFID Table;ToValidate;89.8;0.56;3.5;1.5;2;35;147;;;2;0.5;0;1.1;0.4;0;0;0;1.7;1.6;0.12;0;0;0.75;0.47;;0;4;342;28;15;79;0.6;0.14;0.6;86;0.16;11;;0;234;39;0;1.69;;0.11;0.17;1.8;0.7;2.5;0.18;0;123;0.39;0.3;10
VALUES; Asperges, cuites à la vapeur;13-638;CoFID Table;ToValidate;92.4;0.46;2.9;0.4;1.6;21;90;;;1.6;0.4;0;0.9;0.3;0;0;0;1.4;1.3;0.05;0;0;0.1;0.15;0;0;3;283;23;12;66;0.5;0.12;0.5;71;0.13;9;;0;194;32;0;1.45;;0.09;0.14;1.5;0.5;2;0.15;0;102;0.32;0.3;8
VALUES; Aubergine, chair et peau, bouillie dans de l'eau non salée;13-651;CoFID Table;ToValidate;95.2;0.12;0.7;0.5;1.8;14;59;0.2;;1.6;0.7;0;0.6;0.3;0;0;0;2;1.8;0.13;0;0;;0.25;0;0;1;136;8;9;20;0.17;0.03;0.1;9;0.15;;1;0;33;6;0;0.02;;0.01;0.01;0.1;0.2;0.3;0.03;0;7;0.04;0.4;1
VALUES; Aubergine, chair et peau, rôtie à l'huile de colza;13-669;CoFID Table;ToValidate;83.9;0.34;2.1;3.8;5.2;62;260;0.6;;4.6;2;0;1.7;0.9;0;0;0;5.7;5.1;0.35;0;0;1.96;1.22;;0;2;389;24;27;57;0.49;0.09;0.2;26;0.43;;3;0;94;16;0;0.75;;0.03;0.03;0.3;0.6;0.9;0.09;0;20;0.11;1;3
VALUES;Aubergine poêlée au beurre;13-412;CoFID Table;ToValidate;59.5;0.19;1.2;31.9;2.8;302;1262;0.2;;2.6;1.4;0;1.1;0.1;0;0;;2.3;;21.1;0;0;7.7;1;;73;2;170;8;8;25;0.5;0.03;0.1;16;0.2;1;1;0;125;21;0;5.5;;0;;;0.2;0.2;0.07;0;5;0.07;;1
VALUES; Aubergine, frite dans l'huile de maïs;13-162;CoFID Table;ToValidate;59.5;0.19;1.2;31.9;2.8;302;1246;0.2;;2.6;1.4;0;1.1;0.1;0;0;0;2.3;;4.1;0;0;7.9;18.5;;0;2;170;8;8;25;0.5;0.03;0.1;16;0.2;1;1;0;125;21;0;5.5;10.3;;;;0.2;0.2;0.07;0;5;0.07;;1
VALUES; Aubergine frite à l'huile de colza;13-577;CoFID Table;ToValidate;59.5;0.19;1.2;31.9;2.8;302;1262;0.2;;2.6;1.4;0;1.1;0.1;0;0;0;2.3;;2.18;0;0;16.68;9.43;;0;2;170;8;8;25;0.5;0.03;0.1;16;0.2;1;1;0;125;21;0;7.03;;0;;;0.2;0.2;0.07;0;5;0.07;;1
VALUES; Aubergine, crue;13-161;CoFID Table;ToValidate;92.9;0.14;0.9;0.4;2.2;15;64;0.2;;2;1.1;0;0.8;0.1;0;0;0;2;;0.1;0;0;;0.2;0;0;2;210;10;11;16;0.3;0.01;0.2;14;0.1;1;1;0;70;12;0;0.03;6.1;0.02;0.01;0.1;0.2;0.3;0.08;0;18;0.08;;4
VALUES; Aubergine farcie aux lentilles et légumes;15-001;CoFID Table;ToValidate;85.5;0.34;2;4.6;3.9;64;267;2.1;0.1;1.7;0.8;0;0.7;0.1;0;0;;1.9;;0.5;0;0;1.6;2.2;;0;79;240;12;12;38;0.8;0.11;0.3;31;0.2;7;;0;125;21;0;1.21;;0.04;0.03;0.5;0.3;0.8;0.09;0;10;;;3
VALUES; Aubergine farcie au riz;15-662;CoFID Table;ToValidate;77.3;0.3;1.9;2.1;15.9;86;364;9.8;;6;3;;2.7;0.2;0;0;0;2.1;;0.22;0;0;1.01;0.7;;0;7;280;21;15;33;0.58;0.06;0.3;53;0.19;3;1;0;143;24;0;0.5;;0.04;0.01;0.4;0.4;0.8;0.09;0;12;0.12;;5
VALUES; Aubergine farcie aux légumes, garniture au fromage;15-663;CoFID Table;ToValidate;75.3;0.84;5;9.7;3.6;119;496;0.2;;3.2;1.5;;1.4;0.3;0;0;;2.2;;3.48;0;0;3.9;1.61;0.21;13.9;109;396;125;21;119;0.6;0.11;0.9;217;0.17;5;6;52;273;98;0;1.24;;0.07;0.12;0.9;1.3;2.2;0.13;0.3;34;0.73;;7
VALUES; Avocat, Fuerte, chair uniquement;14-039;CoFID Table;ToValidate;73.1;0.34;2.1;19.3;1.9;189;780;;;0.5;0.3;;0.1;0.1;0;0;;3.4;;3.5;0;0;12.9;1.8;;0;9;430;11;25;43;0.4;0.35;0.6;9;0.2;;2;0;16;3;0;3.2;;0.12;0.19;1;0.4;1.4;0.34;0;13;1.1;3.6;5
VALUES; Avocat, Fuerte, chair uniquement, pesé avec peau et noyau;14-040;CoFID Table;ToValidate;51.9;0.24;1.5;13.7;1.3;134;553;;;0.4;0.2;;0.1;0.1;0;0;;2.4;;2.5;0;0;9.2;1.3;;0;6;310;8;18;31;0.3;0.25;0.4;6;0.1;;1;0;11;2;0;2.27;;0.09;0.13;0.7;0.3;1;0.24;0;9;0.78;2.6;3
VALUES; Avocat, Hass, chair uniquement;14-386;CoFID Table;ToValidate;71.5;0.29;1.8;17.4;1.8;171;703;;1.4;0.4;0.2;0;0.2;;0;0;0;3.4;3.1;4.15;0;0;9.98;2.3;0;0;7;583;19;27;57;0.51;0.25;0.6;17;0.28;;1;0;16;3;0;2.19;;0.09;0.09;2.1;0.4;2.5;0.3;0;31;1.34;2.4;1
VALUES; Avocat, Hass, chair uniquement, pesé avec peau et noyau;14-387;CoFID Table;ToValidate;49.3;0.2;1.3;12;1.3;118;486;;1;0.3;0.1;0;0.1;;0;0;0;2.3;2.1;2.86;0;0;6.89;1.59;0;0;5;402;13;19;39;0.35;0.17;0.4;12;0.19;;;0;11;2;0;1.51;;0.06;0.06;1.5;0.3;1.8;0.21;0;22;0.92;1.6;1
VALUES; Ayr, cru;16-001;CoFID Table;ToValidate;78.1;2.54;15.9;1.3;0;75;318;0;;0;0;;0;0;0;0;;0;;;0;0;;;;;;;380;;180;0.7;0.06;;;;;;;;;;;;;;0.5;3;3.5;;;;;;
VALUES; Babaco, chair uniquement;14-043;CoFID Table;ToValidate;93.9;0.18;1.1;0.1;3.1;17;72;0;;3.1;1.3;;1.1;0.7;0;0;;;;;0;0;;;;0;2;140;11;6;14;0.4;;0.1;;;;;0;175;29;0;;;0.03;0.04;0.7;;;;0;;;;26
VALUES; Bacha, cru;16-169;CoFID Table;ToValidate;68.8;2.9;18.1;5.6;0;123;515;0;;0;0;;0;0;0;0;;0;;;0;0;;;;;;;520;;180;0.7;0.11;;;;;;;;;;;;;;0.6;3.4;4;;;;;;
VALUES; Steaks de longe de bacon, maigres, grillés;19-644;CoFID Table;ToValidate;60.6;4.62;28.9;4.3;1.1;158;668;0;;1.1;;0;;;0;0;0;0;;1.55;0;0;1.82;0.62;0.02;31;990;370;6;23;220;0.6;0.07;1.9;1690;0.01;13;8;;;;0.3;0.04;;1.19;0.13;7.8;4.8;12.6;0.58;1;3;1.35;5;
VALUES; Tranches de bacon, dos, séchées à sec, grillées;19-645;CoFID Table;ToValidate;50.7;4.54;28.4;15.9;0;257;1071;0;;0;0;0;0;0;0;0;0;0;0;6;0;0;6.7;2.1;;57;1730;400;9;26;240;0.8;0.08;2.4;2240;0.01;14;9;;;;0.8;0.08;;1.09;0.19;8.5;3.5;12;0.56;1;3;1.48;6;
VALUES; Tranches de bacon, dos, frites à sec;19-498;CoFID Table;ToValidate;49.7;3.87;24.2;22;0;295;1225;0;0;0;0;0;0;0;0;0;0;0;0;8.3;0;0;9.2;2.8;0.1;65;1410;360;6;21;180;0.6;0.06;1.9;2600;0.01;18;7;;;;0.6;0.07;;0.86;0.14;6.8;4.4;11.2;0.53;1;2;1.26;5;
VALUES; Tranches de bacon, dos, paré de gras, grillées;19-499;CoFID Table;ToValidate;56.2;4.11;25.7;12.3;0;214;892;0;;0;0;0;0;0;0;0;0;0;0;4.6;0;0;5.2;1.6;0.1;44;1430;360;8;23;210;0.7;0.07;2.2;1850;0.01;13;8;;;;0.7;0.07;;0.98;0.17;7.7;4.7;12.4;0.5;1;3;1.34;5;
VALUES; Tranches de bacon, dos, paré du gras, crues;19-646;CoFID Table;ToValidate;69.5;3.01;18.8;6.7;0;136;568;0;;0;0;0;0;0;0;0;0;0;0;2.5;0;0;2.8;0.9;;31;1000;250;6;16;150;0.5;0.05;1.5;1290;0.01;9;6;;;;0.5;0.05;;0.68;0.12;5.4;3.3;8.7;0.35;1;2;0.93;4;
VALUES; Tranches de bacon, dos, grillées;19-500;CoFID Table;ToValidate;50.4;3.71;23.2;21.6;0;287;1194;0;;0;0;0;0;0;0;0;0;0;0;8.1;2410;310;9;2.8;0.01;75;1390;340;7;21;180;0.6;0.05;1.7;2060;0.01;12;7;;;;0.6;0.07;;1.16;0.15;7.2;3.8;11;0.52;1;5;1.24;3;
