PATH;/System/Characts/bcpg:entityLists/Allergens;;;;;;
TYPE;bcpg:allergen;;;;;;
MAPPING;Default;;;;;;
COLUMNS;bcpg:allergenCode;cm:name;bcpg:allergenType;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en;bcpg:allergenSubset
VALUES;F87;Melon (Honeydew Melon);Minor;Cucumis melo spp.;Melon;Melon (Honeydew Melon);
VALUES;F88;Lamb ;Minor;Ovis spp.;Agneau;Lamb ;
VALUES;F89;Mustard ;Minor;Brassica / Sinapis spp.;Moutarde;Mustard ;
VALUES;F90;Malt ;Minor;;Malt;Malt ;
VALUES;F91;Mango;Minor;Mangifera indica;Mangue;Mango;
VALUES;F92;Banana ;Minor;Musa spp.;Banane;Banana ;
VALUES;F94;Pear ;Minor;Pyrus communis;Poire;Pear ;
VALUES;F95;Peach ;Minor;Prunus persica;Pêche;Peach ;
VALUES;F96;Avocado ;Minor;Persea americana;Avocat;Avocado ;
VALUES;F97;Chamomile Tea;Minor;;Thé à la camomille;Chamomile Tea;
VALUES;F101;Bean Herb;Minor;Satureja hortensis;Sarriette;Bean Herb;
VALUES;F102;Cantaloupe ;Minor;Cucumis melo var. cantalupenisis;Cantaloup;Cantaloupe ;
VALUES;F110;Giant Radish;Minor;Raphanus sativus;Radis géant;Giant Radish;
VALUES;F112;Red Cabbage;Minor;Brassica oleracea var. capitata;Chou rouge;Red Cabbage;
VALUES;F113;Chinese Cabbage;Minor;Brassica pekinensis;Chou chinois;Chinese Cabbage;
VALUES;F114;Sheep Sorrel (Vinegar Plant);Minor;Rumex acetosella;Petite oseille;Sheep Sorrel (Vinegar Plant);
VALUES;F115;Pickled Cabbage;Minor;;Choucroute;Pickled Cabbage;
VALUES;F117;Savoy;Minor;Brassica oleracea,cultivated form;Savoie;Savoy;
VALUES;F118;Zucchini;Minor;Cucurbita pepo;Courgette;Zucchini;
VALUES;F119;Radish;Minor;Raphanus sativus;Radis;Radish;
VALUES;F120;Venison;Minor;;Venaison;Venison;
VALUES;F121;Pinto Bean ;Minor;Phaseolus vulgaris;Haricot pinto;Pinto Bean ;
VALUES;F122;Cheese,American (defatted);Minor;;Fromage,américains (dégraissée);Cheese,American (defatted);
VALUES;F124;Spelt;Minor;Triticum spelta;Epeautre;Spelt;
VALUES;F125;Peppermint Tea;Minor;;Menthe poivrée Thé;Peppermint Tea;
VALUES;F127;Black-Eyed Pea;Minor;Vigna unguiculata;Vigna unguiculata;Black-Eyed Pea;
VALUES;F129;Sole;Minor;Parophrys vetulus;Sole;Sole;
VALUES;F131;Black Olive;Minor;Olea europea;Olives noires;Black Olive;
VALUES;F132;Wild Boar;Minor;;Sanglier;Wild Boar;
VALUES;F136;Red Beet;Minor;Beta vulgaris var. conditiva;Betterave rouge;Red Beet;
VALUES;F139;Goat's Cheese;Minor;;Fromage de chèvre;Goat's Cheese;
VALUES;F140;Bran;Minor;;Bran;Bran;
VALUES;F141;Corn (Vegetables);Minor;Zea mays;Maïs (Légumes);Corn (Vegetables);
VALUES;F142;Veal;Minor;;Veau;Veal;
VALUES;F143;Roquefort Cheese;Minor;;Roquefort;Roquefort Cheese;
VALUES;F147;Flounder ;Minor;Paralichthys albigutta;Patauger;Flounder ;
VALUES;F148;Castor Bean Oil;Minor;;Huile de ricin;Castor Bean Oil;
VALUES;F149;Sago;Minor;;Sagou;Sago;
VALUES;F150;Edam Cheese;Minor;;Fromage d'Edam;Edam Cheese;
VALUES;F152;Green Bell Pepper ;Minor;Capsicum annuum;Poivron vert;Green Bell Pepper ;
VALUES;F155;Brewer's Yeast;Minor;Saccharomyces carlsbergensis;Levure de bière;Brewer's Yeast;
VALUES;F156;Potato Powder;Minor;;Poudre de pommes de terre;Potato Powder;
VALUES;F157;Duck;Minor;;Canard;Duck;
VALUES;F158;Goose;Minor;;Oie;Goose;
VALUES;F160;Camembert Cheese;Minor;;Camembert;Camembert Cheese;
VALUES;F162;Nectarine;Minor;Prunus persica var. nucipersica;Nectarine;Nectarine;
VALUES;F163;Kohlrabi;Minor;Brassica oleracea var. gongylodes;Chou-rave;Kohlrabi;
VALUES;F164;Cress;Minor;Lepidium campestre;Cresson;Cress;
VALUES;F166;Leek;Minor;Allium porrum;Poireau;Leek;
VALUES;F170;Swiss Cheese;Minor;;Swiss Cheese;Swiss Cheese;
VALUES;F174;Fig;Minor;Ficus carica;Figue;Fig;
VALUES;F176;Red Currant;Minor;Ribes sanguineum;Groseille;Red Currant;
VALUES;F177;Cranberry;Minor;Vaccinium macrocarpon;Canneberge;Cranberry;
VALUES;F178;Rhubarb;Minor;Rheum rharbarbarum;Rhubarbe;Rhubarb;
VALUES;F179;Raisin;Minor;Vitis spp.;Raisin;Raisin;
VALUES;F180;Morello Cherry;Minor;Prunus spp.;Griotte;Morello Cherry;
VALUES;F181;Gooseberry;Minor;Ribes uva-crispa;Groseille à maquereau;Gooseberry;
VALUES;F182;Lima Bean;Minor;Phaseolus limensis;Haricot de Lima;Lima Bean;
VALUES;F183;Sunflower Seed;Minor;;Graines de tournesol;Sunflower Seed;
VALUES;F198;Linseed / Flaxseed;Minor;Linum usitatissimum;Graines de lin / lin;Linseed / Flaxseed;
VALUES;F199;Untreated Native Milk;Minor;;Lait maternelle non traité;Untreated Native Milk;
VALUES;F201;Pecan Nut;Minor;Carya illinoensis;Noix de pécan;Pecan Nut;
VALUES;F202;Cashew Nut;Minor;Anacardium occidentale;Noix de cajou;Cashew Nut;
VALUES;F203;Pistachio Nut;Minor;Pistacia vera;Pistache;Pistachio Nut;
VALUES;F204;Trout ;Minor;Oncorhynchus mykiss,Salmo gairdnieri;Truite;Trout ;
VALUES;F205;Herring;Minor;Clupea harengus;Hareng;Herring;
VALUES;F207;Clam ;Minor;Ruditapes spp.;Palourde;Clam ;
VALUES;F208;Lemon;Minor;Citrus limon;Citron;Lemon;
VALUES;F209;Grapefruit;Minor;Citrus paradisis;Pamplemousse;Grapefruit;
VALUES;F210;Pineapple ;Minor;Ananas comosus;Ananas;Pineapple ;
VALUES;F211;Blackberry;Minor;Rubus fruitcosus;Mûres;Blackberry;
VALUES;F212;Mushroom ;Minor;Agaricus hortensis;Champignons;Mushroom ;
VALUES;F213;Rabbit;Minor;Orycatolagus spp.;Lapin;Rabbit;
VALUES;F214;Spinach ;Minor;Spiniacia oleracea;Épinards;Spinach ;
VALUES;F215;Lettuce ;Minor;Lactuca sativa;Laitue;Lettuce ;
VALUES;F216;Cabbage;Minor;Brassica oleracea var. capitata;Choux;Cabbage;
VALUES;F217;Brussels Sprouts;Minor;Brassica oleracea var. gennifera;Choux de Bruxelles;Brussels Sprouts;
VALUES;F218;Paprika;Minor;Capsicum annuum;Paprika;Paprika;
VALUES;F219;Sage;Minor;Salvia officinalis;Sauge;Sage;
VALUES;F220;Cinnamon ;Minor;Cinnamonum spp.;Cannelle;Cinnamon ;
VALUES;F221;Coffee ;Minor;Coffea spp.;Café;Coffee ;
VALUES;F222;Tea ;Minor;Camellia sinensis;Thé;Tea ;
VALUES;F223;Green Olive ;Minor;Olea europea;Vert Olive;Green Olive ;
VALUES;F224;Poppy Seed;Minor;Papaver somniferum;Graine de pavot;Poppy Seed;
VALUES;F225;Pumpkin/Summer Squash;Minor;Cucurbita;Citrouille / Courge d'été;Pumpkin/Summer Squash;
VALUES;F226;Deer;Minor;;Cerfs;Deer;
VALUES;F227;Swordfish;Minor;Xiphias gladius;Espadon;Swordfish;
VALUES;F229;Safflower Seed;Minor;Carthamus tinctorius;Graines de carthame;Safflower Seed;
VALUES;F231;Milk (Boiled);Minor;;Lait (bouilli);Milk (Boiled);
VALUES;F232;Ovalbumin;Minor;;Ovalbumine;Ovalbumin;
VALUES;F233;Ovomucoid;Minor;;Ovomucoïde;Ovomucoid;
VALUES;F234;Vanilla;Minor;Vanilla planifolia;Vanille;Vanilla;
VALUES;F235;Lentil;Minor;Lens esculenta;Lentille;Lentil;
VALUES;F236;Whey;Minor;;Lactosérum;Whey;
VALUES;F237;Apricot;Minor;Prunus armeniaca;Abricot;Apricot;
VALUES;F241;Gouda Cheese;Minor;;Gouda;Gouda Cheese;
VALUES;F242;Bing Cherry;Minor;Prunus avium;Cerise Sauvage;Bing Cherry;
VALUES;F244;Cucumber ;Minor;Cucumis sativus;Concombre;Cucumber ;
VALUES;F245;Egg,Whole;Minor;;Oeuf entier;Egg,Whole;
VALUES;F246;Flour of Guar Kernel;Minor;Cyamposis tetragonolobus;Farine de guar Kernel;Flour of Guar Kernel;
VALUES;F247;Honey;Minor;;Miel;Honey;
VALUES;F248;Rosemary;Minor;Rosmarinus officinalis;Rosemary;Rosemary;
VALUES;F252;Groats;Minor;;Gruau;Groats;
VALUES;F253;Pine Nut;Minor;Pinus edulis;Pignons;Pine Nut;
VALUES;F254;Plaice;Minor;Pleuronectes platessa;Plie;Plaice;
VALUES;F255;Plum;Minor;Prunus domestica;Prune;Plum;
VALUES;F256;Walnut;Minor;Juglans spp.;Noyer;Walnut;
VALUES;F257;Coconut,Dessicated;Minor;;Noix de coco,desséchée;Coconut,Dessicated;
VALUES;F258;Squid (Cuttlefish);Minor;Loligo spp.;Seiche;Squid (Cuttlefish);
VALUES;F259;Grape ;Minor;Vitis vinifera;Raisin;Grape ;
VALUES;F260;Broccoli ;Minor;Brassica oleracea var. italica;Brocoli;Broccoli ;
VALUES;F261;Asparagus ;Minor;Asparagus officinalis;Asperges;Asparagus ;
VALUES;F262;Eggplant / Aubergine;Minor;Solanum melongena;Aubergine / Aubergine;Eggplant / Aubergine;
VALUES;F264;Eel;Minor;Anguilla anguilla;Anguille;Eel;
VALUES;F265;Cumin ;Minor;Cuminum cyminum;Cumin;Cumin ;
VALUES;F267;Cardamon;Minor;Elettaria cardamomum;Cardamome;Cardamon;
VALUES;F268;Cloves;Minor;Syzygium aromaticum;Gousses;Cloves;
VALUES;F269;Basil ;Minor;Ocimum basilicum;Basilic;Basil ;
VALUES;F270;Ginger ;Minor;Zingiber officinale;Gingembre;Ginger ;
VALUES;F271;Aniseed;Minor;Pimpinella anisum;Anis;Aniseed;
VALUES;F272;Tarragon;Minor;Artemisia dracunculus;Estragon;Tarragon;
VALUES;F273;Thyme ;Minor;Thymus vulgaris;Thym;Thyme ;
VALUES;F274;Marjoram;Minor;Origanum majorana;Marjolaine;Marjoram;
VALUES;F275;Lovage;Minor;Levisticum officinale;Livèche;Lovage;
VALUES;F276;Fennel (Fresh);Minor;Foeniculum vulgare;Fenouil (fraîches);Fennel (Fresh);
VALUES;F277;Dill;Minor;Anethum graveolens;Aneth;Dill;
VALUES;F278;Bay Leaf (Laurel);Minor;Laurus nobilis;Feuille de laurier (Laurel);Bay Leaf (Laurel);
VALUES;F279;Chili Pepper ;Minor;Capsicum frutescens;Piment de Cayenne;Chili Pepper ;
VALUES;F280;Black Pepper ;Minor;Piper nigrum;Poivre noir;Black Pepper ;
VALUES;F281;Curry ;Minor;Santa Maria;Curry;Curry ;
VALUES;F282;Nutmeg;Minor;Myristica fragrans;Noix de muscade;Nutmeg;
VALUES;F283;Oregano ;Minor;Origanum vulgare;Origan;Oregano ;
VALUES;F284;Turkey ;Minor;Meleagris gallopavo;Dinde;Turkey ;
VALUES;F287;Kidney Bean (Red Bean);Minor;Phaseolus vulgaris;Haricot (haricots rouges);Kidney Bean (Red Bean);
VALUES;F288;Blueberry ;Minor;Vaccinium myrtillis;Myrtille;Blueberry ;
VALUES;F289;Date;Minor;Phoenix dactylifera;Date;Date;
VALUES;F290;Oyster;Minor;Ostrea edulis;Huître;Oyster;
VALUES;F291;Cauliflower ;Minor;Brassica oleracea var. botrytis;Chou-fleur;Cauliflower ;
VALUES;F292;Guava;Minor;Psidium guajava;Goyave;Guava;
VALUES;F293;Papaya;Minor;Carica papaya;Papaye;Papaya;
VALUES;F294;Maracuja;Minor;Passiflora spp.;Fruit de la passion;Maracuja;
VALUES;F296;Carob Bean Flour;Minor;Ceratonia siliqua;Farine de caroube;Carob Bean Flour;
VALUES;F299;Sweet Chestnut;Minor;Castanea sativa;Châtaignier;Sweet Chestnut;
VALUES;F300;Goat Milk;Minor;;Lait de chèvre;Goat Milk;
VALUES;F302;Tangerine;Minor;Citrus reticulata;Mandarine;Tangerine;
VALUES;F303;Halibut;Minor;Hippoglossus hippoglossus;Flétan;Halibut;
VALUES;F304;Spiny Lobster;Minor;Plalinurus spp.;Langouste;Spiny Lobster;
VALUES;F306;Lime;Minor;Citrus aurantifolia;Chaux;Lime;
VALUES;F307;Pike;Minor;Esox lutius;Brochet;Pike;
VALUES;F308;Sardine;Minor;Sardina pilchardus;Sardine;Sardine;
VALUES;F309;Chickpea;Minor;Cicer arietinus;Pois chiche;Chickpea;
VALUES;F310;Allspice;Minor;Pimenta officinalis;Piment de la Jamaïque;Allspice;
VALUES;F313;Anchovy;Minor;Engraulis encrasicolus;Anchois;Anchovy;
VALUES;F314;Snail;Minor;Helix aspersa;Escargot;Snail;
VALUES;F315;Green Bean ;Minor;Phaseolus vulgaris;Haricots verts;Green Bean ;
VALUES;F316;Comfrey;Minor;Symphytum officinale;Consoude;Comfrey;
VALUES;F317;Coriander;Minor;Coriandrum sativum;Coriandre;Coriander;
VALUES;F319;Beetroot;Minor;Beta vulgaris var. crassa;Betterave;Beetroot;
VALUES;F320;Crayfish;Minor;Astacus astacus;Écrevisse;Crayfish;
VALUES;F321;Horse;Minor;;Cheval;Horse;
VALUES;F324;Hops ;Minor;Humulus lupulus;Houblon;Hops ;
VALUES;F325;Saffron;Minor;Colchicum autumnale;Safran;Saffron;
VALUES;F327;Chervil;Minor;Chaerophyllum tainturieri;Cerfeuil;Chervil;
VALUES;F329;Pepper (White);Minor;Piper nigrum;Poivre (Blanc);Pepper (White);
VALUES;F330;Juniper Berry;Minor;Juniperus communis;Genièvres;Juniper Berry;
VALUES;F333;Carp;Minor;Cyprinus carpio;Carpe;Carp;
VALUES;F334;Baking Aid;Minor;;Aide de cuisson;Baking Aid;
VALUES;F335;Pepper (Green);Minor;Piper nigrum;Poivre (vert);Pepper (Green);
VALUES;F336;Wine Vinegar;Minor;;Vinaigre de Vin;Wine Vinegar;
VALUES;F337;Wine Yeast;Minor;Saccharomyces cerevisiae var. bayanus;Levure de vin;Wine Yeast;
VALUES;F338;Wine,White;Minor;;Vin,blanc;Wine,White;
VALUES;F339;Wine,Red;Minor;;Vin,rouge;Wine,Red;
VALUES;F340;Gelatin;Minor;;Gélatine;Gelatin;
VALUES;F342;Tumeric;Minor;Curcuma longa;Curcuma;Tumeric;
VALUES;F346;Chives;Minor;Allium schoenoprasum;Ciboulette;Chives;
VALUES;F350;Leerdam Cheese;Minor;;Leerdam (fromage);Leerdam Cheese;
VALUES;F351;Butter;Minor;;Beurre;Butter;
VALUES;F352;Ewe's Milk;Minor;;Lait de brebis;Ewe's Milk;
VALUES;F354;Caviar;Minor;;Caviar;Caviar;
VALUES;F356;Black Currant;Minor;Ribes nigrum;Cassis;Black Currant;
VALUES;F357;Borecole;Minor;Brassica oleracea var. acephale;Chou;Borecole;
VALUES;F358;Artichoke;Minor;Cynara scolymus;Artichaut;Artichoke;
VALUES;F360;Yogurt;Minor;;Yogourt;Yogurt;
VALUES;F368;Black Bass;Minor;Micropterus dolomieui;Achigan;Black Bass;
VALUES;F369;Catfish;Minor;Ictalurus punctatus;Poisson-chat;Catfish;
VALUES;F371;Chicory;Minor;Cichorium intybus;Chicorée;Chicory;
VALUES;F373;Arabic Gum;Minor;Acacia senegal;Gomme arabique;Arabic Gum;
VALUES;F374;Karaya Gum;Minor;Sterculia urens;Gomme karaya;Karaya Gum;
VALUES;F375;Horseradish;Minor;Armoracia rusticana;Raifort;Horseradish;
VALUES;F376;Calf Liver;Minor;;Foie de veau;Calf Liver;
VALUES;F377;Maple Syrup;Minor;;Sirop d'érable;Maple Syrup;
VALUES;F379;Okra;Minor;Abelmoschus esculentus;Gombo;Okra;
VALUES;F380;Parsnip;Minor;Pastinaca sativa;Panais;Parsnip;
VALUES;F381;Red Snapper;Minor;Lutjanus aya;Vivaneau;Red Snapper;
VALUES;F382;Beet,Sugar;Minor;Beta vulgaris var. altissima;Betterave à sucre;Beet,Sugar;
VALUES;F384;Whitefish;Minor;Salanx cuvieri;Poisson blanc;Whitefish;
VALUES;FX1;Cereals containing gluten and products made from these grains;Major;Céréales contenant du gluten et produits à base de ces céréales;Céréales contenant du gluten et produits à base de ces céréales;Cereals containing gluten and products made from these grains;F4,F5,F6,F7,F79,F124
VALUES;FX2;Crustaceans and crustacean products;Major;Crustacés et produits à base de crustacés;Crustacés et produits à base de crustacés;Crustaceans and crustacean products;F23,F24,F80,F304,F320
VALUES;FX3;Egg and egg-based product;Major;Oeuf et produit à base d'oeuf;Oeuf et produit à base d'oeuf;Egg and egg-based product;F1,F75,F76,F77,F232,F233,F245
VALUES;FX4;Peanuts and products containing peanut;Major;Arachides et produits à base de d'arachide;Arachides et produits à base de d'arachide;Peanuts and products containing peanut;F13
VALUES;FX5;Soybeans and soy products;Major;Soja et produits à base de soja;Soja et produits à base de soja;Soybeans and soy products;F14
VALUES;FX6;And milk-based product (including lactose);Major;Lait et produit à base de (dont lactose);Lait et produit à base de (dont lactose);And milk-based product (including lactose);F2,F78,F81,F82,F231,F236,F300,F325
VALUES;FX7;Nuts (walnuts hazelnuts);Major;Fruits à Coque* (noix noisettes);Fruits à Coque* (noix noisettes);* Nuts (walnuts hazelnuts);F17,F18,F20,F201,F202,F203,F253,F256
VALUES;FX8;Fish and fish-based product;Major;Poisson et produit à base de poisson;Poisson et produit à base de poisson;Fish and fish-based product;F3,F40,F41,F42,F50,F60,F147,F204,F205,F254,F264,F303,F307,F308,F313,F337,F369,F381,F384
VALUES;FX9;Celery and celery products;Major;Céleri et produits à base de céleri;Céleri et produits à base de céleri;Celery and celery products;F85
VALUES;FX10;Mustard and mustard products;Major;Moutarde et produits à base de moutarde;Moutarde et produits à base de moutarde;Mustard and mustard products;F89
VALUES;FX11;Sesame seeds and products containing sesame seeds;Major;Graines de sésame et produits à base de graines de sésame;Graines de sésame et produits à base de graines de sésame;Sesame seeds and products containing sesame seeds;F10
VALUES;FX12;Sulphur dioxide and sulphites;Major;Anhydride sulfureux et sulfites;Anhydride sulfureux et sulfites;Sulphur dioxide and sulphites;
VALUES;FX13;Lupine and lupine-based products;Major;Lupin  et produits à base de lupin;Lupin  et produits à base de lupin;Lupine and lupine-based products;F335
VALUES;FX14;Shellfish and shellfish products;Major;Mollusque  et produits à base de mollusque;Mollusque  et produits à base de mollusque;Shellfish and shellfish products;F37,F59,F207,F258,F290
