http://www.ext.colostate.edu/pubs/livestk/01615.html;;;;;;;;;;;;;;;;;
Feedstuff;"DM
%";"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
PPM";"TDN
%";"DE
Mcal/
lb.";"NEm
Mcal/
lb.";"NEg
Mcal/
lb."
Fanes de carottes;16;13;--;3.8;18;23;--;15;1.9;0.19;1.9;--;--;73;1.46;0.76;0.48
Fumier de bovin séché;92;17;--;2.6;34;37;55;14;1.2;1.00;0.5;1.78;240;38;0.76;0.39;0.00
Brome des toits frais immature;21;16;--;2.7;23;--;--;10;0.6;0.28;--;--;--;68;1.36;0.69;0.41
Trèfle ladino frais;19;25;--;4.8;14;--;--;11;1.3;0.42;2.2;0.20;39;69;1.38;0.70;0.43
Trèfle ladino foin;90;21;--;2.0;22;32;36;9;1.7;0.32;2.4;0.22;17;61;1.22;0.61;0.31
Trèfle rouge frais;24;18;--;4.0;24;33;44;9;1.7;0.26;2.0;0.17;23;64;1.28;0.64;0.36
Foin de trèfle rouge;88;15;--;2.9;30;41;56;8;1.4;0.22;1.9;0.17;17;57;1.14;0.56;0.25
Le marc de café;88;13;--;15.0;41;68;77;2;0.1;0.08;--;--;--;20;0.40;0.35;0.00
Plant de maïs entier granulés;91;9;45;2.4;21;--;--;6;0.5;0.24;1.0;0.14;--;63;1.26;0.63;0.34
Maïs fourrage;80;9;45;2.4;25;29;48;7;0.3;0.18;1.0;0.14;--;67;1.24;0.68;0.40
La canne de maïs mûr;80;6;--;1.3;35;40;70;7;0.5;0.09;1.6;0.17;--;59;1.18;0.58;0.28
Stade laiteux de maïs ensilage;26;8;25;2.8;26;31;--;6;0.3;0.24;1.6;0.12;25;67;1.24;0.68;0.40
L'ensilage de maïs à échéance ainsi oreilles;36;8;40;2.7;23;28;50;7;0.3;0.20;1.0;0.10;24;69;1.38;0.70;0.43
Dent jaune maïs-grain;89;10;50;4.1;3;3;10;2;0.0;0.30;0.4;0.10;17;89;1.78;0.98;0.67
Grains de maïs salut-lysine;92;12;--;4.4;4;--;--;2;0.0;0.24;0.3;0.11;--;89;1.78;0.98;0.67
Et semoule de maïs épi;87;9;50;3.7;9;10;28;2;0.1;0.24;0.5;0.18;10;82;1.64;0.88;0.59
Les épis de maïs;90;3;50;0.5;36;39;88;2;0.1;0.04;0.8;0.35;5;48;0.26;0.47;0.09
Son de maïs;90;10;--;6.3;10;--;51;3;0.0;0.17;0.7;0.08;--;76;1.52;0.80;0.52
Corn gluten feed;90;26;--;2.9;9;--;41;7;0.4;0.75;0.6;0.20;100;82;1.64;0.88;0.59
Farine de gluten de maïs;91;45;65;2.5;5;9;37;4;0.2;0.50;0.2;0.60;45;84;1.68;0.91;0.61
Phosphate défluoré;99;0;--;0.0;0;0;0;95;32.6;18.07;1.0;--;100;0;0.00;0.00;0.00
Le phosphate de diammonium;98;115;0;0.0;0;0;0;35;0.5;20.41;0.0;2.16;--;0;0.00;0.00;0.00
Phosphate dicalcique;96;0;--;0.0;0;0;0;94;22.0;18.65;0.1;1.10;70;0;0.00;0.00;0.00
Orge drêches de distillerie;90;30;60;3.7;18;--;--;4;0.1;0.27;--;--;--;75;1.50;0.78;0.50
Maïs-grain Distillers;91;30;65;8.2;14;16;41;2;0.1;0.45;0.2;0.46;35;84;1.68;0.91;0.61
Drêches de maïs grain avec solubles;92;29;50;10.0;10;18;44;5;0.3;0.85;0.7;0.32;90;88;1.76;0.97;0.65
L'ensilage de maïs de distillerie;7;29;65;8.0;8;--;--;4;0.1;0.65;--;--;--;86;1.72;0.94;0.63
Distillers séché solubles;93;30;--;9.5;4;7;23;8;0.4;1.40;1.8;0.40;91;88;1.76;0.97;0.65
Volaille graisses animales;99;0;--;99.0;0;0;0;0;0.0;0.00;0.0;--;--;195;3.90;2.38;1.82
Farine de plumes hydrolysées;94;91;50;3.3;2;20;20;4;0.2;0.78;0.3;1.80;53;68;1.36;0.69;0.41
Déchets municipaux cuit;23;16;--;23.3;8;50;59;11;1.6;0.45;--;--;--;75;1.50;0.78;0.50
Criblures de grain;90;14;--;5.5;14;--;--;9;0.5;0.43;--;--;17;65;1.30;0.65;0.37
Poussières de céréales;92;10;--;2.5;15;--;--;10;0.3;0.18;--;--;42;73;1.46;0.76;0.48
Acaule marc de raisin;91;12;--;7.5;32;50;53;9;0.6;0.06;0.6;--;24;30;0.60;0.37;0.00
L'ensilage d'herbe;26;12;20;4.6;34;38;66;9;0.8;0.22;2.0;--;29;61;1.22;0.61;0.31
Alimentation Hominy;90;12;--;7.7;6;12;50;3;0.1;0.58;0.7;0.04;3;94;1.88;1.05;0.72
Hop laisse;37;15;--;3.6;15;--;--;35;2.8;0.64;--;--;--;49;0.98;0.48;0.11
Ensilage vigne Hop;30;15;--;3.1;21;--;--;20;3.3;0.37;1.8;0.22;44;53;1.06;0.52;0.18
Houblon passé;89;22;--;4.0;28;0;--;7;1.6;0.60;--;--;--;39;0.78;0.40;0.00
Sol calcaire;98;0;--;0.0;0;--;--;98;38.0;0.02;--;--;--;0;0.00;0.00;0.00
Farine de lin solvant;91;39;40;1.9;10;18;25;6;0.4;1.00;1.4;0.47;60;76;1.52;0.80;0.52
Foin de prairie;92;8;--;2.5;33;--;--;9;0.6;0.17;1.6;--;--;46;0.92;0.45;0.05
Farine de viande;94;55;65;9.7;3;--;--;29;9.4;4.74;0.6;0.50;85;71;1.42;0.73;0.46
Céréales Milo;89;11;60;3.2;3;6;20;2;0.0;0.32;0.4;0.13;17;85;1.70;0.92;0.62
Ensilage limace Monnaie;27;14;--;1.8;24;--;--;16;1.1;0.57;--;--;--;55;1.10;0.54;0.21
Mélasse de betterave;77;9;0;0.2;0;0;0;11;0.2;0.03;6.1;0.60;18;79;1.58;0.84;0.55
Mélasse de canne;76;5;0;0.0;0;0;0;10;1.1;0.08;3.6;0.46;30;75;1.50;0.78;0.50
Mélasse de canne séché;94;10;0;0.6;3;0;0;14;1.2;0.15;4.0;0.46;30;74;1.48;0.77;0.49
Mélasse d'agrumes;65;9;0;0.3;0;0;0;9;2.0;0.25;0.2;0.23;137;75;1.50;0.78;0.50
Mélasse de bois (hémicellulose);61;1;0;0.7;1;--;--;8;1.4;0.06;0.1;0.05;--;76;1.52;0.80;0.52
Phosphate monoammonique;98;74;0;0.0;0;0;0;24;0.3;24.70;0.0;1.42;81;0;0.00;0.00;0.00
Mono-phosphate dicalcique;97;0;--;0.0;0;0;0;94;16.7;21.10;0.1;--;70;0;0.00;0.00;0.00
Le foin d'avoine;87;9;--;2.1;30;38;63;9;0.2;0.22;1.0;0.30;39;59;1.18;0.58;0.28
Ensilage d'avoine;34;11;25;3.8;30;--;--;10;0.4;0.25;3.4;0.32;35;60;1.20;0.59;0.30
Paille d'avoine;90;4;--;2.3;41;46;70;8;0.3;0.10;2.2;0.22;6;50;1.00;0.49;0.12
Grain d'avoine;89;13;30;4.0;12;17;31;4;0.1;0.40;0.5;0.22;30;74;1.48;0.77;0.49
Avoine gruaux;91;18;25;5.5;3;--;--;2;0.1;0.47;0.4;0.22;--;93;1.86;1.03;0.71
Alimentation farine d'avoine;90;17;20;6.0;4;--;--;3;0.1;0.46;0.5;0.25;--;94;1.88;1.05;0.72
Sous-produit moulin d'avoine;89;9;--;3.0;21;--;--;6;0.1;0.24;0.6;0.24;--;33;0.66;0.37;0.00
Balle d'avoine;93;4;--;1.5;32;44;78;7;0.2;0.15;0.6;0.15;--;37;0.74;0.39;0.00
La pulpe d'orange séchées;89;9;--;1.8;9;--;--;4;0.7;0.11;--;--;--;82;1.64;0.88;0.59
Le dactyle pelotonné frais immature;24;18;25;5.0;24;29;50;11;0.4;0.40;2.7;0.22;20;65;1.30;0.65;0.37
Dactyle foin;88;11;30;3.3;34;40;70;7;0.3;0.28;2.8;0.26;18;59;1.18;0.58;0.28
Foin vigne de pois;89;10;--;1.8;32;--;--;7;1.2;0.21;1.8;0.17;15;60;1.20;0.59;0.30
Ensilage de pois vigne;24;13;--;3.3;31;49;59;8;1.3;0.24;1.4;0.29;--;57;1.14;0.56;0.25
Paille de pois;89;7;--;1.3;45;--;--;7;--;0.11;1.1;0.20;--;50;1.00;0.49;0.12
Abattage Peas;89;25;--;1.5;8;--;--;5;0.2;0.43;1.1;0.26;30;82;1.64;0.88;0.59
Coques d'arachide;92;7;--;1.3;63;65;74;5;0.2;0.07;0.9;--;--;22;0.44;0.35;0.00
La farine d'arachide solvant;91;52;30;1.3;11;--;14;5;0.2;0.65;1.2;0.30;22;77;1.54;0.81;0.53
Peaux d'arachide;92;17;--;22.0;13;20;28;3;--;--;--;--;--;0;0.00;0.00;0.00
Ensilage de pommes de terre de vigne;15;15;--;3.7;26;--;--;19;2.1;0.29;4.0;0.37;--;59;1.18;0.58;0.28
Réforme de pommes de terre;21;10;0;0.4;2;--;--;5;0.0;0.24;2.2;0.09;--;80;1.60;0.85;0.56
Déchets de pommes de terre humide;14;7;0;1.5;9;--;--;3;0.2;0.26;1.3;0.11;12;82;1.64;0.88;0.59
Déchets de pommes de terre séchées;89;8;0;0.5;7;--;--;5;0.1;0.13;1.2;--;--;85;1.70;0.92;0.62
Déchets de pommes de terre humide à la chaux;17;5;0;0.3;10;--;--;9;4.2;0.18;--;--;--;80;1.60;0.85;0.56
Déchets de pommes de terre gâteau de filtration;14;5;0;7.7;2;--;--;3;0.1;0.19;0.2;--;--;77;1.54;0.81;0.53
Litière de volaille séché;87;26;0;3.0;18;--;--;19;2.7;1.80;1.7;1.26;340;64;1.28;0.64;0.36
Le fumier de volaille séché;89;28;0;2.1;13;15;35;29;9.0;2.44;2.0;0.18;445;54;1.08;0.53;0.20
Foin de prairie;91;7;--;2.0;35;--;--;8;0.4;0.13;1.1;0.06;34;50;1.00;0.49;0.12
Rapemeal solvant;91;41;20;2.2;14;--;--;8;0.7;1.14;1.4;0.28;66;70;1.40;0.72;0.44
La paille de seigle;89;4;--;1.5;44;55;71;6;0.3;0.10;1.0;0.11;--;44;0.88;0.43;0.01
Grain de seigle;89;13;--;1.7;2;--;--;2;0.1;0.38;0.5;0.17;34;81;1.62;0.87;0.58
Solubles repas de carthame;91;22;--;1.0;33;41;59;6;0.3;0.73;1.0;0.28;44;55;1.10;0.54;0.21
Farine de carthame décortiquée solubles;91;48;--;0.6;9;--;--;7;0.3;1.83;1.3;0.22;36;76;1.52;0.80;0.52
Sagebrush frais;50;13;--;9.2;25;28;36;10;1.0;0.25;--;0.22;--;50;1.00;0.49;0.12
NA tripolyphos;96;0;--;0.0;0;0;0;96;0.0;25.98;0.0;0.00;--;0;0.00;0.00;0.00
Paille de sorgho;85;5;--;2.1;33;--;--;10;0.4;0.11;1.2;--;--;54;1.08;0.53;0.20
Ensilage de sorgho;28;8;50;2.8;26;28;39;7;0.3;0.15;1.6;0.09;24;58;1.16;0.57;0.26
Foin de soja;89;15;--;2.2;37;--;--;8;1.3;0.32;1.0;0.24;24;52;1.04;0.51;0.16
Paille de soja;88;5;--;1.4;44;54;70;6;1.6;0.06;0.6;0.26;--;42;0.84;0.42;0.00
Fèves de soya entières;91;42;40;19.2;6;10;--;5;0.3;0.63;1.8;0.24;60;92;1.84;1.02;0.70
Le tourteau de soja protéines solvant 44%;89;50;35;1.3;6;10;14;7;0.3;0.75;2.2;0.40;52;84;1.68;0.91;0.61
Le tourteau de soja protéines solvant 49%;90;55;25;1.2;3;6;10;6;0.3;0.71;2.2;0.42;61;87;1.74;0.95;0.64
Flocons de soja (coque);91;12;10;2.8;39;47;65;4;0.6;0.17;1.0;0.09;24;71;1.42;0.73;0.46
Soudan frais immature;18;17;--;3.9;23;29;55;9;0.5;0.31;2.0;0.04;--;70;1.40;0.72;0.44
Foin herbe du Soudan;89;9;--;1.8;36;43;68;10;0.4;0.30;2.1;0.06;30;57;1.14;0.56;0.25
Ensilage herbe du Soudan;23;10;--;3.1;34;42;65;10;0.4;0.25;3.5;0.05;--;55;1.10;0.54;0.21
Tourteau de tournesol solvant;93;50;--;3.1;12;--;40;8;0.5;0.80;1.1;0.33;21;65;1.30;0.65;0.37
La farine de tournesol avec des coques;91;32;--;1.4;27;--;--;7;0.4;0.96;1.1;0.30;100;57;1.14;0.56;0.25
Coques de tournesol;90;5;--;2.2;25;63;--;3;0.0;0.11;--;--;--;40;0.80;0.41;0.00
Timothy frais avant la floraison;26;11;20;3.8;32;37;64;7;0.4;0.28;2.1;0.21;24;64;1.28;0.64;0.36
Timothy foin début de la floraison;88;12;25;2.6;33;43;68;6;0.5;0.25;0.9;0.21;--;59;1.18;0.58;0.28
Timothy foin pleine floraison;88;8;35;2.5;34;45;70;5;0.4;0.20;1.6;0.13;17;57;1.14;0.56;0.25
Ensilage de fléole;34;10;25;3.4;35;--;--;7;0.6;0.29;1.7;0.15;--;59;1.18;0.58;0.28
Tomates séchées marc;92;23;--;10.6;26;50;55;6;0.4;0.59;3.6;--;--;64;1.28;0.64;0.36
Ensilage de triticale;38;12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Triticale;90;16;25;4.6;4;--;--;2;0.1;0.34;0.4;0.17;--;86;1.72;0.94;0.63
Urée 46% N;99;288;0;0.0;0;0;0;0;0.0;0.00;0.0;0.00;0;0;0.00;0.00;0.00
Blé herbe fraîche;21;28;--;4.0;18;30;52;14;0.4;0.40;3.3;0.22;--;69;1.38;0.70;0.43
Ensilage de blé;28;10;--;3.2;28;--;--;8;0.3;0.27;1.2;0.23;25;60;1.20;0.59;0.30
La paille de blé;88;4;--;1.5;42;56;85;7;0.2;0.08;1.2;0.14;7;44;0.88;0.43;0.01
Le grain de blé;89;13;25;2.1;3;4;13;2;0.0;0.35;0.4;0.17;17;89;1.78;0.98;0.67
Le grain de blé dur;89;14;--;2.0;3;6;--;2;0.1;0.45;0.5;0.17;16;89;1.78;0.98;0.67
Le grain de blé tendre;89;12;--;2.0;3;4;14;2;0.1;0.35;0.4;0.17;16;89;1.78;0.98;0.67
Le son de blé;89;18;--;4.8;11;14;47;7;0.1;1.30;1.4;0.25;105;70;1.40;0.72;0.44
Midds blé;88;18;50;3.9;3;--;37;3;0.1;0.90;1.1;0.20;72;90;1.80;0.99;0.68
Run moulin à blé;90;17;20;4.7;9;--;--;6;0.1;1.10;1.4;0.28;--;75;1.50;0.78;0.50
Gru de blé;89;20;20;5.4;7;--;--;5;0.1;0.99;1.1;0.19;118;80;1.60;0.85;0.56
Agropyre à crête fleur fraîche au début;37;11;--;1.6;26;--;--;7;0.3;0.30;--;--;--;60;1.20;0.59;0.30
Agropyre à crête fleur fraîche entière;50;10;--;1.6;33;--;--;7;0.4;0.28;--;--;--;55;1.10;0.54;0.21
Agropyre à crête foin;92;11;--;2.4;33;36;--;7;O.3;0.15;2.0;--;32;54;1.08;0.53;0.20
Blé séché;96;16;0;0.9;0;0;0;10;1.0;0.81;1.5;1.10;3;82;1.64;0.88;0.59
