ghs:hazardType;ghs:hazardCode;ghs:hazardClassCode;ghs:pictogramCode;ghs:signalWord;ghs:hclRegulatoryText;formula;formulaDetails
Health;H360;Repr. 1A;GHS08;Danger;Toxicité pour la reproduction CAT 1A;"hMax(""H360"", ""Repr. 1A"") >= 0.3 || hMax(""H360"", ""Repr. 1B"") >= 0.3";"detail(""H360"", ""Repr. 1A"") + "" >= 0.3 or "" + detail(""H360"", ""Repr. 1B"") + "" >= 0.3"""
Health;H362;Lact.;;;;"hMax(""H362"") >= 0.3";"detail(""H362"") + "" >= 0.3"""
Health;H370;STOT SE 1 ;GHS08;Danger;;"hMax(""H370"") >= 10";"detail(""H370"") + "" >= 10"""
Health;H371;STOT SE 2;GHS08;Danger;;"hMax(""H370"") < 10 && hMax(""H370"") >= 1";"detail(""H370"") + "" < 10 and "" + detail(""H370"") + "" >= 1"""
Health;H371;STOT SE 2;GHS08;Danger;;"hMax(""H371"") >= 10";"detail(""H371"") + "" >= 10"""
Health;H335;STOT SE 3;GHS07;Warning;;"hSum(""H335"") >= 20";"detail(""H335"") + "" >= 20"""
Health;H336;STOT SE 3;GHS07;Warning;;"hSum(""H336"") >= 20";"detail(""H336"") + "" >= 20"""
Health;H372;STOT RE 1;GHS08;Danger;;"hMax(""H372"") >= 10";"detail(""H372"") + "" >= 10"""
Health;H373;STOT RE 2 ;GHS08;Warning;;"hMax(""H372"") < 10 && hMax(""H372"") >= 1";"detail(""H372"") + "" < 10 and "" + detail(""H372"") + "" >= 1"""
Health;H373;STOT RE 2 ;GHS08;Warning;;"hMax(""H373"") >= 10";"detail(""H373"") + "" >= 10"""
Health;H304;Asp. Tox. 1;GHS08;Danger;Danger d'aspiration (poumons) CAT 1;"hSum(""H304"") >= 10";"detail(""H304"") + "" >= 10"""
Health;H304;Asp. Tox. 1;GHS08;Danger;Danger d'aspiration (poumons) CAT 1;"hydrocarbonPerc!=null && (hydrocarbonPerc + hSum(""H304"") >= 10)";"hydrocarbonPerc + "" + "" + detail(""H304"") + "" >= 10"""
Health;EUH380;;;Danger;;"hSum(""EUH380"") >= 0.1";"detail(""EUH380"") + "" >= 0.1"""
Health;EUH381;;;Warning;;"hSum(""EUH381"") >= 1";"detail(""EUH381"") + "" >= 1"""
Health;EUH210;;;;;"hMax(""Repr. 2"") >= 1 || ((hMax(""Carc. 2"") >= 0.1 || hMax(""STOT SE 2"") >= 0.1) && !isDangerousMisture())";"detail(""Repr. 2"") + "" >= 1 or (("" + detail(""Carc. 2"") + "" >= 0.1 or "" + detail(""STOT SE 2"") + "" >= 0.1) and !isDangerousMisture())"""
Environmental;H410;Aquatic Chronic 1;GHS09;Warning;;"hSum(""H410"", ""M"") >= 25";"detail(""H410"", ""M"") + "" >= 25"""
Environmental;H411;Aquatic Chronic 2;GHS09;;;"(hSum(""H410"", ""M"") * 10) + hSum(""H411"") >= 25";"""(10 * "" + detail(""H410"", ""M"") + "") + "" + detail(""H411"") + "" >= 25"""
Environmental;H412;Aquatic Chronic 3;;;;"(hSum(""H410"", ""M"") * 100) + (hSum(""H411"", ""M"") * 10) + hSum(""H412"") >= 25";"""(100 * "" + detail(""H410"", ""M"") + "") + (10 * "" + detail(""H411"", ""M"") + "") + "" + detail(""H412"") + "" >= 25"""
Environmental;H413;Aquatic Chronic 4;;;;"hSum(""H410"") + hSum(""H411"") + hSum(""H412"") + hSum(""H413"") >= 25";"detail(""H410"") + "" + "" + detail(""H411"") + "" + "" + detail(""H412"") + "" + "" + detail(""H413"") + "" >= 25"""
Environmental;H400;Aquatic Acute 1;GHS09;Warning;;"hSum(""H400"", ""M"") >= 25";"detail(""H400"", ""M"") + "" >= 25"""
Environmental;EUH430;;;Danger;;"hMax(""EUH430"") >= 0.1";"detail(""EUH430"") + "" >= 0.1"""
Environmental;EUH431;;;Warning;;"hMax(""EUH431"") >= 1";"detail(""EUH431"") + "" >= 1"""
Environmental;EUH440;;;Danger;;"hMax(""EUH440"") >= 0.1";"detail(""EUH440"") + "" >= 0.1"""
Environmental;EUH441;;;Danger;;"hMax(""EUH441"") >= 0.1";"detail(""EUH441"") + "" >= 0.1"""
Environmental;EUH450;;;Danger;;"hMax(""EUH450"") >= 0.1";"detail(""EUH450"") + "" >= 0.1"""
Environmental;EUH451;;;Danger;;"hMax(""EUH451"") >= 0.1";"detail(""EUH451"") + "" >= 0.1"""
Health;H300;Acute Tox. 1 vo;GHS06;Danger;;etaVo > 0 && etaVo <= 5;"etaVo + "" <= 5"""
Health;H300;Acute Tox. 2 vo;GHS06;Danger;;etaVo > 5 && etaVo <= 50;"etaVo + "" > 5 and "" + etaVo + "" <= 50"""
Health;H301;Acute Tox. 3 vo;GHS06;Danger;;etaVo > 50 && etaVo <= 300;"etaVo + "" > 50 and "" + etaVo + "" <= 300"""
Health;H302;Acute Tox. 4 vo;GHS07;Warning;;etaVo > 300 && etaVo <= 2000;"etaVo + "" > 300 and "" + etaVo + "" <= 2000"""
Health;H310;Acute Tox. 1 vc;GHS06;Danger;;EtaVc > 0 && etaVc <= 50;"etaVc + "" <= 50"""
Health;H310;Acute Tox. 2 vc;GHS06;Danger;;etaVc > 50 && etaVc <= 200;"etaVc + "" > 50 and "" + etaVc + "" <= 200"""
Health;H311;Acute Tox. 3 vc;GHS06;Danger;;etaVc > 200 && etaVc <= 1000;"etaVc + "" > 200 and "" + etaVc + "" <= 1000"""
Health;H312;Acute Tox. 4 vc;GHS07;Warning;;etaVc > 1000 && etaVc <= 2000;"etaVc + "" > 1000 and "" + etaVc + "" <= 2000"""
Health;H330;Acute Tox. 1 in;GHS06;Danger;;etaInGas > 0 && etaInGas <= 100 || etaInVapor> 0 && etaInVapor <= 0.5 || etaInMist > 0 && etaInMist <= 0.05;"etaInGas + "" <= 100 or "" + etaInVapor + "" <= 0.5 or "" + etaInMist + "" <= 0.05"""
Health;H330;Acute Tox. 2 in;GHS06;Danger;;(etaInGas > 100 && etaInGas <= 500) || (etaInVapor > 0.5 && etaInVapor <= 2) || (etaInMist > 0.05 && etaInMist <= 0.5);"""("" + etaInGas + "" > 100 and "" + etaInGas + "" <= 500) or ("" + etaInVapor + "" > 0.5 and "" + etaInVapor + "" <= 2) or ("" + etaInMist + "" > 0.05 and "" + etaInMist + "" <= 0.5)"""
Health;H331;Acute Tox. 3 in;GHS06;Danger;;(etaInGas > 500 && etaInGas <= 2500) || (etaInVapor > 2 && etaInVapor <= 10) || (etaInMist > 0.5 && etaInMist <= 1);"""("" + etaInGas + "" > 500 and "" + etaInGas + "" <= 2500) or ("" + etaInVapor + "" > 2 and "" + etaInVapor + "" <= 10) or ("" + etaInMist + "" > 0.5 and "" + etaInMist + "" <= 1)"""
Health;H332;Acute Tox. 4 in;GHS07;Warning;;(etaInGas > 2500 && etaInGas <= 20000) || (etaInVapor > 10 && etaInVapor <= 20) || (etaInMist > 1 && etaInMist <= 5);"""("" + etaInGas + "" > 2500 and "" + etaInGas + "" <= 20000) or ("" + etaInVapor + "" > 10 and "" + etaInVapor + "" <= 20) or ("" + etaInMist + "" > 1 and "" + etaInMist + "" <= 5)"""
